DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-12-01 00:00:00;8;3;9;0;2;1;2
2020-12-01 00:15:00;5;3;8;2;5;1;4
2020-12-01 00:30:00;9;4;3;2;6;8;4
2020-12-01 00:45:00;4;4;8;3;3;8;7
2020-12-01 01:00:00;7;7;4;1;3;4;3
2020-12-01 01:15:00;8;3;6;1;3;1;1
2020-12-01 01:30:00;7;2;5;5;2;0;3
2020-12-01 01:45:00;9;2;11;1;2;6;2
2020-12-01 02:00:00;4;0;8;1;1;2;4
2020-12-01 02:15:00;5;0;11;5;3;4;4
2020-12-01 02:30:00;1;1;8;1;2;8;1
2020-12-01 02:45:00;9;5;12;0;1;5;0
2020-12-01 03:00:00;6;1;5;0;0;1;1
2020-12-01 03:15:00;2;0;9;0;0;2;0
2020-12-01 03:30:00;4;4;4;1;0;3;2
2020-12-01 03:45:00;10;6;13;1;3;2;0
2020-12-01 04:00:00;5;2;7;2;2;9;4
2020-12-01 04:15:00;6;3;11;4;1;0;1
2020-12-01 04:30:00;11;8;23;2;3;3;1
2020-12-01 04:45:00;21;8;45;7;4;1;2
2020-12-01 05:00:00;25;15;71;23;3;4;1
2020-12-01 05:15:00;63;36;95;41;9;3;2
2020-12-01 05:30:00;45;23;122;61;10;0;0
2020-12-01 05:45:00;56;51;103;61;14;1;4
2020-12-01 06:00:00;76;51;111;64;24;0;0
2020-12-01 06:15:00;66;53;111;65;26;0;1
2020-12-01 06:30:00;95;62;150;78;28;1;0
2020-12-01 06:45:00;108;77;163;87;43;1;1
2020-12-01 07:00:00;130;74;169;77;47;0;0
2020-12-01 07:15:00;102;120;158;85;85;1;1
2020-12-01 07:30:00;114;151;171;77;67;0;0
2020-12-01 07:45:00;177;112;199;106;41;1;2
2020-12-01 08:00:00;103;124;197;87;36;0;3
2020-12-01 08:15:00;136;111;178;101;24;3;0
2020-12-01 08:30:00;145;100;187;75;26;0;0
2020-12-01 08:45:00;119;82;164;82;19;1;1
2020-12-01 09:00:00;115;96;156;76;16;2;1
2020-12-01 09:15:00;127;72;144;55;9;4;2
2020-12-01 09:30:00;121;87;126;54;10;1;2
2020-12-01 09:45:00;127;87;134;53;12;1;0
2020-12-01 10:00:00;101;70;153;70;8;1;0
2020-12-01 10:15:00;119;73;138;68;8;3;1
2020-12-01 10:30:00;125;89;132;65;6;1;1
2020-12-01 10:45:00;107;92;141;60;11;1;1
2020-12-01 11:00:00;111;85;138;82;8;3;1
2020-12-01 11:15:00;134;106;139;55;5;1;0
2020-12-01 11:30:00;92;80;138;68;5;4;0
2020-12-01 11:45:00;134;109;144;73;8;1;2
2020-12-01 12:00:00;123;81;137;57;5;4;5
2020-12-01 12:15:00;141;112;149;64;10;2;4
2020-12-01 12:30:00;155;96;126;64;3;3;5
2020-12-01 12:45:00;138;124;143;76;18;5;5
2020-12-01 13:00:00;155;124;156;93;13;2;3
2020-12-01 13:15:00;146;139;170;95;12;6;5
2020-12-01 13:30:00;142;102;187;116;8;2;3
2020-12-01 13:45:00;140;107;161;101;14;2;0
2020-12-01 14:00:00;170;120;159;77;8;5;3
2020-12-01 14:15:00;152;106;168;78;9;1;2
2020-12-01 14:30:00;200;147;135;77;14;0;2
2020-12-01 14:45:00;183;119;156;63;9;2;1
2020-12-01 15:00:00;183;137;156;96;6;4;6
2020-12-01 15:15:00;198;122;162;64;8;2;1
2020-12-01 15:30:00;179;137;186;105;11;4;4
2020-12-01 15:45:00;189;141;161;85;12;5;4
2020-12-01 16:00:00;191;135;175;101;16;5;6
2020-12-01 16:15:00;193;152;151;77;20;5;6
2020-12-01 16:30:00;170;146;146;99;20;2;3
2020-12-01 16:45:00;169;186;176;85;54;2;0
2020-12-01 17:00:00;178;180;183;82;20;8;0
2020-12-01 17:15:00;149;149;173;87;16;1;4
2020-12-01 17:30:00;170;135;175;83;5;5;4
2020-12-01 17:45:00;139;116;173;74;3;4;5
2020-12-01 18:00:00;144;95;156;75;4;4;2
2020-12-01 18:15:00;164;101;159;66;4;12;4
2020-12-01 18:30:00;119;70;115;55;3;4;2
2020-12-01 18:45:00;106;87;103;53;5;4;2
2020-12-01 19:00:00;91;65;93;40;1;1;2
2020-12-01 19:15:00;107;54;93;55;5;2;3
2020-12-01 19:30:00;88;74;78;28;4;1;1
2020-12-01 19:45:00;83;52;79;28;3;2;3
2020-12-01 20:00:00;68;56;75;30;4;1;0
2020-12-01 20:15:00;65;67;86;36;1;0;0
2020-12-01 20:30:00;50;34;54;22;0;0;1
2020-12-01 20:45:00;49;30;74;33;0;1;2
2020-12-01 21:00:00;44;22;69;27;2;1;1
2020-12-01 21:15:00;38;25;79;37;6;0;2
2020-12-01 21:30:00;45;27;47;14;3;3;0
2020-12-01 21:45:00;63;47;37;14;3;0;1
2020-12-01 22:00:00;53;43;29;15;0;7;4
2020-12-01 22:15:00;43;35;41;17;1;1;0
2020-12-01 22:30:00;22;25;39;6;2;1;1
2020-12-01 22:45:00;25;12;33;8;2;1;0
2020-12-01 23:00:00;13;8;26;9;1;1;1
2020-12-01 23:15:00;21;13;18;8;5;0;1
2020-12-01 23:30:00;15;10;16;3;1;0;1
