DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2019-08-26 00:00:00;6;9;13;4;6;3;2;1;6;2;0;0;0;0
2019-08-26 00:15:00;9;4;15;3;6;5;3;1;4;7;0;0;0;0
2019-08-26 00:30:00;6;5;19;0;6;11;2;1;3;6;0;0;0;0
2019-08-26 00:45:00;5;1;13;1;3;6;3;1;4;5;0;0;0;0
2019-08-26 01:00:00;3;6;8;2;7;5;3;1;4;1;0;0;0;0
2019-08-26 01:15:00;2;4;9;1;7;5;2;1;0;2;0;0;0;0
2019-08-26 01:30:00;1;2;3;2;1;7;0;0;1;2;0;0;0;0
2019-08-26 01:45:00;2;4;6;1;10;3;2;0;0;1;0;0;0;0
2019-08-26 02:00:00;2;1;3;0;6;3;2;1;1;2;0;0;0;0
2019-08-26 02:15:00;0;1;10;0;5;3;1;0;1;1;0;0;0;0
2019-08-26 02:30:00;6;0;5;0;4;6;2;0;0;1;0;0;0;0
2019-08-26 02:45:00;1;5;3;1;6;4;4;1;1;0;0;0;0;0
2019-08-26 03:00:00;1;2;4;0;4;5;1;0;3;0;0;0;0;0
2019-08-26 03:15:00;0;3;6;1;6;4;1;0;6;0;0;0;0;0
2019-08-26 03:30:00;1;2;6;1;7;1;1;0;1;2;0;0;0;0
2019-08-26 03:45:00;3;1;10;1;10;6;1;0;1;2;0;0;0;0
2019-08-26 04:00:00;3;4;6;0;10;5;2;0;4;4;0;0;0;0
2019-08-26 04:15:00;6;6;11;3;10;10;1;0;5;3;0;0;0;0
2019-08-26 04:30:00;4;1;13;3;8;4;3;0;3;7;0;0;0;0
2019-08-26 04:45:00;7;11;9;1;9;7;6;0;4;5;0;0;0;0
2019-08-26 05:00:00;20;15;24;4;18;13;2;1;11;18;0;0;0;0
2019-08-26 05:15:00;52;50;27;9;17;15;8;1;10;11;0;0;0;0
2019-08-26 05:30:00;61;54;33;22;28;28;12;6;12;21;0;0;0;0
2019-08-26 05:45:00;54;44;46;26;21;18;19;6;15;15;0;0;0;0
2019-08-26 06:00:00;45;28;44;26;25;18;12;2;12;10;0;0;0;0
2019-08-26 06:15:00;70;49;48;32;32;37;18;9;21;13;0;0;0;0
2019-08-26 06:30:00;92;61;70;43;36;42;21;12;22;22;0;0;0;0
2019-08-26 06:45:00;72;63;74;46;40;46;25;14;28;21;0;0;0;0
2019-08-26 07:00:00;97;72;88;59;42;50;26;18;25;32;0;0;0;0
2019-08-26 07:15:00;85;55;68;56;44;37;29;8;24;21;0;0;0;0
2019-08-26 07:30:00;106;80;96;69;57;45;26;16;40;34;0;0;0;0
2019-08-26 07:45:00;76;50;69;59;50;51;29;19;41;30;0;0;0;0
2019-08-26 08:00:00;88;71;69;53;56;57;36;22;26;33;0;0;0;0
2019-08-26 08:15:00;76;52;78;58;60;57;28;9;42;33;0;0;0;0
2019-08-26 08:30:00;53;35;63;46;52;52;19;11;40;33;0;0;0;0
2019-08-26 08:45:00;74;59;78;60;57;51;27;16;36;34;0;0;0;0
2019-08-26 09:00:00;55;47;88;52;53;46;28;13;24;36;0;0;0;0
2019-08-26 09:15:00;61;48;84;58;45;53;33;12;21;32;0;0;0;0
2019-08-26 09:30:00;49;45;94;51;66;43;34;18;41;38;0;0;0;0
2019-08-26 09:45:00;63;41;62;41;55;42;24;12;33;36;0;0;0;0
2019-08-26 10:00:00;43;37;113;53;59;54;26;7;34;42;0;0;0;0
2019-08-26 10:15:00;43;33;96;34;73;46;34;19;42;43;0;0;0;0
2019-08-26 10:30:00;55;43;103;56;60;60;34;16;41;38;0;0;0;0
2019-08-26 10:45:00;43;37;95;32;73;58;30;18;37;47;0;0;0;0
2019-08-26 11:00:00;59;36;86;39;63;45;34;9;38;33;0;0;0;0
2019-08-26 11:15:00;39;41;95;37;64;58;26;18;38;40;0;0;0;0
2019-08-26 11:30:00;39;25;75;40;66;52;31;18;49;42;0;0;0;0
2019-08-26 11:45:00;55;50;79;33;67;52;30;14;32;39;0;0;0;0
2019-08-26 12:00:00;44;41;75;42;67;55;38;19;37;39;0;0;0;0
2019-08-26 12:15:00;50;35;90;46;77;56;36;18;42;35;0;0;0;0
2019-08-26 12:30:00;51;32;74;48;57;56;25;12;47;42;0;0;0;0
2019-08-26 12:45:00;52;40;85;45;74;56;33;14;32;35;0;0;0;0
2019-08-26 13:00:00;58;35;93;57;65;60;28;12;36;42;0;0;0;0
2019-08-26 13:15:00;45;45;65;36;60;43;28;16;31;32;0;0;0;0
2019-08-26 13:30:00;67;66;80;46;47;52;27;12;43;40;0;0;0;0
2019-08-26 13:45:00;72;51;98;52;70;59;39;11;39;39;0;0;0;0
2019-08-26 14:00:00;44;33;89;40;64;56;20;12;63;52;0;0;0;0
2019-08-26 14:15:00;40;34;82;40;76;52;40;14;66;84;0;0;0;0
