DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2020-04-30 00:00:00;0;3;3;0;0;0;0;0;0;1;0
2020-04-30 00:15:00;0;2;1;0;0;3;4;0;3;3;3
2020-04-30 00:30:00;0;1;3;0;0;3;1;0;1;1;1
2020-04-30 00:45:00;0;1;5;0;0;2;0;0;0;1;1
2020-04-30 01:00:00;0;1;4;1;1;0;2;0;1;2;0
2020-04-30 01:15:00;0;1;2;0;0;0;0;0;0;0;0
2020-04-30 01:30:00;0;0;1;1;1;1;0;0;0;0;0
2020-04-30 01:45:00;0;0;0;0;0;0;0;0;1;2;0
2020-04-30 02:00:00;1;2;1;0;1;0;0;1;0;1;1
2020-04-30 02:15:00;0;1;0;0;0;0;0;0;0;2;2
2020-04-30 02:30:00;0;0;1;0;0;0;1;0;0;3;0
2020-04-30 02:45:00;0;0;0;0;0;1;2;0;1;1;0
2020-04-30 03:00:00;0;1;0;0;0;0;1;0;2;5;0
2020-04-30 03:15:00;0;1;0;0;0;0;1;0;0;1;0
2020-04-30 03:30:00;0;1;1;0;0;0;0;0;0;4;2
2020-04-30 03:45:00;0;0;0;0;0;1;0;0;0;2;0
2020-04-30 04:00:00;0;1;2;1;1;0;0;0;0;2;1
2020-04-30 04:15:00;0;1;0;0;0;1;2;0;0;1;2
2020-04-30 04:30:00;0;2;3;1;1;1;2;0;0;0;2
2020-04-30 04:45:00;0;2;1;0;0;0;0;1;1;3;5
2020-04-30 05:00:00;3;10;7;1;2;1;2;0;1;6;1
2020-04-30 05:15:00;0;16;17;0;0;2;6;1;3;10;4
2020-04-30 05:30:00;1;28;13;2;2;4;7;1;3;9;9
2020-04-30 05:45:00;2;25;11;3;4;3;7;0;6;18;13
2020-04-30 06:00:00;2;9;9;6;9;1;5;0;6;14;9
2020-04-30 06:15:00;0;15;11;6;7;4;13;2;12;14;13
2020-04-30 06:30:00;5;38;25;6;9;5;21;3;9;15;18
2020-04-30 06:45:00;3;20;26;11;14;6;13;3;14;28;20
2020-04-30 07:00:00;9;27;26;17;23;4;13;6;18;31;24
2020-04-30 07:15:00;5;24;37;10;14;7;19;8;26;63;20
2020-04-30 07:30:00;10;34;32;19;26;18;27;11;33;38;18
2020-04-30 07:45:00;5;30;36;11;15;17;29;18;24;29;19
2020-04-30 08:00:00;6;26;16;12;16;10;19;6;20;21;18
2020-04-30 08:15:00;3;23;25;9;11;7;18;7;14;26;23
2020-04-30 08:30:00;5;26;23;14;16;12;21;8;21;24;15
2020-04-30 08:45:00;3;24;38;8;9;19;20;11;20;23;8
2020-04-30 09:00:00;4;26;16;8;10;12;22;12;22;29;8
2020-04-30 09:15:00;6;27;30;11;13;15;21;12;25;24;11
2020-04-30 09:30:00;3;25;28;13;16;12;23;18;21;25;13
2020-04-30 09:45:00;4;31;25;10;15;17;20;16;28;20;13
2020-04-30 10:00:00;5;28;23;10;13;9;26;11;23;19;17
2020-04-30 10:15:00;7;25;31;8;13;17;28;18;27;32;19
2020-04-30 10:30:00;2;24;30;8;10;24;22;17;19;26;22
2020-04-30 10:45:00;5;28;38;13;15;17;28;14;25;26;20
2020-04-30 11:00:00;4;27;38;12;14;10;19;10;23;26;13
2020-04-30 11:15:00;6;34;30;9;13;22;37;16;20;22;32
