DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2020-05-09 00:00:00;1;8;7;0;3;4;13;0;1;0;0;0
2020-05-09 00:15:00;3;10;13;2;4;7;21;0;2;0;0;0
2020-05-09 00:30:00;1;6;7;0;0;2;6;0;0;0;0;0
2020-05-09 00:45:00;1;3;4;1;1;2;4;0;1;0;0;0
2020-05-09 01:00:00;2;2;3;0;0;3;6;0;3;0;0;0
2020-05-09 01:15:00;1;1;1;1;0;2;3;0;2;0;0;0
2020-05-09 01:30:00;0;1;1;0;1;0;4;0;1;0;0;0
2020-05-09 01:45:00;1;3;3;1;1;0;0;0;1;0;0;0
2020-05-09 02:00:00;0;2;2;0;0;2;1;0;1;1;0;0
2020-05-09 02:15:00;2;3;4;0;0;1;5;0;0;0;0;0
2020-05-09 02:30:00;1;0;1;0;1;1;1;0;0;0;0;0
2020-05-09 02:45:00;2;6;6;0;0;1;5;0;2;0;0;0
2020-05-09 03:00:00;0;0;0;0;0;0;1;0;0;0;0;0
2020-05-09 03:15:00;0;2;1;0;0;0;2;0;1;0;0;0
2020-05-09 03:30:00;0;0;0;0;0;1;3;0;3;0;0;0
2020-05-09 03:45:00;0;0;0;0;0;0;0;0;2;0;0;0
2020-05-09 04:00:00;1;3;4;0;0;1;3;0;1;0;0;0
2020-05-09 04:15:00;0;2;3;0;0;0;3;0;0;0;0;0
2020-05-09 04:30:00;1;0;1;0;0;0;2;0;0;0;0;0
2020-05-09 04:45:00;0;0;0;0;0;0;1;0;2;0;0;0
2020-05-09 05:00:00;3;2;4;1;0;0;3;0;0;0;0;0
2020-05-09 05:15:00;0;0;0;0;0;0;1;0;0;0;0;0
2020-05-09 05:30:00;8;6;8;0;1;1;4;0;0;0;0;0
2020-05-09 05:45:00;10;6;6;0;0;0;6;0;1;1;0;0
2020-05-09 06:00:00;2;1;1;0;0;0;1;0;0;0;0;0
2020-05-09 06:15:00;3;4;5;0;2;1;5;0;1;0;0;0
2020-05-09 06:30:00;3;2;3;2;1;1;3;0;4;0;0;0
2020-05-09 06:45:00;2;2;3;1;2;1;8;0;0;0;2;0
2020-05-09 07:00:00;1;2;2;0;0;4;8;0;0;0;1;0
2020-05-09 07:15:00;4;8;8;0;2;2;4;0;2;0;1;0
2020-05-09 07:30:00;11;11;16;0;2;2;12;0;1;0;0;0
2020-05-09 07:45:00;17;21;28;1;3;3;6;0;1;0;0;1
2020-05-09 08:00:00;22;15;23;0;3;4;11;0;5;0;0;0
2020-05-09 08:15:00;12;16;22;1;1;5;19;0;5;0;0;0
2020-05-09 08:30:00;21;25;65;3;2;8;17;0;6;0;0;0
2020-05-09 08:45:00;33;40;43;4;2;9;39;0;4;0;0;0
2020-05-09 09:00:00;29;36;46;0;6;12;31;0;3;0;0;0
2020-05-09 09:15:00;49;50;56;0;5;20;46;0;8;0;0;3
2020-05-09 09:30:00;49;41;62;3;6;18;40;0;11;0;0;0
