DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2020-11-29 00:00:00;0;4;4;1;1;1;3;2;0;10;2
2020-11-29 00:15:00;2;2;7;0;1;2;5;1;0;3;2
2020-11-29 00:30:00;0;5;11;1;1;1;4;0;2;4;1
2020-11-29 00:45:00;1;4;6;0;1;1;2;2;2;3;5
2020-11-29 01:00:00;1;3;5;1;1;3;6;2;0;4;0
2020-11-29 01:15:00;0;5;5;0;2;1;0;2;0;1;1
2020-11-29 01:30:00;0;2;1;0;0;1;4;1;2;2;0
2020-11-29 01:45:00;1;1;8;1;2;0;1;2;0;1;4
2020-11-29 02:00:00;0;1;3;0;0;3;1;2;0;3;2
2020-11-29 02:15:00;0;1;5;0;0;2;0;0;3;6;3
2020-11-29 02:30:00;1;2;2;0;0;0;3;3;0;4;1
2020-11-29 02:45:00;0;1;2;0;0;1;3;0;0;4;4
2020-11-29 03:00:00;0;0;2;0;0;0;2;1;0;2;0
2020-11-29 03:15:00;0;1;2;0;0;0;2;0;1;1;0
2020-11-29 03:30:00;1;2;1;0;1;0;0;0;1;1;0
2020-11-29 03:45:00;0;0;0;0;0;0;1;1;0;0;0
2020-11-29 04:00:00;0;0;1;1;1;1;1;0;0;1;1
2020-11-29 04:15:00;0;1;1;0;0;1;4;0;0;0;0
2020-11-29 04:30:00;0;2;1;0;0;2;1;2;0;0;0
2020-11-29 04:45:00;0;0;2;0;0;2;3;1;1;3;1
2020-11-29 05:00:00;0;0;1;0;0;0;0;0;0;9;2
2020-11-29 05:15:00;0;1;1;0;0;1;3;0;1;3;2
2020-11-29 05:30:00;1;4;5;1;3;2;0;0;1;5;3
2020-11-29 05:45:00;0;6;8;2;2;1;4;0;0;1;1
2020-11-29 06:00:00;0;1;4;1;1;2;2;0;2;6;1
2020-11-29 06:15:00;0;3;3;0;0;2;5;0;2;1;0
2020-11-29 06:30:00;0;1;1;0;1;1;0;1;2;2;2
