DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-03-14 19:45:00;0;36;35;7;24;34;10;55;34;8;41;34;26
2020-03-14 20:00:00;0;40;25;4;14;30;13;42;22;9;32;35;27
2020-03-14 20:15:00;0;39;33;3;20;40;18;35;26;3;30;23;20
2020-03-14 20:30:00;0;39;19;5;13;32;9;33;27;4;28;22;15
2020-03-14 20:45:00;0;26;18;6;13;23;9;34;13;4;21;17;15
2020-03-14 21:00:00;0;28;19;7;17;30;20;34;24;6;23;16;17
2020-03-14 21:15:00;0;26;18;6;12;30;9;34;21;4;26;25;20
2020-03-14 21:30:00;0;34;20;2;14;26;8;27;13;1;21;13;17
2020-03-14 21:45:00;0;28;19;3;13;17;4;22;11;5;16;18;10
2020-03-14 22:00:00;0;24;15;2;8;19;10;21;14;2;16;15;12
2020-03-14 22:15:00;0;26;20;7;14;20;10;25;9;4;16;10;8
2020-03-14 22:30:00;0;23;13;3;16;21;8;23;10;0;16;15;18
2020-03-14 22:45:00;0;27;13;3;9;21;10;23;12;4;14;16;13
2020-03-14 23:00:00;0;26;29;3;9;12;8;22;8;0;16;15;10
2020-03-14 23:15:00;0;9;12;1;7;17;8;20;5;4;13;10;6
2020-03-14 23:30:00;0;16;14;3;10;14;4;15;9;0;14;9;11
2020-03-14 23:45:00;0;16;11;6;9;22;4;9;9;2;20;10;10
