DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2020-12-06 00:00:00;15;0;1;4;6;27;16;0;0;0;0;0;0;0
2020-12-06 00:15:00;21;2;3;5;10;21;19;0;0;0;0;0;0;0
2020-12-06 00:30:00;7;1;2;3;8;20;21;0;0;0;0;0;0;0
2020-12-06 00:45:00;10;1;2;6;5;19;12;0;0;0;0;0;0;0
2020-12-06 01:00:00;9;2;2;1;2;21;16;0;0;0;0;0;0;0
2020-12-06 01:15:00;9;3;1;3;4;18;11;0;0;0;0;0;0;0
2020-12-06 01:30:00;10;0;1;1;2;12;7;0;0;0;0;0;0;0
2020-12-06 01:45:00;6;0;0;1;3;7;9;0;0;0;0;0;0;0
2020-12-06 02:00:00;5;1;1;1;1;8;11;0;0;0;0;0;0;0
2020-12-06 02:15:00;4;2;2;1;3;7;6;0;0;0;0;0;0;0
2020-12-06 02:30:00;4;0;1;1;1;8;8;0;0;0;0;0;0;0
2020-12-06 02:45:00;4;0;0;0;2;5;4;0;0;0;0;0;0;0
2020-12-06 03:00:00;4;1;2;2;1;5;8;0;0;0;0;0;0;0
2020-12-06 03:15:00;5;0;0;0;3;7;5;0;0;0;0;0;0;0
2020-12-06 03:30:00;3;1;2;0;0;3;4;0;0;0;0;0;0;0
2020-12-06 03:45:00;6;0;0;0;1;7;3;0;0;0;0;0;0;0
2020-12-06 04:00:00;3;0;0;0;1;2;6;0;0;0;0;0;0;0
2020-12-06 04:15:00;3;0;0;0;2;2;2;0;0;0;0;0;0;0
2020-12-06 04:30:00;1;1;0;1;4;4;4;0;0;0;0;0;0;0
2020-12-06 04:45:00;3;0;0;1;4;8;4;0;0;0;0;0;0;0
2020-12-06 05:00:00;4;1;0;0;1;5;8;0;0;0;0;0;0;0
2020-12-06 05:15:00;10;1;1;2;1;5;12;0;0;0;0;0;0;0
2020-12-06 05:30:00;10;0;1;1;3;8;25;0;0;0;0;0;0;0
2020-12-06 05:45:00;12;0;0;1;2;10;23;0;0;0;0;0;0;0
2020-12-06 06:00:00;1;0;0;0;1;8;11;0;0;0;0;0;0;0
2020-12-06 06:15:00;2;0;0;0;2;11;8;0;0;0;0;0;0;0
2020-12-06 06:30:00;10;0;1;1;3;13;7;0;0;0;0;0;0;0
2020-12-06 06:45:00;7;1;4;4;5;12;8;0;0;0;0;0;0;0
2020-12-06 07:00:00;5;4;3;3;2;10;9;0;0;0;0;0;0;0
2020-12-06 07:15:00;13;5;4;6;4;9;12;0;0;0;0;0;0;0
