DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-08-28 00:00:00;5;5;9;1;0;0;7;0;0
2020-08-28 00:15:00;2;4;9;1;0;0;10;0;0
2020-08-28 00:30:00;2;6;6;2;0;0;6;0;0
2020-08-28 00:45:00;4;6;10;3;2;1;4;0;0
2020-08-28 01:00:00;0;4;6;0;0;0;5;0;0
2020-08-28 01:15:00;0;2;6;0;0;0;7;0;0
2020-08-28 01:30:00;1;2;2;0;0;1;0;0;0
2020-08-28 01:45:00;1;4;6;0;0;0;6;0;0
2020-08-28 02:00:00;0;1;2;0;0;0;1;0;0
2020-08-28 02:15:00;1;0;1;0;0;0;1;0;0
2020-08-28 02:30:00;1;0;2;0;0;0;2;0;0
2020-08-28 02:45:00;3;1;2;0;0;0;0;0;0
2020-08-28 03:00:00;0;1;2;0;0;0;3;0;0
2020-08-28 03:15:00;1;0;2;0;0;1;3;0;0
2020-08-28 03:30:00;2;2;6;0;0;0;2;0;0
2020-08-28 03:45:00;0;5;7;0;0;1;2;0;0
2020-08-28 04:00:00;3;3;5;0;0;1;5;0;0
2020-08-28 04:15:00;2;6;7;0;0;0;1;0;0
2020-08-28 04:30:00;2;5;8;2;1;0;3;0;0
2020-08-28 04:45:00;1;4;7;2;0;2;13;0;0
2020-08-28 05:00:00;7;9;21;3;3;3;23;0;0
2020-08-28 05:15:00;6;15;29;7;8;11;54;0;0
2020-08-28 05:30:00;18;19;31;8;4;7;60;0;0
2020-08-28 05:45:00;20;20;41;11;3;7;61;0;0
2020-08-28 06:00:00;13;16;32;15;0;2;30;0;0
2020-08-28 06:15:00;15;28;39;6;3;3;29;0;0
2020-08-28 06:30:00;32;34;59;17;13;22;60;0;3
2020-08-28 06:45:00;36;32;65;10;8;9;47;0;5
2020-08-28 07:00:00;25;39;60;15;8;11;53;0;0
2020-08-28 07:15:00;33;27;62;21;12;5;50;0;9
2020-08-28 07:30:00;36;29;61;10;12;12;78;1;4
2020-08-28 07:45:00;39;41;61;9;6;6;69;2;6
2020-08-28 08:00:00;33;45;74;13;7;6;51;0;1
2020-08-28 08:15:00;32;42;67;10;3;2;38;1;1
2020-08-28 08:30:00;32;31;62;10;6;0;64;0;1
2020-08-28 08:45:00;33;38;63;10;8;2;45;1;3
2020-08-28 09:00:00;24;29;49;16;11;3;58;1;2
2020-08-28 09:15:00;32;40;71;18;8;7;57;3;0
2020-08-28 09:30:00;46;40;64;24;12;4;56;1;0
2020-08-28 09:45:00;27;33;54;16;7;4;56;0;2
2020-08-28 10:00:00;34;35;54;8;4;1;58;5;1
2020-08-28 10:15:00;33;41;58;14;9;5;70;2;14
2020-08-28 10:30:00;32;38;61;15;7;2;44;1;0
2020-08-28 10:45:00;41;63;86;16;7;3;64;0;7
2020-08-28 11:00:00;46;70;92;20;10;7;63;6;11
2020-08-28 11:15:00;36;50;75;11;7;8;64;5;3
2020-08-28 11:30:00;32;58;66;15;11;5;66;1;10
2020-08-28 11:45:00;45;59;67;18;7;9;75;5;3
2020-08-28 12:00:00;50;60;85;18;8;10;77;4;19
2020-08-28 12:15:00;43;57;66;14;8;7;79;0;14
2020-08-28 12:30:00;54;65;84;30;9;10;82;8;5
2020-08-28 12:45:00;61;63;100;20;6;5;98;9;8
2020-08-28 13:00:00;51;68;87;24;10;4;85;5;3
2020-08-28 13:15:00;42;54;84;27;8;8;87;4;7
2020-08-28 13:30:00;50;62;96;12;6;5;76;1;7
2020-08-28 13:45:00;63;76;117;20;11;10;97;5;14
2020-08-28 14:00:00;53;74;101;18;9;7;94;0;26
2020-08-28 14:15:00;73;67;122;24;9;2;69;5;14
2020-08-28 14:30:00;66;81;127;29;10;5;92;19;15
2020-08-28 14:45:00;71;76;126;26;9;3;72;6;0
2020-08-28 15:00:00;46;53;88;34;11;4;80;7;7
2020-08-28 15:15:00;66;52;95;25;11;4;81;7;10
2020-08-28 15:30:00;60;77;112;19;10;5;58;3;1
2020-08-28 15:45:00;62;50;90;15;8;2;75;2;1
2020-08-28 16:00:00;63;72;113;26;12;8;94;1;5
2020-08-28 16:15:00;47;60;80;11;7;3;79;0;0
2020-08-28 16:30:00;51;63;103;13;6;5;87;2;0
2020-08-28 16:45:00;47;40;77;18;9;3;62;0;0
2020-08-28 17:00:00;52;52;88;21;10;4;83;0;0
2020-08-28 17:15:00;53;54;99;15;8;1;56;0;6
2020-08-28 17:30:00;39;35;71;14;7;2;67;1;35
2020-08-28 17:45:00;49;51;82;11;8;4;61;4;1
2020-08-28 18:00:00;34;43;75;12;9;5;78;10;0
2020-08-28 18:15:00;47;37;83;16;6;0;72;0;14
2020-08-28 18:30:00;37;46;71;17;7;4;44;0;1
2020-08-28 18:45:00;35;34;67;12;6;1;49;0;4
2020-08-28 19:00:00;26;27;52;5;4;1;42;0;0
2020-08-28 19:15:00;28;20;51;5;5;2;56;3;0
2020-08-28 19:30:00;23;22;54;4;3;3;44;0;0
2020-08-28 19:45:00;26;21;49;15;8;3;36;0;0
2020-08-28 20:00:00;38;32;64;11;9;4;60;1;1
2020-08-28 20:15:00;29;20;66;4;2;4;58;0;0
2020-08-28 20:30:00;22;19;67;4;3;2;46;1;2
2020-08-28 20:45:00;17;26;47;4;3;4;41;0;0
2020-08-28 21:00:00;25;35;57;10;9;2;37;0;2
2020-08-28 21:15:00;25;17;51;4;5;6;31;0;0
2020-08-28 21:30:00;26;22;48;6;6;3;37;0;0
2020-08-28 21:45:00;26;23;45;6;3;2;24;0;20
2020-08-28 22:00:00;26;26;49;5;3;1;26;0;0
2020-08-28 22:15:00;13;23;40;5;5;0;29;0;0
2020-08-28 22:30:00;14;24;34;7;5;0;21;0;0
2020-08-28 22:45:00;7;9;15;8;5;2;16;0;0
2020-08-28 23:00:00;12;18;36;3;3;2;21;0;0
2020-08-28 23:15:00;13;18;28;3;2;1;16;0;0
2020-08-28 23:30:00;14;13;26;3;0;0;17;0;0
2020-08-28 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
