DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2019-11-10 00:00:00;13;13;7;3;5;10;31;11
2019-11-10 00:15:00;20;17;16;4;5;19;24;16
2019-11-10 00:30:00;21;18;11;6;7;13;22;12
2019-11-10 00:45:00;22;17;18;9;4;13;17;10
2019-11-10 01:00:00;8;17;12;4;3;6;20;8
2019-11-10 01:15:00;10;15;15;5;4;6;22;11
2019-11-10 01:30:00;15;7;10;4;3;8;19;6
2019-11-10 01:45:00;16;18;17;6;5;8;23;9
2019-11-10 02:00:00;15;10;11;4;3;7;15;6
2019-11-10 02:15:00;11;12;5;4;4;11;14;4
2019-11-10 02:30:00;8;6;5;5;4;8;11;4
2019-11-10 02:45:00;6;11;7;3;4;7;16;7
2019-11-10 03:00:00;1;8;3;2;3;6;4;6
2019-11-10 03:15:00;9;11;5;0;0;0;8;11
2019-11-10 03:30:00;5;5;2;2;1;4;7;6
2019-11-10 03:45:00;7;3;4;4;4;4;11;3
2019-11-10 04:00:00;6;2;2;3;3;3;8;5
2019-11-10 04:15:00;3;6;2;1;2;2;7;3
2019-11-10 04:30:00;5;5;2;3;1;3;5;5
2019-11-10 04:45:00;9;2;1;5;5;10;11;7
2019-11-10 05:00:00;4;5;2;0;1;2;10;3
2019-11-10 05:15:00;12;6;4;7;7;8;10;6
2019-11-10 05:30:00;3;9;3;3;2;8;11;4
2019-11-10 05:45:00;6;2;4;3;2;5;8;2
2019-11-10 06:00:00;8;5;11;5;5;12;11;7
2019-11-10 06:15:00;6;4;3;8;3;13;10;3
2019-11-10 06:30:00;11;10;6;4;2;13;13;4
2019-11-10 06:45:00;3;8;11;6;6;6;11;8
2019-11-10 07:00:00;9;14;12;3;3;9;8;5
2019-11-10 07:15:00;8;11;2;11;10;13;12;2
2019-11-10 07:30:00;11;9;10;18;7;22;8;4
2019-11-10 07:45:00;13;17;10;16;13;26;23;7
2019-11-10 08:00:00;18;14;12;22;17;28;27;4
2019-11-10 08:15:00;18;26;21;26;35;50;30;10
2019-11-10 08:30:00;25;33;11;27;26;46;42;13
2019-11-10 08:45:00;33;34;36;16;27;45;53;20
2019-11-10 09:00:00;40;40;17;16;20;44;34;22
2019-11-10 09:15:00;34;31;20;28;27;58;37;27
2019-11-10 09:30:00;42;38;21;23;27;66;49;26
2019-11-10 09:45:00;55;48;32;35;32;78;57;34
2019-11-10 10:00:00;48;44;28;27;34;69;24;24
2019-11-10 10:15:00;46;48;25;34;36;74;46;27
2019-11-10 10:30:00;46;39;23;17;25;52;38;39
2019-11-10 10:45:00;60;50;32;30;30;75;46;40
2019-11-10 11:00:00;48;50;36;29;36;73;60;44
2019-11-10 11:15:00;55;60;38;31;31;82;56;44
2019-11-10 11:30:00;50;71;43;35;31;78;62;48
2019-11-10 11:45:00;48;55;30;26;35;81;46;55
2019-11-10 12:00:00;46;44;28;23;23;52;64;59
2019-11-10 12:15:00;39;42;36;18;22;61;37;44
2019-11-10 12:30:00;43;42;33;63;33;66;61;48
2019-11-10 12:45:00;45;48;36;22;18;59;61;55
2019-11-10 13:00:00;43;39;54;72;25;69;53;41
2019-11-10 13:15:00;40;58;38;33;28;67;52;43
2019-11-10 13:30:00;53;53;42;22;9;56;60;42
2019-11-10 13:45:00;56;54;45;69;29;78;65;57
