DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-11-20 21:00:00;32;12;6;2;6;21;29;23;19;14;0;0
2020-11-20 21:15:00;31;17;3;7;9;39;28;22;19;15;0;0
2020-11-20 21:30:00;17;8;2;4;6;22;26;15;19;7;0;0
2020-11-20 21:45:00;20;17;2;3;7;16;18;14;18;10;0;0
2020-11-20 22:00:00;26;15;2;4;7;20;31;27;10;8;0;0
2020-11-20 22:15:00;15;12;3;8;14;25;31;23;5;13;0;0
2020-11-20 22:30:00;24;16;5;4;7;15;24;19;10;9;0;0
2020-11-20 22:45:00;19;12;1;3;4;16;20;9;12;3;0;0
2020-11-20 23:00:00;10;5;1;3;4;17;15;11;8;10;0;0
2020-11-20 23:15:00;16;8;2;2;2;12;17;11;6;8;0;0
2020-11-20 23:30:00;10;6;3;1;2;9;16;12;5;3;0;0
2020-11-20 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
