DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-10-24 00:00:00;5;8;3;0;13;8;0;0;7;0;0
2020-10-24 00:15:00;11;10;0;0;17;9;0;0;11;0;0
2020-10-24 00:30:00;14;16;1;0;11;7;0;0;9;0;0
2020-10-24 00:45:00;7;7;0;0;9;10;1;0;8;0;0
2020-10-24 01:00:00;5;10;2;0;13;8;1;0;6;0;0
2020-10-24 01:15:00;2;8;1;0;11;7;0;0;9;0;0
2020-10-24 01:30:00;3;4;2;0;10;7;0;0;9;0;0
2020-10-24 01:45:00;3;10;1;0;8;3;0;0;2;0;0
2020-10-24 02:00:00;6;11;1;0;7;3;0;0;3;0;0
2020-10-24 02:15:00;2;5;2;0;4;2;0;0;5;0;0
2020-10-24 02:30:00;6;9;3;0;7;3;0;0;5;0;0
2020-10-24 02:45:00;3;3;0;0;4;3;0;0;3;0;0
2020-10-24 03:00:00;1;4;0;0;2;7;2;0;10;0;0
2020-10-24 03:15:00;3;4;0;0;6;4;0;0;4;0;0
2020-10-24 03:30:00;5;6;0;0;6;3;0;0;4;0;0
2020-10-24 03:45:00;2;1;0;0;5;1;0;0;1;0;0
2020-10-24 04:00:00;5;4;2;0;9;5;0;0;7;0;0
2020-10-24 04:15:00;1;5;0;0;1;0;0;0;2;0;0
2020-10-24 04:30:00;5;7;1;0;8;2;0;0;5;0;0
2020-10-24 04:45:00;5;6;1;0;9;5;0;0;4;0;0
2020-10-24 05:00:00;14;12;0;0;12;3;0;0;4;0;0
2020-10-24 05:15:00;12;10;2;0;16;10;0;0;12;0;0
2020-10-24 05:30:00;15;16;0;0;20;20;0;0;21;0;0
2020-10-24 05:45:00;14;18;1;0;10;10;0;0;12;0;0
2020-10-24 06:00:00;23;29;1;0;15;13;0;0;17;0;0
2020-10-24 06:15:00;26;27;4;0;19;9;0;0;13;0;0
2020-10-24 06:30:00;28;23;1;0;20;9;0;0;11;0;0
2020-10-24 06:45:00;19;17;2;0;29;15;0;0;17;1;0
2020-10-24 07:00:00;24;27;2;0;18;19;0;0;20;0;0
2020-10-24 07:15:00;35;40;1;0;24;21;1;0;22;0;0
2020-10-24 07:30:00;42;42;0;0;32;28;3;0;29;1;0
2020-10-24 07:45:00;42;40;4;0;41;27;2;0;38;0;0
2020-10-24 08:00:00;40;42;1;0;33;26;2;0;28;1;0
2020-10-24 08:15:00;38;53;2;0;41;26;5;0;30;1;0
2020-10-24 08:30:00;50;47;2;0;42;41;5;0;44;4;1
2020-10-24 08:45:00;55;66;3;0;45;42;2;0;53;2;0
2020-10-24 09:00:00;60;74;4;0;59;46;3;0;49;5;3
2020-10-24 09:15:00;69;82;6;0;64;51;3;0;55;3;0
2020-10-24 09:30:00;78;93;9;0;65;44;5;0;47;4;2
2020-10-24 09:45:00;92;100;9;0;75;80;8;0;83;4;1
2020-10-24 10:00:00;93;107;12;0;72;75;8;0;80;5;4
2020-10-24 10:15:00;79;89;5;0;85;87;6;0;89;9;2
2020-10-24 10:30:00;94;100;11;0;91;84;8;0;84;6;0
