DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-12-11 00:00:00;3;3;0;1;3;1;0;0;1;0;0
2020-12-11 00:15:00;4;2;0;0;6;3;0;0;2;0;0
2020-12-11 00:30:00;12;12;0;0;6;3;0;0;3;0;0
2020-12-11 00:45:00;3;5;2;0;6;9;1;0;8;0;0
2020-12-11 01:00:00;3;4;0;0;5;2;1;0;3;0;0
2020-12-11 01:15:00;2;2;0;1;6;3;0;0;4;0;0
2020-12-11 01:30:00;10;9;2;0;3;1;0;0;1;0;0
2020-12-11 01:45:00;4;1;0;0;3;1;0;0;2;0;0
2020-12-11 02:00:00;6;7;0;0;5;2;0;0;4;0;0
2020-12-11 02:15:00;4;9;4;0;4;2;0;0;5;0;0
2020-12-11 02:30:00;2;11;3;0;5;3;0;0;2;0;0
2020-12-11 02:45:00;3;2;0;0;1;0;0;0;0;0;0
2020-12-11 03:00:00;8;8;1;0;1;0;0;0;1;0;0
2020-12-11 03:15:00;8;9;1;0;4;8;0;0;5;0;0
2020-12-11 03:30:00;8;6;0;0;6;3;0;0;5;0;0
2020-12-11 03:45:00;8;7;0;1;3;2;0;0;5;0;0
2020-12-11 04:00:00;9;9;1;0;5;4;2;0;4;0;0
2020-12-11 04:15:00;7;2;0;0;8;2;1;0;9;0;0
2020-12-11 04:30:00;13;13;1;0;8;6;0;0;7;0;0
2020-12-11 04:45:00;20;11;0;1;14;11;1;0;11;0;0
2020-12-11 05:00:00;29;18;5;0;18;10;3;0;13;0;0
2020-12-11 05:15:00;27;30;3;0;30;15;0;0;17;0;0
2020-12-11 05:30:00;46;61;6;3;48;32;1;0;39;0;1
2020-12-11 05:45:00;53;49;14;3;55;23;1;0;30;0;0
2020-12-11 06:00:00;55;80;13;3;64;36;3;0;37;0;0
2020-12-11 06:15:00;67;85;20;3;70;50;3;0;49;0;0
2020-12-11 06:30:00;82;108;27;10;99;74;4;0;78;0;8
2020-12-11 06:45:00;74;104;16;7;81;81;4;0;84;2;13
2020-12-11 07:00:00;68;92;17;6;104;95;4;0;106;0;3
2020-12-11 07:15:00;64;112;11;6;116;129;6;0;129;2;6
2020-12-11 07:30:00;80;118;16;4;104;107;7;0;119;0;0
2020-12-11 07:45:00;83;105;11;8;89;85;3;0;108;2;22
2020-12-11 08:00:00;76;105;18;9;88;93;8;0;103;2;3
2020-12-11 08:15:00;59;68;6;4;79;66;11;0;69;4;0
2020-12-11 08:30:00;77;91;7;17;80;79;12;0;86;3;0
2020-12-11 08:45:00;81;85;10;10;84;80;12;0;83;9;2
2020-12-11 09:00:00;65;84;9;7;91;74;7;0;77;8;6
2020-12-11 09:15:00;80;91;11;10;94;88;9;0;99;4;11
2020-12-11 09:30:00;76;85;9;12;95;92;13;0;96;4;10
2020-12-11 09:45:00;89;111;10;13;91;83;8;0;92;3;2
2020-12-11 10:00:00;84;98;13;17;81;82;8;0;85;7;2
2020-12-11 10:15:00;96;101;8;14;99;87;9;0;95;8;8
2020-12-11 10:30:00;96;117;10;26;101;95;9;0;98;12;78
2020-12-11 10:45:00;100;114;7;13;119;97;6;0;105;10;16
2020-12-11 11:00:00;102;106;11;39;102;98;7;0;106;8;5
2020-12-11 11:15:00;82;108;12;29;102;95;8;0;96;9;7
2020-12-11 11:30:00;90;90;9;33;93;94;8;0;94;5;55
2020-12-11 11:45:00;105;129;14;41;93;94;9;0;94;5;12
2020-12-11 12:00:00;99;132;12;40;109;118;6;0;122;5;44
2020-12-11 12:15:00;101;149;11;24;92;94;5;0;102;7;20
2020-12-11 12:30:00;97;148;16;19;105;107;5;0;112;2;9
2020-12-11 12:45:00;90;139;9;14;107;105;9;0;106;8;1
2020-12-11 13:00:00;101;159;16;11;106;112;7;0;118;4;4
2020-12-11 13:15:00;103;155;21;5;97;112;5;0;121;5;1
2020-12-11 13:30:00;110;172;14;7;98;114;10;0;115;9;2
2020-12-11 13:45:00;112;140;14;8;106;119;7;0;123;3;6
2020-12-11 14:00:00;111;134;10;5;115;122;11;0;130;5;7
2020-12-11 14:15:00;109;124;8;5;113;142;11;0;150;6;2
2020-12-11 14:30:00;108;149;18;1;119;125;11;0;127;12;1
2020-12-11 14:45:00;80;132;10;3;114;113;9;0;123;8;6
2020-12-11 15:00:00;102;143;10;6;102;105;10;0;115;14;4
2020-12-11 15:15:00;110;132;15;3;114;131;11;0;139;11;5
2020-12-11 15:30:00;97;127;9;2;115;133;9;0;137;13;25
2020-12-11 15:45:00;114;133;11;6;128;146;15;0;143;11;3
2020-12-11 16:00:00;117;125;15;2;119;112;9;0;121;15;3
2020-12-11 16:15:00;105;143;14;0;143;135;10;0;144;6;2
2020-12-11 16:30:00;105;154;15;3;109;132;5;0;148;12;1
2020-12-11 16:45:00;105;131;11;2;107;120;5;0;126;7;0
2020-12-11 17:00:00;102;147;14;1;110;131;5;0;138;8;2
2020-12-11 17:15:00;84;115;7;2;115;117;0;0;118;1;4
2020-12-11 17:30:00;79;114;6;1;110;112;5;0;112;6;5
2020-12-11 17:45:00;82;91;6;4;87;101;5;0;113;4;2
2020-12-11 18:00:00;97;112;8;2;87;111;4;0;110;2;0
2020-12-11 18:15:00;69;89;8;2;85;85;2;0;90;1;2
2020-12-11 18:30:00;70;81;4;1;82;81;3;0;80;1;0
2020-12-11 18:45:00;63;73;2;1;68;69;5;0;76;0;0
2020-12-11 19:00:00;57;71;4;2;69;70;2;0;78;0;0
2020-12-11 19:15:00;54;55;4;0;58;57;1;0;60;0;2
2020-12-11 19:30:00;41;44;1;2;58;44;0;0;46;0;0
2020-12-11 19:45:00;35;45;2;1;47;45;0;0;49;0;0
2020-12-11 20:00:00;38;42;2;0;54;54;0;0;56;0;1
2020-12-11 20:15:00;33;45;1;0;48;44;2;0;45;1;0
2020-12-11 20:30:00;32;32;2;0;43;34;2;0;37;0;2
2020-12-11 20:45:00;22;27;1;1;33;25;1;0;29;0;0
2020-12-11 21:00:00;29;26;0;1;49;41;1;0;44;0;0
2020-12-11 21:15:00;23;21;0;0;22;19;0;0;20;0;0
2020-12-11 21:30:00;18;18;5;0;26;21;0;0;22;0;0
2020-12-11 21:45:00;10;12;0;0;23;16;0;0;16;0;0
2020-12-11 22:00:00;21;15;1;0;22;17;0;0;14;0;0
2020-12-11 22:15:00;18;25;2;0;13;7;0;0;5;0;0
2020-12-11 22:30:00;16;18;2;0;14;9;0;0;12;0;0
2020-12-11 22:45:00;9;11;0;0;15;12;0;0;16;0;0
2020-12-11 23:00:00;15;9;1;1;18;18;1;0;20;0;0
2020-12-11 23:15:00;7;10;2;0;14;5;0;0;9;0;0
2020-12-11 23:30:00;7;9;0;0;13;8;0;0;6;0;0
2020-12-11 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
