DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2019-08-21 00:00:00;6;8;9;1;0;0;4;0;0
2019-08-21 00:15:00;0;1;2;0;0;1;5;0;0
2019-08-21 00:30:00;2;4;10;0;1;0;9;0;0
2019-08-21 00:45:00;3;4;10;1;1;1;7;0;0
2019-08-21 01:00:00;1;3;6;0;0;0;5;0;0
2019-08-21 01:15:00;1;5;6;1;1;0;4;0;0
2019-08-21 01:30:00;1;4;4;1;0;0;3;0;0
2019-08-21 01:45:00;2;0;3;0;0;0;5;0;0
2019-08-21 02:00:00;0;1;2;0;0;0;2;0;0
2019-08-21 02:15:00;0;1;4;1;0;0;5;0;0
2019-08-21 02:30:00;1;1;4;0;0;0;2;0;0
2019-08-21 02:45:00;1;2;2;0;0;0;0;0;0
2019-08-21 03:00:00;0;0;0;1;0;0;0;0;0
2019-08-21 03:15:00;1;3;5;0;0;0;2;0;0
2019-08-21 03:30:00;3;2;4;0;0;0;2;0;0
2019-08-21 03:45:00;3;1;5;0;0;0;4;0;0
2019-08-21 04:00:00;2;1;5;1;0;0;2;0;0
2019-08-21 04:15:00;1;1;3;0;0;1;1;0;0
2019-08-21 04:30:00;1;5;7;2;1;1;2;0;0
2019-08-21 04:45:00;1;3;4;1;0;0;1;0;0
2019-08-21 05:00:00;6;11;17;2;1;2;12;0;0
2019-08-21 05:15:00;11;12;23;2;1;0;17;0;0
2019-08-21 05:30:00;10;24;34;4;2;7;44;0;0
2019-08-21 05:45:00;22;13;28;6;2;5;43;0;0
2019-08-21 06:00:00;12;13;25;7;0;2;20;0;0
2019-08-21 06:15:00;19;17;36;17;12;12;53;0;0
2019-08-21 06:30:00;28;30;49;24;20;23;94;0;3
2019-08-21 06:45:00;33;38;71;10;11;21;83;2;0
2019-08-21 07:00:00;28;35;72;16;9;10;78;2;3
2019-08-21 07:15:00;30;30;60;16;10;13;80;2;23
2019-08-21 07:30:00;36;33;65;11;6;6;94;0;4
2019-08-21 07:45:00;35;45;71;19;13;18;84;4;7
2019-08-21 08:00:00;22;21;43;16;11;9;73;1;5
2019-08-21 08:15:00;31;35;50;18;9;6;65;0;3
2019-08-21 08:30:00;24;38;59;15;6;2;64;0;13
2019-08-21 08:45:00;35;39;62;18;5;5;39;0;6
2019-08-21 09:00:00;25;26;48;19;8;4;48;0;0
2019-08-21 09:15:00;24;21;40;14;9;5;50;0;2
2019-08-21 09:30:00;29;26;45;9;8;2;52;4;0
2019-08-21 09:45:00;21;39;57;11;9;6;66;16;0
2019-08-21 10:00:00;30;42;64;10;6;2;53;5;4
2019-08-21 10:15:00;22;34;58;8;8;2;46;0;18
2019-08-21 10:30:00;26;44;55;9;6;3;57;1;5
2019-08-21 10:45:00;22;47;56;12;9;4;53;2;7
2019-08-21 11:00:00;25;42;59;23;12;6;64;15;4
2019-08-21 11:15:00;32;45;64;14;7;3;51;7;2
2019-08-21 11:30:00;31;47;60;17;11;3;59;2;7
2019-08-21 11:45:00;26;49;68;16;9;4;59;7;3
2019-08-21 12:00:00;46;45;83;22;10;5;76;5;1
2019-08-21 12:15:00;29;35;67;12;8;7;68;10;2
2019-08-21 12:30:00;28;43;60;16;9;6;54;6;18
2019-08-21 12:45:00;33;45;58;14;5;4;66;4;8
2019-08-21 13:00:00;26;49;62;6;5;0;53;17;2
2019-08-21 13:15:00;32;50;71;21;10;1;63;6;18
2019-08-21 13:30:00;28;42;64;12;6;3;69;0;4
2019-08-21 13:45:00;43;37;77;19;8;2;60;0;8
2019-08-21 14:00:00;43;36;101;21;9;4;70;4;9
2019-08-21 14:15:00;43;34;61;20;6;4;69;21;14
2019-08-21 14:30:00;50;48;77;20;7;3;58;3;3
2019-08-21 14:45:00;44;53;81;29;9;3;69;4;1
2019-08-21 15:00:00;52;44;79;17;9;3;59;8;0
2019-08-21 15:15:00;57;57;93;27;8;3;67;7;12
2019-08-21 15:30:00;38;57;75;32;11;1;66;21;2
2019-08-21 15:45:00;60;50;88;19;6;3;56;5;0
2019-08-21 16:00:00;58;57;101;41;15;8;83;6;57
2019-08-21 16:15:00;67;66;113;42;10;4;93;3;1
2019-08-21 16:30:00;51;74;108;30;13;9;96;5;6
2019-08-21 16:45:00;50;53;87;20;7;6;81;7;4
2019-08-21 17:00:00;52;68;104;27;7;1;77;4;31
2019-08-21 17:15:00;43;75;90;31;9;4;69;3;1
2019-08-21 17:30:00;41;57;81;34;10;3;79;1;0
2019-08-21 17:45:00;41;47;71;21;10;0;72;1;1
2019-08-21 18:00:00;39;60;78;28;14;8;89;4;9
2019-08-21 18:15:00;27;55;68;17;5;5;70;1;1
2019-08-21 18:30:00;37;45;69;15;10;8;70;6;2
2019-08-21 18:45:00;27;38;52;11;5;4;69;7;0
2019-08-21 19:00:00;14;36;49;19;9;3;51;13;45
2019-08-21 19:15:00;13;43;57;20;8;4;50;0;1
2019-08-21 19:30:00;33;42;63;12;8;3;53;1;0
2019-08-21 19:45:00;20;44;62;8;8;6;41;0;2
2019-08-21 20:00:00;16;37;59;7;6;4;54;4;2
2019-08-21 20:15:00;15;24;43;10;7;6;61;1;2
2019-08-21 20:30:00;26;31;51;6;3;2;33;0;1
2019-08-21 20:45:00;20;23;39;8;7;1;41;0;0
2019-08-21 21:00:00;15;30;42;3;2;1;37;0;2
2019-08-21 21:15:00;5;25;29;6;4;1;31;0;3
2019-08-21 21:30:00;15;24;36;5;4;3;30;0;0
2019-08-21 21:45:00;7;25;30;6;6;2;29;0;0
2019-08-21 22:00:00;11;21;26;8;6;0;25;2;0
2019-08-21 22:15:00;7;26;33;5;5;1;16;3;0
2019-08-21 22:30:00;6;16;20;1;1;0;15;1;0
2019-08-21 22:45:00;4;12;19;4;3;1;15;0;0
2019-08-21 23:00:00;3;8;15;2;1;0;10;0;0
2019-08-21 23:15:00;1;8;13;3;0;0;12;0;0
2019-08-21 23:30:00;0;6;7;3;1;1;6;0;0
2019-08-21 23:45:00;0;9;11;2;0;1;15;0;0
