DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2019-11-22 00:00:00;18;5;1;2;1;4;16;1;0;2;0
2019-11-22 00:15:00;12;5;1;2;0;3;21;4;0;1;0
2019-11-22 00:30:00;8;7;0;1;0;4;13;5;0;1;0
2019-11-22 00:45:00;19;1;0;0;0;0;13;1;0;1;0
2019-11-22 01:00:00;9;6;3;0;0;1;14;5;0;1;0
2019-11-22 01:15:00;16;10;1;1;0;3;15;0;0;1;0
2019-11-22 01:30:00;12;8;0;2;0;4;15;2;0;0;0
2019-11-22 01:45:00;13;4;2;0;0;1;12;2;0;2;0
2019-11-22 02:00:00;8;5;1;0;0;2;13;4;0;1;0
2019-11-22 02:15:00;9;6;0;0;1;3;14;3;0;2;0
2019-11-22 02:30:00;8;7;0;0;0;1;11;2;2;1;0
2019-11-22 02:45:00;12;6;1;1;1;2;11;3;0;1;0
2019-11-22 03:00:00;11;4;1;0;0;0;16;5;0;0;0
2019-11-22 03:15:00;6;4;1;1;0;5;12;2;0;1;0
2019-11-22 03:30:00;11;5;3;1;0;2;8;1;0;1;0
2019-11-22 03:45:00;10;2;0;1;0;5;13;5;0;1;0
2019-11-22 04:00:00;14;7;1;2;0;6;16;3;0;2;0
2019-11-22 04:15:00;10;10;1;1;0;2;16;2;0;1;0
2019-11-22 04:30:00;14;15;5;1;0;3;26;9;0;3;0
2019-11-22 04:45:00;23;15;4;1;0;4;52;19;0;0;0
2019-11-22 05:00:00;24;21;6;3;0;5;97;61;0;2;0
2019-11-22 05:15:00;36;28;13;4;0;7;127;129;1;4;0
2019-11-22 05:30:00;59;41;31;5;0;6;119;116;0;4;0
2019-11-22 05:45:00;87;45;52;18;3;30;115;135;1;7;0
2019-11-22 06:00:00;150;58;67;11;1;17;139;131;1;7;1
2019-11-22 06:15:00;132;66;63;25;8;37;130;143;1;8;1
2019-11-22 06:30:00;87;59;72;36;11;48;122;130;0;10;1
2019-11-22 06:45:00;90;61;67;34;21;60;136;152;3;11;3
2019-11-22 07:00:00;89;39;61;49;20;73;155;161;2;16;4
2019-11-22 07:15:00;82;48;62;53;30;79;144;170;3;16;3
2019-11-22 07:30:00;94;53;66;44;17;64;131;132;3;15;0
2019-11-22 07:45:00;104;53;82;38;24;56;129;126;3;18;0
2019-11-22 08:00:00;85;53;53;22;11;43;115;129;1;7;2
2019-11-22 08:15:00;81;50;52;28;10;43;113;124;0;12;3
2019-11-22 08:30:00;90;50;40;14;6;25;108;110;1;12;0
2019-11-22 08:45:00;101;52;71;26;12;39;97;116;1;7;0
2019-11-22 09:00:00;87;53;76;23;8;34;98;106;2;6;2
2019-11-22 09:15:00;86;52;51;25;5;35;101;104;3;9;1
2019-11-22 09:30:00;100;46;47;15;4;22;79;78;1;6;1
2019-11-22 09:45:00;86;47;41;14;6;21;112;107;6;8;2
2019-11-22 10:00:00;113;47;50;21;5;24;109;92;0;5;4
2019-11-22 10:15:00;120;54;42;13;2;20;94;77;1;10;0
2019-11-22 10:30:00;129;54;82;23;11;35;97;92;2;12;2
2019-11-22 10:45:00;125;48;54;18;2;18;99;84;0;15;0
2019-11-22 11:00:00;112;53;69;12;8;25;105;99;2;8;3
2019-11-22 11:15:00;118;50;50;7;3;11;89;94;2;5;2
2019-11-22 11:30:00;133;48;59;23;9;30;96;108;3;11;2
2019-11-22 11:45:00;126;52;63;22;10;32;98;108;0;12;2
2019-11-22 12:00:00;154;62;77;21;5;32;97;85;1;4;2
2019-11-22 12:15:00;177;66;72;20;4;25;118;94;2;15;0
2019-11-22 12:30:00;170;60;77;29;10;41;112;100;4;8;2
2019-11-22 12:45:00;146;66;90;27;9;35;113;116;1;4;4
2019-11-22 13:00:00;175;72;82;21;5;25;128;135;2;4;0
2019-11-22 13:15:00;201;74;79;27;6;36;146;144;0;12;1
2019-11-22 13:30:00;165;71;93;22;5;28;147;144;3;10;2
2019-11-22 13:45:00;180;79;90;23;6;30;112;125;3;16;2
2019-11-22 14:00:00;189;77;96;25;6;33;103;116;2;17;2
2019-11-22 14:15:00;240;109;114;27;6;33;102;108;3;14;2
2019-11-22 14:30:00;248;117;102;32;6;38;109;110;1;17;1
2019-11-22 14:45:00;223;104;103;20;9;28;115;119;3;18;2
2019-11-22 15:00:00;209;105;105;26;5;31;105;123;2;12;0
2019-11-22 15:15:00;234;125;110;20;2;25;117;114;2;11;0
2019-11-22 15:30:00;206;98;112;23;3;25;122;123;1;19;1
2019-11-22 15:45:00;212;110;109;26;7;31;107;117;1;17;1
2019-11-22 16:00:00;202;101;123;19;3;20;95;111;2;15;1
2019-11-22 16:15:00;195;108;108;24;9;29;108;98;3;16;3
2019-11-22 16:30:00;201;99;98;26;6;35;115;127;0;17;1
2019-11-22 16:45:00;163;90;99;19;7;30;111;97;0;6;2
2019-11-22 17:00:00;173;97;84;20;9;26;119;122;1;13;0
2019-11-22 17:15:00;187;97;87;14;8;25;110;111;5;18;0
2019-11-22 17:30:00;164;88;79;25;8;31;105;114;2;13;0
2019-11-22 17:45:00;132;74;66;25;10;33;133;91;1;8;2
2019-11-22 18:00:00;125;81;68;15;2;20;122;103;0;10;0
2019-11-22 18:15:00;133;77;58;15;6;13;125;105;1;10;0
2019-11-22 18:30:00;107;62;56;21;4;25;109;86;1;11;0
2019-11-22 18:45:00;127;51;33;25;5;26;111;65;3;13;0
2019-11-22 19:00:00;108;67;52;17;6;21;105;64;0;13;0
2019-11-22 19:15:00;123;46;33;15;7;23;70;51;0;9;0
2019-11-22 19:30:00;86;44;30;14;0;15;82;49;1;8;0
2019-11-22 19:45:00;84;36;25;15;3;17;98;40;1;4;0
2019-11-22 20:00:00;82;43;30;17;1;16;94;53;1;5;1
2019-11-22 20:15:00;96;37;30;8;2;13;81;38;1;7;0
