DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-12-24 00:00:00;1;1;0;0;0;0;0;0;0;0
2020-12-24 00:15:00;0;1;1;0;0;0;0;1;0;0
2020-12-24 00:30:00;1;1;0;0;0;0;0;0;0;0
2020-12-24 00:45:00;1;2;1;1;0;0;1;1;0;0
2020-12-24 01:00:00;1;1;0;0;0;0;0;0;0;0
2020-12-24 01:15:00;0;3;2;1;0;0;0;0;0;0
2020-12-24 01:30:00;1;0;0;0;0;0;0;0;0;0
2020-12-24 01:45:00;0;1;1;2;0;0;0;0;0;0
2020-12-24 02:00:00;0;0;1;1;0;0;0;0;0;0
2020-12-24 02:15:00;0;0;1;0;0;0;0;0;0;0
2020-12-24 02:30:00;1;1;2;0;0;0;0;0;0;0
2020-12-24 02:45:00;0;0;0;0;0;0;0;0;0;0
2020-12-24 03:00:00;2;3;2;1;0;0;0;0;0;0
2020-12-24 03:15:00;2;3;1;1;0;0;0;0;0;0
2020-12-24 03:30:00;4;3;0;1;0;0;0;0;0;0
2020-12-24 03:45:00;0;3;2;2;0;0;0;1;0;0
2020-12-24 04:00:00;0;0;2;0;0;0;0;0;0;0
2020-12-24 04:15:00;3;2;4;1;0;0;0;1;0;0
2020-12-24 04:30:00;0;1;0;0;0;0;0;1;0;0
2020-12-24 04:45:00;1;3;2;0;0;0;0;0;0;0
2020-12-24 05:00:00;1;1;1;0;0;0;0;0;0;0
2020-12-24 05:15:00;2;5;1;2;0;0;0;0;0;0
2020-12-24 05:30:00;2;8;3;0;0;0;0;2;0;0
2020-12-24 05:45:00;3;6;0;0;1;0;0;2;0;0
2020-12-24 06:00:00;4;8;6;0;0;0;0;0;0;0
2020-12-24 06:15:00;9;11;4;2;0;1;2;1;0;0
2020-12-24 06:30:00;9;14;9;2;0;1;1;3;0;0
2020-12-24 06:45:00;7;13;6;1;1;1;2;0;0;0
2020-12-24 07:00:00;8;17;14;3;3;3;0;4;0;0
2020-12-24 07:15:00;11;19;26;4;0;0;3;2;0;0
2020-12-24 07:30:00;15;23;18;1;0;1;1;2;0;0
2020-12-24 07:45:00;15;23;17;1;1;0;3;3;0;0
2020-12-24 08:00:00;10;20;29;3;4;3;1;3;0;0
2020-12-24 08:15:00;11;10;23;1;1;4;1;1;0;0
2020-12-24 08:30:00;22;28;26;2;1;2;1;3;0;0
2020-12-24 08:45:00;20;31;43;4;3;4;4;2;0;0
2020-12-24 09:00:00;18;75;47;3;4;5;4;6;1;5
2020-12-24 09:15:00;25;41;30;5;4;3;3;7;2;0
2020-12-24 09:30:00;19;43;56;3;2;5;1;4;0;11
2020-12-24 09:45:00;33;48;40;2;3;6;2;4;0;3
2020-12-24 10:00:00;24;45;70;2;3;4;6;1;1;4
2020-12-24 10:15:00;30;50;62;2;7;9;2;10;2;5
2020-12-24 10:30:00;30;47;68;1;5;7;7;12;0;2
2020-12-24 10:45:00;41;66;72;5;5;7;4;4;0;0
2020-12-24 11:00:00;30;37;72;4;7;10;3;6;4;3
2020-12-24 11:15:00;31;53;63;2;4;4;6;9;4;2
2020-12-24 11:30:00;18;42;60;1;2;3;3;9;0;0
2020-12-24 11:45:00;43;63;83;4;2;5;4;9;1;1
2020-12-24 12:00:00;41;52;58;2;6;5;3;7;2;0
2020-12-24 12:15:00;28;54;81;5;3;2;3;8;2;19
2020-12-24 12:30:00;30;46;51;3;6;8;5;12;2;2
2020-12-24 12:45:00;21;39;61;7;1;1;2;8;3;8
2020-12-24 13:00:00;33;47;57;6;2;4;2;5;0;1
2020-12-24 13:15:00;28;29;60;3;1;4;7;6;1;0
2020-12-24 13:30:00;17;41;54;1;3;2;3;4;0;0
2020-12-24 13:45:00;26;46;62;7;1;4;4;12;2;0
2020-12-24 14:00:00;19;31;58;1;2;3;0;8;0;0
2020-12-24 14:15:00;29;29;54;6;1;3;5;10;1;0
2020-12-24 14:30:00;19;34;32;4;5;2;3;8;0;0
2020-12-24 14:45:00;26;28;29;6;3;2;1;6;0;0
2020-12-24 15:00:00;24;32;32;3;1;1;3;6;1;0
2020-12-24 15:15:00;16;28;34;8;0;0;1;8;0;0
2020-12-24 15:30:00;25;31;33;7;1;0;3;9;0;0
2020-12-24 15:45:00;14;26;35;4;0;0;1;3;0;0
2020-12-24 16:00:00;15;30;31;1;1;0;3;6;0;0
2020-12-24 16:15:00;20;30;22;7;1;0;4;8;0;0
2020-12-24 16:30:00;14;29;24;2;0;0;2;6;0;0
2020-12-24 16:45:00;14;19;25;8;1;0;3;4;0;0
2020-12-24 17:00:00;13;21;19;2;0;0;1;5;0;0
2020-12-24 17:15:00;12;20;15;4;1;0;0;3;0;0
2020-12-24 17:30:00;16;16;11;1;1;0;1;5;0;0
2020-12-24 17:45:00;10;12;9;2;1;3;1;5;0;0
2020-12-24 18:00:00;7;16;14;0;1;0;1;5;0;0
2020-12-24 18:15:00;10;16;15;1;1;0;0;3;0;0
2020-12-24 18:30:00;6;14;14;3;5;2;3;8;0;0
2020-12-24 18:45:00;4;7;10;1;0;0;1;4;0;0
2020-12-24 19:00:00;9;8;13;1;0;0;2;3;1;26
2020-12-24 19:15:00;7;7;7;2;1;0;2;2;1;0
2020-12-24 19:30:00;9;11;20;2;0;0;2;1;0;0
2020-12-24 19:45:00;9;18;21;1;0;0;1;5;0;0
2020-12-24 20:00:00;11;13;21;1;0;0;0;6;0;0
2020-12-24 20:15:00;19;22;28;4;2;0;0;6;0;0
2020-12-24 20:30:00;29;36;23;4;0;0;1;9;0;0
2020-12-24 20:45:00;27;28;21;6;2;1;2;10;0;0
2020-12-24 21:00:00;3;8;9;4;0;0;1;3;0;0
2020-12-24 21:15:00;2;2;3;0;0;0;0;0;0;0
2020-12-24 21:30:00;1;3;2;0;0;0;0;0;0;0
2020-12-24 21:45:00;4;4;3;1;0;0;0;1;0;0
2020-12-24 22:00:00;1;1;3;0;0;0;0;0;0;0
2020-12-24 22:15:00;1;1;2;0;0;0;0;0;0;0
2020-12-24 22:30:00;0;1;0;0;0;0;0;0;0;0
2020-12-24 22:45:00;2;2;1;1;0;0;0;1;0;0
2020-12-24 23:00:00;0;0;0;0;0;0;0;0;0;0
2020-12-24 23:15:00;1;0;0;0;0;0;0;1;0;0
2020-12-24 23:30:00;0;1;1;1;0;0;0;0;0;0
2020-12-24 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
