DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DE3);12(DE4);13(TAFBA);14(TAFBB);15(TAFBC);16(TAFBD)
2020-11-24 00:00:00;3;9;8;1;1;10;0;2;1;1;0;1;0;0;0;0
2020-11-24 00:15:00;10;4;7;0;4;6;1;3;2;2;2;2;0;0;0;0
2020-11-24 00:30:00;1;6;5;0;6;6;0;1;3;3;3;3;0;0;0;0
2020-11-24 00:45:00;5;6;7;0;1;5;0;2;1;1;2;2;0;0;0;0
2020-11-24 01:00:00;3;8;9;1;3;10;1;1;2;2;2;2;0;0;0;0
2020-11-24 01:15:00;5;8;10;0;4;11;1;0;1;1;1;1;0;0;0;0
2020-11-24 01:30:00;10;4;5;1;2;4;0;0;3;2;2;2;0;0;0;0
2020-11-24 01:45:00;6;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0
2020-11-24 02:00:00;2;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0
2020-11-24 02:15:00;5;5;4;0;2;4;0;0;0;0;0;0;0;0;0;0
2020-11-24 02:30:00;8;1;2;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-24 02:45:00;6;0;0;0;4;3;0;2;0;0;1;1;0;0;0;0
2020-11-24 03:00:00;3;4;5;2;1;5;0;0;4;4;4;4;0;0;0;0
2020-11-24 03:15:00;2;5;6;0;1;5;0;3;2;1;1;1;0;0;0;0
2020-11-24 03:30:00;5;2;5;1;3;4;0;2;1;1;1;1;0;0;0;0
2020-11-24 03:45:00;7;3;4;0;2;3;0;0;1;1;1;1;0;0;0;0
2020-11-24 04:00:00;3;8;7;0;4;6;0;1;3;4;4;3;0;0;0;0
2020-11-24 04:15:00;5;10;11;0;1;14;1;3;3;4;2;3;0;0;0;0
2020-11-24 04:30:00;9;8;7;1;6;9;0;0;3;3;3;3;0;0;0;0
2020-11-24 04:45:00;11;14;17;0;4;15;0;3;6;6;7;6;0;0;0;0
2020-11-24 05:00:00;18;17;10;3;7;16;0;9;8;10;8;8;0;0;0;0
2020-11-24 05:15:00;42;33;30;4;14;31;1;19;20;19;19;19;0;0;0;0
2020-11-24 05:30:00;55;60;46;3;12;59;1;14;25;27;31;28;0;0;0;0
2020-11-24 05:45:00;58;74;43;5;19;71;0;11;25;26;23;24;0;0;0;0
2020-11-24 06:00:00;72;52;31;15;30;47;4;11;19;18;17;17;0;0;0;0
2020-11-24 06:15:00;87;84;56;10;23;72;3;17;24;25;22;23;0;0;0;0
2020-11-24 06:30:00;100;99;52;12;44;102;1;26;36;34;30;29;0;0;0;0
2020-11-24 06:45:00;99;153;56;5;41;144;3;38;66;63;57;57;1;0;0;0
2020-11-24 07:00:00;123;109;58;10;40;116;4;39;33;30;36;36;0;0;0;0
2020-11-24 07:15:00;184;128;84;16;50;129;7;50;54;54;51;52;0;0;0;0
2020-11-24 07:30:00;187;176;91;36;49;154;18;69;48;52;54;55;1;0;0;0
2020-11-24 07:45:00;161;212;101;31;47;179;6;67;66;70;66;67;6;0;0;0
2020-11-24 08:00:00;111;142;71;27;41;146;4;51;70;67;65;63;0;0;0;0
2020-11-24 08:15:00;121;157;78;23;50;146;5;44;57;52;51;55;0;1;12;0
2020-11-24 08:30:00;136;120;83;35;48;120;9;33;55;55;57;57;0;0;0;0
2020-11-24 08:45:00;129;145;75;27;30;149;7;44;53;51;46;50;0;0;2;0
2020-11-24 09:00:00;110;125;80;25;38;122;9;34;51;45;44;43;0;0;0;0
2020-11-24 09:15:00;117;131;80;34;44;120;6;46;55;56;55;57;0;0;0;0
2020-11-24 09:30:00;132;159;87;32;44;139;20;43;46;47;42;40;0;0;3;2
2020-11-24 09:45:00;142;158;96;31;47;145;8;56;47;48;46;43;4;0;0;0
2020-11-24 10:00:00;128;163;98;37;38;141;21;51;52;55;49;53;0;0;0;0
2020-11-24 10:15:00;138;161;77;32;41;140;11;52;47;48;40;44;0;0;0;0
