DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2019-09-06 00:00:00;8;6;2;2;4;8;10;7
2019-09-06 00:15:00;6;8;1;5;7;16;15;10
2019-09-06 00:30:00;3;8;5;4;5;7;11;6
2019-09-06 00:45:00;5;7;3;3;2;5;11;6
2019-09-06 01:00:00;2;5;2;5;6;6;9;7
2019-09-06 01:15:00;3;5;4;2;2;4;10;7
2019-09-06 01:30:00;5;7;3;4;2;5;9;0
2019-09-06 01:45:00;2;9;7;5;3;6;7;8
2019-09-06 02:00:00;2;3;2;2;1;5;6;4
2019-09-06 02:15:00;3;13;10;3;3;2;4;4
2019-09-06 02:30:00;3;4;2;5;5;9;7;0
2019-09-06 02:45:00;6;5;3;6;5;7;9;3
2019-09-06 03:00:00;4;5;2;3;2;3;9;4
2019-09-06 03:15:00;5;4;1;5;3;6;6;4
2019-09-06 03:30:00;3;3;2;4;2;6;8;6
2019-09-06 03:45:00;5;2;2;7;5;9;5;2
2019-09-06 04:00:00;7;2;0;6;8;6;8;3
2019-09-06 04:15:00;9;8;4;11;6;13;14;5
2019-09-06 04:30:00;15;3;8;8;9;12;9;4
2019-09-06 04:45:00;24;14;7;15;8;17;15;3
2019-09-06 05:00:00;20;13;17;7;9;11;34;13
2019-09-06 05:15:00;24;18;22;13;17;21;36;19
2019-09-06 05:30:00;34;26;31;25;22;47;51;30
2019-09-06 05:45:00;49;39;35;34;31;77;61;27
2019-09-06 06:00:00;41;29;36;29;26;71;57;45
2019-09-06 06:15:00;49;41;47;37;35;80;59;44
2019-09-06 06:30:00;67;64;48;46;60;145;62;51
2019-09-06 06:45:00;84;65;72;82;116;161;78;55
2019-09-06 07:00:00;58;58;51;55;82;162;75;67
2019-09-06 07:15:00;70;75;47;58;100;172;85;68
2019-09-06 07:30:00;68;59;39;85;114;195;92;87
2019-09-06 07:45:00;80;94;51;79;114;197;84;70
2019-09-06 08:00:00;64;84;48;57;83;141;71;69
2019-09-06 08:15:00;70;83;53;45;70;139;79;64
2019-09-06 08:30:00;67;83;45;54;72;136;68;62
2019-09-06 08:45:00;84;84;47;44;68;134;89;73
2019-09-06 09:00:00;76;93;34;45;65;119;97;70
2019-09-06 09:15:00;84;84;37;41;63;125;97;78
2019-09-06 09:30:00;72;74;31;40;51;95;111;99
2019-09-06 09:45:00;94;92;28;54;75;134;100;85
2019-09-06 10:00:00;75;76;36;47;66;116;113;90
2019-09-06 10:15:00;79;91;42;53;74;138;115;89
2019-09-06 10:30:00;97;98;47;47;58;125;125;120
2019-09-06 10:45:00;87;86;38;59;81;135;118;115
2019-09-06 11:00:00;73;84;41;86;66;118;118;125
2019-09-06 11:15:00;108;100;46;134;85;106;127;117
2019-09-06 11:30:00;97;102;57;82;83;130;123;110
2019-09-06 11:45:00;81;95;59;66;79;126;107;112
2019-09-06 12:00:00;104;103;64;65;107;124;118;126
2019-09-06 12:15:00;95;94;57;83;64;121;120;137
2019-09-06 12:30:00;88;85;63;73;63;127;121;131
