DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-05-12 00:00:00;4;7;3;0;0;0;0;0
2020-05-12 00:15:00;4;10;5;0;0;0;0;0
2020-05-12 00:30:00;5;8;10;0;0;0;0;0
2020-05-12 00:45:00;3;5;3;0;0;0;0;0
2020-05-12 01:00:00;3;3;5;0;0;0;0;0
2020-05-12 01:15:00;2;6;5;0;0;0;0;0
2020-05-12 01:30:00;1;4;4;0;0;0;0;0
2020-05-12 01:45:00;3;9;3;0;0;0;0;0
2020-05-12 02:00:00;0;11;12;0;0;0;0;0
2020-05-12 02:15:00;4;8;6;0;0;0;0;0
2020-05-12 02:30:00;2;9;3;0;0;0;0;0
2020-05-12 02:45:00;1;2;3;0;0;0;0;0
2020-05-12 03:00:00;4;8;2;0;0;0;0;0
2020-05-12 03:15:00;0;1;1;0;0;0;0;0
2020-05-12 03:30:00;1;5;3;0;0;0;0;0
2020-05-12 03:45:00;3;4;5;0;0;0;0;0
2020-05-12 04:00:00;1;13;5;0;0;0;0;0
2020-05-12 04:15:00;5;13;4;0;0;0;0;0
2020-05-12 04:30:00;6;18;12;0;0;0;0;0
2020-05-12 04:45:00;14;29;17;0;0;0;0;0
2020-05-12 05:00:00;66;66;24;0;0;0;0;0
2020-05-12 05:15:00;62;54;57;0;0;0;0;0
2020-05-12 05:30:00;46;74;70;0;0;0;0;0
2020-05-12 05:45:00;34;59;40;0;0;0;0;0
2020-05-12 06:00:00;40;98;43;0;0;0;0;0
2020-05-12 06:15:00;35;116;43;0;0;0;0;0
2020-05-12 06:30:00;58;137;78;0;0;0;2;0
2020-05-12 06:45:00;63;131;54;0;0;0;4;0
2020-05-12 07:00:00;44;114;56;0;7;2;0;1
2020-05-12 07:15:00;35;137;52;0;0;0;4;0
2020-05-12 07:30:00;58;115;59;0;5;2;11;0
2020-05-12 07:45:00;63;128;68;0;3;38;21;3
2020-05-12 08:00:00;59;124;67;0;15;0;0;12
2020-05-12 08:15:00;40;105;58;0;3;0;5;5
2020-05-12 08:30:00;40;104;53;0;12;0;0;10
2020-05-12 08:45:00;54;112;54;0;0;0;0;0
2020-05-12 09:00:00;59;113;56;0;1;0;1;1
2020-05-12 09:15:00;57;96;61;0;6;5;7;1
2020-05-12 09:30:00;52;122;52;0;4;0;2;0
2020-05-12 09:45:00;53;136;56;0;4;0;0;4
2020-05-12 10:00:00;60;126;52;0;1;0;4;2
2020-05-12 10:15:00;66;132;59;0;5;2;1;6
2020-05-12 10:30:00;48;106;42;0;3;3;5;3
2020-05-12 10:45:00;67;136;57;0;39;8;6;15
2020-05-12 11:00:00;53;128;63;0;4;1;6;20
2020-05-12 11:15:00;62;156;47;0;25;2;1;4
2020-05-12 11:30:00;58;148;64;0;1;3;3;2
2020-05-12 11:45:00;78;130;68;0;4;0;2;4
2020-05-12 12:00:00;74;145;57;0;19;2;6;8
2020-05-12 12:15:00;65;134;63;0;11;2;1;12
2020-05-12 12:30:00;66;137;63;0;16;0;0;13
2020-05-12 12:45:00;78;157;68;0;7;2;0;11
2020-05-12 13:00:00;58;142;57;0;8;0;0;6
2020-05-12 13:15:00;86;132;74;0;4;4;16;3
2020-05-12 13:30:00;137;183;95;0;16;2;7;24
2020-05-12 13:45:00;123;185;95;0;1;4;35;5
2020-05-12 14:00:00;116;187;104;0;2;2;33;1
2020-05-12 14:15:00;83;160;72;0;5;0;0;0
2020-05-12 14:30:00;82;186;75;0;14;5;19;6
2020-05-12 14:45:00;90;185;67;0;11;23;52;3
2020-05-12 15:00:00;90;163;80;0;16;12;9;9
2020-05-12 15:15:00;110;201;80;0;2;1;8;13
2020-05-12 15:30:00;100;187;96;0;10;7;19;13
2020-05-12 15:45:00;89;207;69;0;17;1;10;12
2020-05-12 16:00:00;98;214;91;0;6;2;4;8
2020-05-12 16:15:00;107;212;102;0;20;6;12;8
2020-05-12 16:30:00;98;216;83;0;5;2;3;11
2020-05-12 16:45:00;75;227;88;0;7;0;11;5
2020-05-12 17:00:00;89;198;89;0;9;1;40;0
2020-05-12 17:15:00;95;205;64;0;3;2;5;8
2020-05-12 17:30:00;74;184;82;0;23;4;6;59
2020-05-12 17:45:00;94;165;84;0;5;3;35;77
2020-05-12 18:00:00;90;187;89;0;12;4;24;4
2020-05-12 18:15:00;75;157;62;0;3;8;44;6
2020-05-12 18:30:00;64;147;62;0;5;2;3;13
2020-05-12 18:45:00;54;135;62;0;10;7;8;11
2020-05-12 19:00:00;56;116;59;0;17;2;6;0
2020-05-12 19:15:00;37;118;60;0;8;1;6;3
2020-05-12 19:30:00;39;114;48;0;8;1;4;3
2020-05-12 19:45:00;43;86;40;0;4;2;0;7
2020-05-12 20:00:00;45;99;43;0;3;4;0;25
2020-05-12 20:15:00;31;84;35;0;6;0;0;0
2020-05-12 20:30:00;20;68;30;0;0;0;0;0
2020-05-12 20:45:00;31;46;38;0;0;0;0;0
2020-05-12 21:00:00;73;89;38;0;0;0;0;0
2020-05-12 21:15:00;49;61;47;0;0;0;0;0
2020-05-12 21:30:00;32;56;47;0;0;0;0;0
2020-05-12 21:45:00;37;43;29;0;0;0;0;0
2020-05-12 22:00:00;43;49;24;0;0;0;0;0
2020-05-12 22:15:00;14;44;22;0;0;0;0;0
