DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFBA);10(TAFBA1);11(TAFBB);12(TAFBC);13(TAFBC1);14(TAFBD)
2020-11-06 00:00:00;10;3;2;1;7;0;1;0;0;0;0;0;0;0
2020-11-06 00:15:00;10;2;4;2;6;0;3;2;0;0;0;0;0;0
2020-11-06 00:30:00;8;4;3;2;3;0;1;3;0;0;1;0;0;0
2020-11-06 00:45:00;9;2;2;0;4;0;2;1;0;0;0;0;0;0
2020-11-06 01:00:00;9;3;2;0;7;0;4;2;0;0;0;0;0;0
2020-11-06 01:15:00;8;5;3;2;3;0;1;1;0;0;0;0;0;0
2020-11-06 01:30:00;4;1;1;0;3;0;1;1;0;0;0;0;0;0
2020-11-06 01:45:00;6;1;0;0;4;0;0;0;0;0;0;0;0;0
2020-11-06 02:00:00;4;0;0;0;6;0;5;1;0;0;0;0;0;0
2020-11-06 02:15:00;6;4;2;0;5;0;1;0;0;0;0;0;0;0
2020-11-06 02:30:00;5;2;1;0;6;0;6;1;0;0;0;0;0;0
2020-11-06 02:45:00;6;2;2;1;6;0;2;3;0;0;0;0;0;0
2020-11-06 03:00:00;8;0;3;1;2;0;1;2;0;0;0;0;0;0
2020-11-06 03:15:00;6;1;2;0;5;0;2;0;0;0;0;0;0;0
2020-11-06 03:30:00;7;3;5;0;2;0;1;0;0;0;0;0;0;0
2020-11-06 03:45:00;5;0;5;0;1;0;3;1;0;0;0;0;0;0
2020-11-06 04:00:00;3;0;0;0;3;0;4;2;0;0;0;0;0;0
2020-11-06 04:15:00;6;2;6;3;2;0;2;5;0;0;0;0;0;0
2020-11-06 04:30:00;15;2;10;2;11;0;8;4;0;0;0;0;0;0
2020-11-06 04:45:00;12;1;15;0;12;0;6;7;0;0;0;0;0;0
2020-11-06 05:00:00;20;9;50;2;11;0;13;14;0;0;0;0;0;0
2020-11-06 05:15:00;50;14;109;3;18;0;18;12;0;0;0;0;0;0
2020-11-06 05:30:00;58;26;98;13;34;0;23;19;0;0;3;0;0;0
2020-11-06 05:45:00;48;46;55;17;34;0;71;37;0;0;0;0;0;0
2020-11-06 06:00:00;46;40;25;7;44;0;89;68;0;0;0;0;0;0
2020-11-06 06:15:00;58;47;42;13;45;0;58;32;0;0;0;0;0;0
