DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-09-18 00:00:00;0;0;0;0;1;9;5;2;0;0;0;0;0;0
2020-09-18 00:15:00;0;0;0;0;0;12;16;6;0;0;0;0;0;0
2020-09-18 00:30:00;0;0;0;0;2;10;12;5;0;0;0;0;0;0
2020-09-18 00:45:00;0;0;0;0;2;10;9;4;0;0;0;0;0;0
2020-09-18 01:00:00;0;0;0;0;0;5;5;2;0;0;0;0;0;0
2020-09-18 01:15:00;0;0;0;0;1;4;6;2;0;0;0;0;0;0
2020-09-18 01:30:00;0;0;0;0;0;6;10;0;0;0;0;0;0;0
2020-09-18 01:45:00;0;0;0;0;2;6;7;3;0;0;0;0;0;0
2020-09-18 02:00:00;0;0;0;0;1;11;9;1;0;0;0;0;0;0
2020-09-18 02:15:00;0;0;0;0;1;3;8;1;0;0;0;0;0;0
2020-09-18 02:30:00;0;0;0;0;1;3;0;1;0;0;0;0;0;0
2020-09-18 02:45:00;0;0;0;0;0;2;4;3;0;0;0;0;0;0
2020-09-18 03:00:00;0;0;0;0;1;5;6;2;0;0;0;0;0;0
2020-09-18 03:15:00;0;0;0;0;2;6;6;3;0;0;0;0;0;0
2020-09-18 03:30:00;0;0;0;0;0;9;5;1;0;0;0;0;0;0
2020-09-18 03:45:00;0;0;0;0;2;4;6;5;0;0;0;0;0;0
2020-09-18 04:00:00;0;0;0;0;2;4;3;2;0;0;0;0;0;0
2020-09-18 04:15:00;0;0;0;0;0;10;6;4;0;0;0;0;0;0
2020-09-18 04:30:00;0;0;0;0;2;12;6;2;0;0;0;0;0;0
2020-09-18 04:45:00;0;0;0;0;6;16;16;4;0;0;0;0;0;0
2020-09-18 05:00:00;0;0;0;0;5;19;20;16;0;0;0;0;0;0
2020-09-18 05:15:00;0;0;0;0;16;20;31;17;0;0;0;0;0;0
2020-09-18 05:30:00;0;0;0;0;24;32;31;12;0;0;0;0;0;0
2020-09-18 05:45:00;0;0;0;0;15;46;41;22;0;0;0;0;0;0
