DATUM;1(DAL1);2(DBR1);3(DBL1);4(DBL2);5(DC1);6(DC2);7(DC3);8(DEG11);9(DEG12);10(DEG13);11(DEG14);12(DEG15);13(DEG16);14(DEG17)
2020-03-17 00:00:00;5;2;3;0;6;2;3;14;7;21;14;7;21;0
2020-03-17 00:15:00;2;1;1;1;7;2;5;18;9;27;18;9;27;0
2020-03-17 00:30:00;6;0;0;0;7;2;4;20;10;30;20;10;30;0
2020-03-17 00:45:00;3;1;5;0;5;3;2;20;10;30;20;10;30;0
2020-03-17 01:00:00;2;3;2;0;5;2;4;24;12;36;24;12;36;0
2020-03-17 01:15:00;1;0;0;1;9;1;1;26;13;39;26;13;39;0
2020-03-17 01:30:00;0;0;1;0;4;5;0;26;13;39;26;13;39;0
2020-03-17 01:45:00;2;2;4;1;5;0;0;26;13;39;26;13;39;0
2020-03-17 02:00:00;4;1;0;0;6;2;0;24;12;36;24;12;36;0
2020-03-17 02:15:00;2;1;2;0;13;3;3;26;13;39;26;13;39;0
2020-03-17 02:30:00;4;0;1;0;6;4;0;26;13;39;26;13;39;0
2020-03-17 02:45:00;2;2;2;2;4;2;1;26;13;39;26;13;39;0
2020-03-17 03:00:00;2;1;2;0;7;2;0;26;13;39;26;13;39;0
2020-03-17 03:15:00;1;1;1;1;4;0;1;26;13;39;26;13;39;0
2020-03-17 03:30:00;4;5;5;3;8;1;2;26;13;39;26;13;39;0
2020-03-17 03:45:00;3;0;2;0;9;3;2;24;12;36;24;12;36;0
2020-03-17 04:00:00;5;1;2;2;6;1;1;26;13;39;26;13;39;0
2020-03-17 04:15:00;4;3;4;1;21;3;1;26;13;39;26;13;39;0
2020-03-17 04:30:00;6;5;4;7;18;5;4;26;13;39;26;13;39;0
2020-03-17 04:45:00;14;8;13;9;24;6;3;26;13;39;26;13;39;0
2020-03-17 05:00:00;33;39;31;26;32;12;3;20;10;30;20;10;30;0
2020-03-17 05:15:00;44;36;50;45;49;6;13;20;10;30;20;10;30;0
2020-03-17 05:30:00;60;62;56;59;74;24;11;20;10;29;20;10;30;0
2020-03-17 05:45:00;36;50;48;46;87;32;38;20;10;31;20;10;31;0
