DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2019-08-22 00:00:00;3;6;6;4;0;3;2;1;8;6;7;1;5;5;2;0;0;0;0;0;0
2019-08-22 00:15:00;4;15;9;0;3;1;0;0;8;3;3;0;5;0;3;0;0;0;0;0;0
2019-08-22 00:30:00;0;7;2;1;1;4;0;0;5;5;2;0;2;4;3;0;0;1;0;0;0
2019-08-22 00:45:00;4;9;6;2;3;5;0;0;3;6;0;1;1;1;0;0;0;0;0;0;0
2019-08-22 01:00:00;4;10;1;1;1;6;3;0;4;5;2;1;2;3;0;0;0;0;0;0;0
2019-08-22 01:15:00;1;9;4;4;2;1;0;1;5;3;0;0;1;3;1;0;0;0;0;0;0
2019-08-22 01:30:00;3;6;2;1;1;0;2;0;7;10;1;0;0;3;1;0;0;0;0;0;0
2019-08-22 01:45:00;1;4;2;0;2;1;0;0;1;3;0;0;0;4;1;0;0;0;0;0;0
2019-08-22 02:00:00;3;3;1;0;2;1;1;0;2;2;0;1;3;4;0;0;0;0;0;0;0
2019-08-22 02:15:00;2;4;1;2;0;1;1;0;0;0;0;0;1;34;0;0;0;0;0;0;0
2019-08-22 02:30:00;2;9;2;2;0;0;0;0;3;2;0;0;2;4;0;0;0;0;0;0;0
2019-08-22 02:45:00;0;2;0;0;1;0;0;0;9;2;0;0;2;4;2;0;0;0;0;0;0
2019-08-22 03:00:00;2;6;1;0;0;0;1;0;4;0;1;0;2;0;0;0;0;0;0;0;0
2019-08-22 03:15:00;4;2;2;1;0;1;0;0;3;2;1;0;1;2;0;0;0;0;0;0;0
2019-08-22 03:30:00;2;2;0;0;1;2;0;0;1;4;1;0;0;1;0;0;0;0;0;0;0
2019-08-22 03:45:00;2;6;0;0;0;2;1;0;3;1;0;0;3;4;3;0;0;0;0;0;0
2019-08-22 04:00:00;1;4;0;1;3;0;1;0;3;2;0;1;1;5;1;0;0;0;0;0;0
2019-08-22 04:15:00;3;6;0;0;1;0;0;0;2;4;0;0;3;3;2;0;0;0;0;0;0
2019-08-22 04:30:00;2;8;0;0;3;3;1;0;9;2;1;1;2;5;2;0;0;0;0;0;0
2019-08-22 04:45:00;1;10;3;3;2;1;4;0;2;9;1;0;5;5;2;0;0;0;0;0;0
2019-08-22 05:00:00;6;10;3;1;1;2;2;0;9;10;1;2;3;4;1;0;0;0;0;0;0
2019-08-22 05:15:00;9;17;9;6;4;4;1;0;14;14;1;0;5;2;3;0;0;1;0;0;0
2019-08-22 05:30:00;27;18;9;6;8;25;5;1;20;28;15;3;11;8;6;0;0;1;0;0;0
2019-08-22 05:45:00;45;34;20;3;10;31;2;2;26;30;10;3;15;10;10;0;0;0;0;0;0
2019-08-22 06:00:00;38;36;20;3;10;21;3;3;29;28;8;3;11;15;13;0;0;0;0;0;0
2019-08-22 06:15:00;48;33;18;5;11;28;5;1;28;43;5;8;14;14;10;0;0;0;0;0;0
2019-08-22 06:30:00;64;49;31;4;11;31;8;3;46;55;20;5;34;17;17;0;0;0;2;0;0
2019-08-22 06:45:00;82;49;47;5;24;49;2;0;35;72;15;8;25;13;15;0;0;0;0;0;0
2019-08-22 07:00:00;64;36;32;7;21;52;6;2;41;50;20;1;30;23;22;0;0;0;0;0;0
2019-08-22 07:15:00;64;68;35;11;24;57;5;2;44;53;19;8;33;25;19;0;0;0;0;0;0
2019-08-22 07:30:00;59;62;40;8;31;63;10;1;39;47;25;15;36;23;25;0;0;0;0;0;0
2019-08-22 07:45:00;60;51;38;10;29;48;9;2;48;48;21;12;39;18;30;2;0;0;0;0;0
2019-08-22 08:00:00;68;65;42;6;23;60;13;2;53;56;25;14;51;26;22;0;0;2;0;0;0
2019-08-22 08:15:00;47;45;37;17;34;45;9;4;49;32;20;11;42;22;17;0;0;0;0;0;0
2019-08-22 08:30:00;63;53;35;9;29;45;9;4;50;47;20;14;46;25;21;0;0;0;0;0;0
2019-08-22 08:45:00;49;66;57;18;34;52;13;4;37;38;18;10;40;18;23;0;0;0;0;0;0
2019-08-22 09:00:00;43;46;43;14;27;39;14;4;44;48;18;17;47;17;15;0;0;0;0;0;0
2019-08-22 09:15:00;34;67;46;14;28;47;10;5;37;37;22;14;47;26;20;0;0;0;0;0;0
