DATUM;1(DA1);2(TAFBA)
2020-08-11 00:00:00;2;0
2020-08-11 00:15:00;6;0
2020-08-11 00:30:00;2;0
2020-08-11 00:45:00;2;0
2020-08-11 01:00:00;2;0
2020-08-11 01:15:00;1;0
2020-08-11 01:30:00;0;0
2020-08-11 01:45:00;1;0
2020-08-11 02:00:00;2;0
2020-08-11 02:15:00;0;0
2020-08-11 02:30:00;0;0
2020-08-11 02:45:00;1;0
2020-08-11 03:00:00;0;0
2020-08-11 03:15:00;0;0
2020-08-11 03:30:00;0;0
2020-08-11 03:45:00;0;0
2020-08-11 04:00:00;0;0
2020-08-11 04:15:00;0;0
2020-08-11 04:30:00;0;0
2020-08-11 04:45:00;2;0
2020-08-11 05:00:00;3;0
2020-08-11 05:15:00;5;0
2020-08-11 05:30:00;5;0
2020-08-11 05:45:00;13;0
2020-08-11 06:00:00;13;0
2020-08-11 06:15:00;13;0
2020-08-11 06:30:00;18;0
2020-08-11 06:45:00;25;0
2020-08-11 07:00:00;23;0
2020-08-11 07:15:00;28;0
2020-08-11 07:30:00;32;0
2020-08-11 07:45:00;43;0
2020-08-11 08:00:00;29;0
2020-08-11 08:15:00;43;0
2020-08-11 08:30:00;46;0
2020-08-11 08:45:00;44;0
2020-08-11 09:00:00;38;0
2020-08-11 09:15:00;41;0
2020-08-11 09:30:00;36;0
2020-08-11 09:45:00;53;0
2020-08-11 10:00:00;45;0
2020-08-11 10:15:00;47;0
2020-08-11 10:30:00;41;0
2020-08-11 10:45:00;36;0
2020-08-11 11:00:00;33;0
2020-08-11 11:15:00;32;0
2020-08-11 11:30:00;33;0
2020-08-11 11:45:00;39;0
2020-08-11 12:00:00;22;0
2020-08-11 12:15:00;31;0
2020-08-11 12:30:00;39;0
2020-08-11 12:45:00;30;0
2020-08-11 13:00:00;24;0
2020-08-11 13:15:00;22;0
2020-08-11 13:30:00;31;0
2020-08-11 13:45:00;43;0
2020-08-11 14:00:00;32;0
2020-08-11 14:15:00;45;0
2020-08-11 14:30:00;36;0
2020-08-11 14:45:00;33;0
2020-08-11 15:00:00;30;0
2020-08-11 15:15:00;27;0
2020-08-11 15:30:00;38;0
2020-08-11 15:45:00;40;0
2020-08-11 16:00:00;28;0
2020-08-11 16:15:00;35;0
2020-08-11 16:30:00;42;0
2020-08-11 16:45:00;37;0
2020-08-11 17:00:00;31;0
2020-08-11 17:15:00;36;0
2020-08-11 17:30:00;30;0
2020-08-11 17:45:00;29;0
2020-08-11 18:00:00;31;0
2020-08-11 18:15:00;28;0
2020-08-11 18:30:00;21;0
2020-08-11 18:45:00;26;0
2020-08-11 19:00:00;11;0
2020-08-11 19:15:00;19;0
2020-08-11 19:30:00;25;0
2020-08-11 19:45:00;17;0
2020-08-11 20:00:00;20;0
2020-08-11 20:15:00;14;0
2020-08-11 20:30:00;14;0
2020-08-11 20:45:00;12;0
2020-08-11 21:00:00;15;0
2020-08-11 21:15:00;11;0
2020-08-11 21:30:00;13;0
2020-08-11 21:45:00;7;0
2020-08-11 22:00:00;8;0
2020-08-11 22:15:00;7;0
2020-08-11 22:30:00;5;0
2020-08-11 22:45:00;6;0
2020-08-11 23:00:00;10;0
2020-08-11 23:15:00;7;0
2020-08-11 23:30:00;5;0
