DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-09-29 00:00:00;0;2;4;8;3;0;0
2020-09-29 00:15:00;0;5;7;9;7;3;3
2020-09-29 00:30:00;6;7;5;7;0;0;0
2020-09-29 00:45:00;0;5;7;7;3;0;0
2020-09-29 01:00:00;0;8;6;2;0;0;0
2020-09-29 01:15:00;0;2;4;3;2;0;0
2020-09-29 01:30:00;0;5;3;5;1;0;0
2020-09-29 01:45:00;0;3;4;6;4;0;0
2020-09-29 02:00:00;0;6;4;5;6;0;0
2020-09-29 02:15:00;0;1;1;4;2;0;0
2020-09-29 02:30:00;0;5;0;3;1;0;0
2020-09-29 02:45:00;0;4;3;4;3;0;0
2020-09-29 03:00:00;0;2;1;4;3;0;0
2020-09-29 03:15:00;0;4;0;9;2;0;0
2020-09-29 03:30:00;0;0;3;8;1;0;0
2020-09-29 03:45:00;0;5;2;5;2;0;0
2020-09-29 04:00:00;0;7;4;11;5;0;0
2020-09-29 04:15:00;0;11;4;12;5;0;0
2020-09-29 04:30:00;0;11;7;25;5;0;0
2020-09-29 04:45:00;0;24;8;16;4;0;0
2020-09-29 05:00:00;2;48;51;31;16;0;0
2020-09-29 05:15:00;1;78;71;37;17;0;0
2020-09-29 05:30:00;12;64;67;41;36;0;0
2020-09-29 05:45:00;5;47;64;57;45;0;0
2020-09-29 06:00:00;3;63;56;59;58;4;4
2020-09-29 06:15:00;4;74;86;81;64;2;1
2020-09-29 06:30:00;5;93;117;77;63;3;4
2020-09-29 06:45:00;5;111;121;82;71;3;3
2020-09-29 07:00:00;3;143;178;96;59;3;3
2020-09-29 07:15:00;15;198;186;137;112;3;3
2020-09-29 07:30:00;34;201;175;102;108;4;4
2020-09-29 07:45:00;19;186;132;126;138;4;4
2020-09-29 08:00:00;18;149;128;106;128;2;2
2020-09-29 08:15:00;25;133;129;121;150;2;2
2020-09-29 08:30:00;7;118;115;110;128;3;3
2020-09-29 08:45:00;10;96;96;118;115;1;1
2020-09-29 09:00:00;18;98;84;106;91;1;1
2020-09-29 09:15:00;8;108;97;97;81;2;2
2020-09-29 09:30:00;1;108;104;106;100;1;1
2020-09-29 09:45:00;4;111;94;125;115;1;1
2020-09-29 10:00:00;4;92;93;98;103;1;1
2020-09-29 10:15:00;7;103;106;120;114;2;2
2020-09-29 10:30:00;3;84;108;106;105;2;2
2020-09-29 10:45:00;9;102;102;132;115;1;1
2020-09-29 11:00:00;8;95;90;114;96;1;1
2020-09-29 11:15:00;20;91;93;120;124;2;2
2020-09-29 11:30:00;14;100;121;97;99;5;5
2020-09-29 11:45:00;12;95;91;100;107;1;1
2020-09-29 12:00:00;10;103;91;109;101;2;2
2020-09-29 12:15:00;16;108;100;111;112;0;0
2020-09-29 12:30:00;2;106;100;117;124;4;4
2020-09-29 12:45:00;7;81;103;125;113;0;0
2020-09-29 13:00:00;15;130;125;119;132;3;3
2020-09-29 13:15:00;57;146;144;138;136;7;7
2020-09-29 13:30:00;23;128;133;114;116;4;4
2020-09-29 13:45:00;10;125;123;105;126;1;1
2020-09-29 14:00:00;22;114;103;130;134;0;0
2020-09-29 14:15:00;15;110;97;134;149;3;3
2020-09-29 14:30:00;33;112;103;129;156;5;5
2020-09-29 14:45:00;18;119;132;140;177;1;1
2020-09-29 15:00:00;13;109;112;144;155;1;1
2020-09-29 15:15:00;31;127;122;145;156;2;2
2020-09-29 15:30:00;16;125;115;141;155;4;4
2020-09-29 15:45:00;11;117;124;169;182;2;2
2020-09-29 16:00:00;15;137;125;144;178;2;2
2020-09-29 16:15:00;11;139;109;166;181;2;2
2020-09-29 16:30:00;28;128;106;152;167;2;2
2020-09-29 16:45:00;40;115;129;156;173;3;3
2020-09-29 17:00:00;14;117;123;141;167;3;3
2020-09-29 17:15:00;15;110;116;161;207;1;1
2020-09-29 17:30:00;24;101;118;164;162;3;3
2020-09-29 17:45:00;18;120;117;138;157;2;3
2020-09-29 18:00:00;3;116;112;144;144;2;2
2020-09-29 18:15:00;6;116;120;137;129;2;2
2020-09-29 18:30:00;25;95;85;119;106;5;5
2020-09-29 18:45:00;5;100;94;124;137;0;0
2020-09-29 19:00:00;7;103;80;90;83;1;1
2020-09-29 19:15:00;1;86;69;91;86;3;3
2020-09-29 19:30:00;8;92;74;78;58;2;2
2020-09-29 19:45:00;3;58;60;79;63;1;1
2020-09-29 20:00:00;0;56;50;84;71;1;1
2020-09-29 20:15:00;0;54;62;92;70;1;1
2020-09-29 20:30:00;3;55;44;69;44;3;3
2020-09-29 20:45:00;1;58;49;63;57;1;1
2020-09-29 21:00:00;1;58;66;52;46;2;2
2020-09-29 21:15:00;2;46;62;76;37;0;0
2020-09-29 21:30:00;0;29;29;57;25;0;0
2020-09-29 21:45:00;1;25;26;72;63;0;0
2020-09-29 22:00:00;0;28;17;85;62;2;2
2020-09-29 22:15:00;0;32;32;74;72;1;1
2020-09-29 22:30:00;0;26;19;43;24;1;1
2020-09-29 22:45:00;0;17;13;32;26;0;0
2020-09-29 23:00:00;0;13;10;18;5;2;2
2020-09-29 23:15:00;0;14;8;26;15;0;0
2020-09-29 23:30:00;0;16;7;16;7;0;0
