DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2020-02-28 00:00:00;4;2;1;2;0;0;0;0
2020-02-28 00:15:00;8;7;1;0;0;0;0;0
2020-02-28 00:30:00;9;2;1;2;0;0;0;0
2020-02-28 00:45:00;7;2;2;1;0;0;0;0
2020-02-28 01:00:00;6;5;0;1;0;0;0;0
2020-02-28 01:15:00;4;2;0;2;0;0;0;0
2020-02-28 01:30:00;3;0;2;2;0;0;0;0
2020-02-28 01:45:00;5;0;0;0;0;0;0;0
2020-02-28 02:00:00;1;3;3;0;0;0;0;0
2020-02-28 02:15:00;2;1;1;1;0;0;0;0
2020-02-28 02:30:00;4;3;2;2;0;0;0;0
2020-02-28 02:45:00;2;3;1;1;0;0;0;0
2020-02-28 03:00:00;3;2;1;3;0;0;0;0
2020-02-28 03:15:00;2;0;0;0;0;0;0;0
2020-02-28 03:30:00;2;2;1;1;0;0;0;0
2020-02-28 03:45:00;1;2;1;1;0;0;0;0
2020-02-28 04:00:00;2;4;2;1;0;0;0;0
2020-02-28 04:15:00;3;3;0;1;0;0;0;0
2020-02-28 04:30:00;7;4;1;0;0;0;0;0
2020-02-28 04:45:00;15;8;1;0;0;0;0;0
2020-02-28 05:00:00;9;7;3;2;0;0;0;0
2020-02-28 05:15:00;17;17;2;3;0;0;0;0
2020-02-28 05:30:00;15;22;1;1;0;0;0;0
2020-02-28 05:45:00;31;23;3;2;0;0;0;0
2020-02-28 06:00:00;30;31;4;2;0;0;0;0
2020-02-28 06:15:00;51;40;4;2;0;0;0;0
2020-02-28 06:30:00;50;31;4;3;0;0;0;0
2020-02-28 06:45:00;64;34;1;1;0;0;0;0
2020-02-28 07:00:00;73;29;3;1;0;0;0;0
2020-02-28 07:15:00;74;44;3;5;0;0;0;0
2020-02-28 07:30:00;67;41;1;2;0;0;1;0
2020-02-28 07:45:00;69;54;2;1;0;0;1;0
2020-02-28 08:00:00;58;44;1;1;0;0;0;14
2020-02-28 08:15:00;61;42;2;4;0;0;1;0
2020-02-28 08:30:00;71;43;3;0;0;0;3;0
2020-02-28 08:45:00;59;59;4;1;0;0;0;0
2020-02-28 09:00:00;50;27;2;2;0;0;0;0
2020-02-28 09:15:00;45;49;1;1;0;0;0;0
2020-02-28 09:30:00;51;42;0;0;0;0;1;0
2020-02-28 09:45:00;47;44;1;1;0;0;0;0
2020-02-28 10:00:00;53;42;3;1;0;0;0;0
2020-02-28 10:15:00;44;38;3;3;0;0;4;0
2020-02-28 10:30:00;50;41;3;1;0;0;0;0
2020-02-28 10:45:00;42;50;2;2;0;0;1;1
2020-02-28 11:00:00;56;42;3;0;0;0;0;0
2020-02-28 11:15:00;60;45;3;3;0;0;0;0
2020-02-28 11:30:00;55;32;2;1;0;0;5;0
2020-02-28 11:45:00;76;70;3;1;0;0;0;0
2020-02-28 12:00:00;96;55;0;0;0;0;0;0
2020-02-28 12:15:00;97;61;2;2;0;0;1;0
2020-02-28 12:30:00;97;56;3;3;0;0;5;17
2020-02-28 12:45:00;73;60;2;2;0;0;0;0
2020-02-28 13:00:00;66;77;5;5;0;0;0;0
2020-02-28 13:15:00;82;75;1;1;0;0;5;15
2020-02-28 13:30:00;87;82;1;2;0;0;0;0
2020-02-28 13:45:00;59;64;1;1;0;0;2;0
2020-02-28 14:00:00;60;59;0;1;0;0;0;0
2020-02-28 14:15:00;54;71;0;1;0;0;0;0
2020-02-28 14:30:00;60;78;3;1;0;0;0;0
2020-02-28 14:45:00;76;79;4;3;0;0;2;0
2020-02-28 15:00:00;70;84;4;2;0;0;10;6
2020-02-28 15:15:00;65;64;3;3;0;0;0;0
2020-02-28 15:30:00;73;98;6;3;0;0;0;0
2020-02-28 15:45:00;52;61;3;5;0;0;3;7
2020-02-28 16:00:00;65;59;4;5;0;0;2;4
2020-02-28 16:15:00;68;73;6;4;0;0;2;3
2020-02-28 16:30:00;63;66;7;7;0;0;3;0
2020-02-28 16:45:00;63;69;2;4;0;0;0;0
2020-02-28 17:00:00;70;63;2;1;0;0;2;0
2020-02-28 17:15:00;65;62;3;5;0;0;1;1
2020-02-28 17:30:00;58;42;5;3;0;0;2;0
2020-02-28 17:45:00;51;58;7;2;0;0;0;0
2020-02-28 18:00:00;61;58;4;3;0;0;0;0
2020-02-28 18:15:00;52;51;3;5;0;0;1;2
2020-02-28 18:30:00;46;47;1;0;0;0;0;0
2020-02-28 18:45:00;52;50;4;2;0;0;0;0
2020-02-28 19:00:00;34;40;1;1;0;0;0;0
2020-02-28 19:15:00;38;58;2;3;0;0;0;0
2020-02-28 19:30:00;37;34;4;1;0;0;0;0
2020-02-28 19:45:00;35;34;2;1;0;0;0;0
2020-02-28 20:00:00;26;47;4;2;0;0;0;0
2020-02-28 20:15:00;38;46;2;2;0;0;0;0
2020-02-28 20:30:00;23;25;0;0;0;0;0;0
2020-02-28 20:45:00;18;31;2;0;0;0;0;0
2020-02-28 21:00:00;22;10;1;2;0;0;0;0
2020-02-28 21:15:00;25;21;2;0;0;0;0;0
2020-02-28 21:30:00;28;16;0;1;0;0;0;0
2020-02-28 21:45:00;21;23;1;0;0;0;0;0
2020-02-28 22:00:00;24;26;4;3;0;0;0;0
2020-02-28 22:15:00;11;14;0;2;0;0;0;0
2020-02-28 22:30:00;18;16;2;0;0;0;0;0
2020-02-28 22:45:00;18;16;3;2;0;0;0;0
2020-02-28 23:00:00;21;14;2;1;0;0;0;0
2020-02-28 23:15:00;5;10;3;1;0;0;0;0
2020-02-28 23:30:00;10;7;1;0;0;0;0;0
2020-02-28 23:45:00;15;12;2;0;0;0;0;0
