DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);8(TAFBAC2);9(TAFBA2C);10(TAFBBD2);11(TAFBB2D)
2020-03-01 00:00:00;13;11;8;7;0;12;2;0;0;0;0
2020-03-01 00:15:00;15;12;3;7;0;16;4;0;0;0;0
2020-03-01 00:30:00;19;5;2;4;0;9;4;0;0;0;0
2020-03-01 00:45:00;17;14;1;3;0;14;1;0;0;0;0
2020-03-01 01:00:00;14;12;0;4;0;10;1;0;0;0;0
2020-03-01 01:15:00;19;10;4;2;0;11;2;0;0;0;0
2020-03-01 01:30:00;12;9;0;2;0;11;1;0;0;0;0
2020-03-01 01:45:00;20;12;1;3;0;7;7;0;0;0;0
2020-03-01 02:00:00;8;5;3;3;0;8;2;0;0;0;0
2020-03-01 02:15:00;11;5;4;1;0;10;4;0;0;0;0
2020-03-01 02:30:00;11;9;1;5;0;10;0;0;0;0;0
2020-03-01 02:45:00;6;7;3;4;0;5;0;0;0;0;0
2020-03-01 03:00:00;10;4;0;3;0;5;1;0;0;0;0
2020-03-01 03:15:00;11;9;1;1;0;5;1;0;0;0;0
2020-03-01 03:30:00;7;4;0;0;0;4;1;0;0;0;0
2020-03-01 03:45:00;10;10;1;4;0;5;2;0;0;0;0
2020-03-01 04:00:00;7;4;0;1;0;2;1;0;0;0;0
2020-03-01 04:15:00;5;5;4;3;0;2;3;0;0;0;0
2020-03-01 04:30:00;3;1;1;1;0;5;2;0;0;0;0
2020-03-01 04:45:00;6;4;0;2;0;6;2;0;0;0;0
2020-03-01 05:00:00;10;2;2;0;0;7;2;0;0;0;0
2020-03-01 05:15:00;13;7;0;5;0;9;4;0;0;0;0
2020-03-01 05:30:00;17;7;1;6;0;12;4;0;0;0;0
2020-03-01 05:45:00;13;8;1;5;0;10;2;0;0;0;0
2020-03-01 06:00:00;14;8;1;5;0;7;2;0;0;0;0
2020-03-01 06:15:00;14;7;2;2;0;5;2;0;0;0;0
2020-03-01 06:30:00;11;5;1;3;0;7;1;0;0;0;0
2020-03-01 06:45:00;13;5;1;6;0;3;5;0;0;0;0
2020-03-01 07:00:00;16;4;1;3;0;2;2;0;0;0;0
2020-03-01 07:15:00;10;11;5;11;0;5;5;0;0;0;0
2020-03-01 07:30:00;19;7;1;11;0;7;6;0;0;0;0
2020-03-01 07:45:00;13;4;2;10;0;7;2;4;0;0;0
2020-03-01 08:00:00;13;6;4;8;0;8;9;0;0;0;0
2020-03-01 08:15:00;18;7;5;12;0;6;10;0;0;0;0
