DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2019-10-26 00:00:00;3;10;19;3;2;0;12;0;0
2019-10-26 00:15:00;12;24;27;5;1;0;9;0;0
2019-10-26 00:30:00;3;10;10;0;0;0;14;0;0
2019-10-26 00:45:00;4;11;18;1;1;0;16;0;0
2019-10-26 01:00:00;1;4;10;1;0;0;17;0;0
2019-10-26 01:15:00;1;1;4;0;0;0;11;0;0
2019-10-26 01:30:00;2;11;14;3;1;1;10;0;0
2019-10-26 01:45:00;4;11;14;3;2;1;5;0;0
2019-10-26 02:00:00;2;13;12;6;0;0;3;0;0
2019-10-26 02:15:00;0;4;5;0;0;0;6;0;0
2019-10-26 02:30:00;4;3;7;2;0;0;1;0;0
2019-10-26 02:45:00;3;7;7;2;0;0;2;0;0
2019-10-26 03:00:00;0;2;2;1;0;0;0;0;0
2019-10-26 03:15:00;0;2;4;1;1;0;5;0;0
2019-10-26 03:30:00;1;3;4;1;0;0;4;0;0
2019-10-26 03:45:00;1;3;5;2;2;1;5;0;0
2019-10-26 04:00:00;2;3;3;1;0;0;1;0;0
2019-10-26 04:15:00;1;11;8;0;0;0;0;0;0
2019-10-26 04:30:00;3;5;7;1;0;0;6;0;0
2019-10-26 04:45:00;0;6;6;2;1;2;3;0;0
2019-10-26 05:00:00;4;10;16;3;0;1;8;0;0
2019-10-26 05:15:00;0;8;7;2;2;1;13;0;0
2019-10-26 05:30:00;0;14;22;8;0;1;25;0;0
2019-10-26 05:45:00;10;20;26;9;0;1;10;0;0
2019-10-26 06:00:00;11;22;27;16;1;3;19;0;0
2019-10-26 06:15:00;8;23;27;7;0;0;16;0;0
2019-10-26 06:30:00;6;16;30;6;3;3;22;0;1
2019-10-26 06:45:00;7;14;21;6;2;2;24;0;0
2019-10-26 07:00:00;5;10;18;3;2;1;17;0;1
2019-10-26 07:15:00;9;19;21;6;3;3;11;0;0
2019-10-26 07:30:00;20;25;41;8;5;2;22;0;0
2019-10-26 07:45:00;18;28;48;4;3;3;43;0;0
2019-10-26 08:00:00;17;17;27;10;8;1;23;0;3
2019-10-26 08:15:00;12;25;44;3;4;1;24;0;0
2019-10-26 08:30:00;18;23;43;7;5;4;35;4;2
2019-10-26 08:45:00;33;30;56;6;6;4;36;0;0
2019-10-26 09:00:00;11;25;42;16;10;3;53;0;3
2019-10-26 09:15:00;19;29;59;13;4;2;53;1;0
2019-10-26 09:30:00;19;27;40;14;5;2;50;0;1
2019-10-26 09:45:00;44;58;77;25;11;3;54;0;6
2019-10-26 10:00:00;37;45;71;14;7;3;59;2;0
2019-10-26 10:15:00;39;27;61;14;6;3;52;11;1
2019-10-26 10:30:00;29;39;64;7;5;3;69;7;0
2019-10-26 10:45:00;39;29;62;16;10;2;68;4;0
2019-10-26 11:00:00;42;36;70;7;7;5;85;7;7
2019-10-26 11:15:00;39;52;85;11;5;5;55;6;0
2019-10-26 11:30:00;38;54;81;18;8;2;54;10;3
2019-10-26 11:45:00;40;57;90;11;5;1;65;1;11
2019-10-26 12:00:00;28;58;77;9;6;3;73;10;2
2019-10-26 12:15:00;35;51;75;16;8;1;68;0;1
2019-10-26 12:30:00;44;54;92;15;8;5;85;6;29
2019-10-26 12:45:00;48;62;89;13;6;7;82;2;3
2019-10-26 13:00:00;45;58;87;9;6;3;76;5;9
2019-10-26 13:15:00;40;62;97;15;9;5;72;6;2
2019-10-26 13:30:00;49;59;86;16;10;6;86;7;4
2019-10-26 13:45:00;42;49;77;17;7;4;84;2;2
2019-10-26 14:00:00;45;57;97;11;6;5;82;5;5
2019-10-26 14:15:00;38;59;80;18;7;6;86;3;26
2019-10-26 14:30:00;55;53;100;13;8;5;79;6;2
2019-10-26 14:45:00;37;41;70;8;4;2;67;3;18
2019-10-26 15:00:00;34;39;74;12;7;4;86;5;0
2019-10-26 15:15:00;50;59;94;21;7;7;76;6;1
2019-10-26 15:30:00;24;61;80;11;6;3;65;2;9
2019-10-26 15:45:00;36;52;70;11;7;1;72;3;2
2019-10-26 16:00:00;34;50;71;6;4;2;80;2;0
2019-10-26 16:15:00;36;43;79;9;6;8;88;26;0
2019-10-26 16:30:00;45;48;81;11;9;6;115;2;4
2019-10-26 16:45:00;44;53;78;16;12;2;77;13;0
2019-10-26 17:00:00;51;48;81;14;9;3;63;2;20
2019-10-26 17:15:00;44;44;76;11;7;2;77;1;4
2019-10-26 17:30:00;47;53;89;11;6;2;82;0;0
2019-10-26 17:45:00;41;58;81;14;8;4;85;1;20
2019-10-26 18:00:00;45;34;79;62;8;4;76;5;20
2019-10-26 18:15:00;47;50;76;9;7;7;77;4;18
2019-10-26 18:30:00;40;45;70;10;6;3;62;9;2
2019-10-26 18:45:00;24;40;70;17;8;2;61;0;13
2019-10-26 19:00:00;33;33;50;16;9;7;82;0;7
2019-10-26 19:15:00;33;38;52;10;8;4;66;0;1
2019-10-26 19:30:00;27;31;48;5;4;3;56;1;0
2019-10-26 19:45:00;26;30;40;11;7;2;28;1;0
2019-10-26 20:00:00;20;31;46;7;7;5;52;2;2
2019-10-26 20:15:00;24;29;39;9;6;8;61;4;0
2019-10-26 20:30:00;19;29;48;10;8;6;45;14;3
2019-10-26 20:45:00;9;27;35;7;5;5;32;0;0
2019-10-26 21:00:00;15;29;40;4;3;1;48;3;0
2019-10-26 21:15:00;12;23;30;1;0;1;29;27;0
2019-10-26 21:30:00;17;29;39;5;5;4;32;0;0
2019-10-26 21:45:00;15;21;30;4;4;1;32;0;0
2019-10-26 22:00:00;6;27;35;4;4;4;34;1;0
2019-10-26 22:15:00;9;21;30;2;3;1;22;2;0
2019-10-26 22:30:00;11;21;37;7;6;3;27;0;2
2019-10-26 22:45:00;16;34;47;3;2;1;30;2;1
2019-10-26 23:00:00;10;25;29;3;1;3;26;0;0
2019-10-26 23:15:00;8;11;25;3;2;2;24;0;0
2019-10-26 23:30:00;13;29;35;5;1;1;23;0;0
2019-10-26 23:45:00;9;16;24;4;0;0;22;0;0
