DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-06-29 00:00:00;6;6;1;0;0;10;6;2;0;1;1
2020-06-29 00:15:00;4;5;2;2;0;10;5;3;0;4;1
2020-06-29 00:30:00;9;8;2;3;3;5;6;0;0;0;0
2020-06-29 00:45:00;4;3;1;4;2;4;5;2;1;4;1
2020-06-29 01:00:00;4;5;0;2;1;6;7;1;2;2;0
2020-06-29 01:15:00;5;4;0;0;0;7;5;0;1;1;0
2020-06-29 01:30:00;2;4;2;2;2;6;4;0;1;2;0
2020-06-29 01:45:00;6;4;1;0;0;4;6;4;1;3;2
2020-06-29 02:00:00;8;6;1;1;1;2;1;0;0;1;1
2020-06-29 02:15:00;7;6;0;0;0;8;5;1;1;3;2
2020-06-29 02:30:00;9;5;2;1;0;5;2;0;0;2;1
2020-06-29 02:45:00;5;1;1;0;0;3;4;1;1;3;3
2020-06-29 03:00:00;5;2;0;0;1;5;8;1;2;2;0
2020-06-29 03:15:00;1;5;2;2;1;7;3;1;2;1;0
2020-06-29 03:30:00;2;2;0;2;3;9;5;0;0;0;0
2020-06-29 03:45:00;5;2;0;2;1;5;2;0;1;1;0
2020-06-29 04:00:00;9;4;2;1;4;10;7;0;0;0;0
2020-06-29 04:15:00;12;11;1;2;3;13;9;1;2;3;1
2020-06-29 04:30:00;15;14;2;2;3;23;10;2;2;1;0
2020-06-29 04:45:00;20;13;3;7;6;56;24;0;2;9;7
2020-06-29 05:00:00;38;28;5;18;7;99;80;1;3;6;4
2020-06-29 05:15:00;37;38;6;17;6;139;146;2;6;17;9
2020-06-29 05:30:00;39;39;19;19;12;131;127;3;7;20;12
2020-06-29 05:45:00;35;43;10;29;19;110;92;8;7;18;4
2020-06-29 06:00:00;57;60;12;35;17;91;110;7;9;16;8
2020-06-29 06:15:00;51;57;15;38;15;102;116;10;10;32;11
2020-06-29 06:30:00;64;58;26;53;32;128;144;13;22;28;8
2020-06-29 06:45:00;68;76;21;51;24;126;127;17;21;31;10
2020-06-29 07:00:00;60;59;18;71;28;114;139;16;12;21;9
2020-06-29 07:15:00;63;70;18;85;25;111;139;19;19;36;17
2020-06-29 07:30:00;65;66;12;91;26;122;155;37;19;52;18
2020-06-29 07:45:00;81;73;22;65;17;114;131;31;41;46;12
2020-06-29 08:00:00;74;88;10;51;26;108;127;16;28;44;16
2020-06-29 08:15:00;66;74;12;60;14;91;108;19;38;45;19
2020-06-29 08:30:00;72;68;12;59;19;91;97;16;19;38;16
2020-06-29 08:45:00;77;78;14;60;22;88;92;27;27;41;12
2020-06-29 09:00:00;64;63;22;52;20;76;105;22;21;47;20
2020-06-29 09:15:00;59;78;16;50;20;73;89;27;20;41;14
2020-06-29 09:30:00;74;81;25;72;22;77;97;25;22;56;18
2020-06-29 09:45:00;75;78;21;54;20;72;91;21;28;57;26
2020-06-29 10:00:00;71;65;25;37;21;59;65;17;28;56;26
2020-06-29 10:15:00;68;77;14;48;12;63;87;31;21;34;15
2020-06-29 10:30:00;76;85;24;68;15;64;76;18;35;57;26
2020-06-29 10:45:00;97;90;19;126;13;72;80;25;26;61;25
2020-06-29 11:00:00;78;98;27;53;18;72;83;16;22;59;28
2020-06-29 11:15:00;83;94;28;49;17;62;67;24;32;49;17
2020-06-29 11:30:00;103;94;41;52;22;90;71;19;32;72;28
2020-06-29 11:45:00;87;101;25;33;18;78;57;33;32;58;35
2020-06-29 12:00:00;80;85;24;32;19;59;59;14;30;55;18
2020-06-29 12:15:00;80;87;28;46;16;73;72;27;31;70;26
2020-06-29 12:30:00;81;84;36;45;20;65;63;18;28;49;15
2020-06-29 12:45:00;92;127;24;47;18;62;68;28;33;54;25
2020-06-29 13:00:00;96;101;20;42;19;81;89;27;36;54;16
2020-06-29 13:15:00;94;106;27;40;20;103;96;17;29;55;25
2020-06-29 13:30:00;100;104;26;59;29;131;131;27;36;55;23
2020-06-29 13:45:00;100;105;28;49;14;101;104;31;28;49;20
2020-06-29 14:00:00;118;145;29;64;29;102;103;23;19;52;23
2020-06-29 14:15:00;176;194;39;37;13;83;74;19;26;67;27
2020-06-29 14:30:00;180;204;36;64;25;70;75;24;31;67;24
2020-06-29 14:45:00;174;207;34;58;19;88;75;20;25;60;19
2020-06-29 15:00:00;146;186;40;62;27;78;79;23;34;61;19
2020-06-29 15:15:00;149;173;27;37;22;88;83;19;24;68;20
2020-06-29 15:30:00;145;166;28;58;21;79;75;24;33;54;26
2020-06-29 15:45:00;151;173;36;46;15;96;82;29;36;63;26
2020-06-29 16:00:00;125;147;36;48;31;79;67;33;44;84;23
2020-06-29 16:15:00;157;185;47;50;16;88;74;31;48;74;30
2020-06-29 16:30:00;152;174;36;56;28;84;81;31;41;75;25
2020-06-29 16:45:00;144;167;43;73;28;78;74;17;44;65;32
2020-06-29 17:00:00;140;165;33;44;24;96;90;32;43;80;25
2020-06-29 17:15:00;142;165;33;62;16;81;87;35;33;67;29
2020-06-29 17:30:00;116;144;24;55;25;88;75;29;30;56;26
2020-06-29 17:45:00;124;138;29;46;21;80;78;19;43;59;22
2020-06-29 18:00:00;113;138;29;56;21;82;82;23;28;57;21
2020-06-29 18:15:00;113;113;23;47;17;70;67;29;28;52;15
2020-06-29 18:30:00;92;92;22;46;19;66;67;26;31;57;21
2020-06-29 18:45:00;92;78;25;35;7;81;68;20;18;47;12
2020-06-29 19:00:00;79;76;21;37;11;67;48;10;21;52;23
2020-06-29 19:15:00;78;68;27;34;11;66;51;15;17;43;15
2020-06-29 19:30:00;62;55;17;31;11;49;43;28;19;39;17
2020-06-29 19:45:00;64;58;23;35;6;52;35;12;12;33;9
2020-06-29 20:00:00;52;52;26;32;10;56;49;15;11;28;9
2020-06-29 20:15:00;48;46;21;28;6;46;37;7;19;33;16
2020-06-29 20:30:00;42;41;18;24;12;43;43;6;11;34;12
2020-06-29 20:45:00;31;27;9;17;7;55;45;10;4;23;8
2020-06-29 21:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-29 21:15:00;40;29;13;11;5;86;94;13;6;37;16
2020-06-29 21:30:00;45;44;16;16;4;55;49;3;7;23;12
2020-06-29 21:45:00;82;86;17;79;9;31;22;2;5;11;7
2020-06-29 22:00:00;116;112;18;13;6;31;29;6;2;13;5
2020-06-29 22:15:00;53;43;15;11;8;33;24;9;3;21;9
2020-06-29 22:30:00;39;28;9;13;6;25;17;5;3;12;4
2020-06-29 22:45:00;29;15;4;11;3;21;9;2;4;14;4
2020-06-29 23:00:00;25;22;4;7;5;22;18;1;2;10;2
2020-06-29 23:15:00;18;10;3;8;3;18;16;2;6;8;3
2020-06-29 23:30:00;13;10;2;2;1;21;9;2;1;8;4
