DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-07-31 00:00:00;2;2;0;12;8;5;6;5;10;6;6
2020-07-31 00:15:00;3;3;0;14;17;6;5;14;5;1;1
2020-07-31 00:30:00;1;3;1;6;11;5;6;10;6;2;1
2020-07-31 00:45:00;1;1;0;5;10;6;8;10;8;1;1
2020-07-31 01:00:00;1;0;0;11;4;2;1;3;8;1;1
2020-07-31 01:15:00;0;0;0;5;10;51;4;5;4;2;2
2020-07-31 01:30:00;0;0;0;4;6;33;1;6;8;3;1
2020-07-31 01:45:00;0;3;0;4;6;90;1;3;6;1;1
2020-07-31 02:00:00;0;0;0;8;3;188;1;0;3;2;1
2020-07-31 02:15:00;1;0;0;1;2;47;3;4;3;0;0
2020-07-31 02:30:00;1;2;0;2;6;48;1;1;1;0;0
2020-07-31 02:45:00;1;2;0;2;7;31;2;6;2;1;0
2020-07-31 03:00:00;1;1;0;5;5;2;2;3;4;0;0
2020-07-31 03:15:00;0;0;0;6;1;2;3;3;1;0;0
2020-07-31 03:30:00;0;2;0;5;2;0;0;2;2;0;0
2020-07-31 03:45:00;0;1;0;5;1;0;0;0;1;0;1
2020-07-31 04:00:00;0;0;0;4;3;1;0;2;1;0;0
2020-07-31 04:15:00;0;4;0;2;5;1;2;5;6;1;1
2020-07-31 04:30:00;0;6;0;12;3;5;4;7;3;2;2
2020-07-31 04:45:00;1;3;0;11;2;112;1;17;12;3;3
2020-07-31 05:00:00;3;7;2;9;13;14;1;23;18;1;2
2020-07-31 05:15:00;3;9;2;19;15;6;6;37;25;8;9
2020-07-31 05:30:00;7;13;0;28;24;132;6;40;40;14;12
2020-07-31 05:45:00;2;17;2;28;17;66;9;49;61;20;13
2020-07-31 06:00:00;0;14;5;38;26;19;7;55;42;6;5
2020-07-31 06:15:00;7;32;2;40;21;5;12;72;75;18;13
2020-07-31 06:30:00;2;32;3;35;22;4;20;67;91;14;7
2020-07-31 06:45:00;10;23;5;89;19;6;15;84;96;18;6
2020-07-31 07:00:00;2;25;5;61;34;17;19;62;66;11;7
2020-07-31 07:15:00;4;26;4;84;49;21;32;68;79;18;17
2020-07-31 07:30:00;15;26;8;82;59;53;40;70;84;13;7
2020-07-31 07:45:00;12;39;3;77;45;26;31;88;99;20;18
2020-07-31 08:00:00;15;36;2;81;52;15;28;63;75;19;17
2020-07-31 08:15:00;10;23;6;77;42;10;26;71;64;16;9
