DATUM;1(DA1);2(DB1);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBD)
2020-09-06 00:00:00;27;0;20;0;0;0;0;0;0;0;0;0
2020-09-06 00:15:00;25;0;20;0;0;0;0;0;0;0;0;0
2020-09-06 00:30:00;30;0;21;0;0;0;0;0;0;0;0;0
2020-09-06 00:45:00;21;0;20;0;0;0;0;0;0;0;0;0
2020-09-06 01:00:00;21;0;16;0;0;0;0;0;0;0;0;0
2020-09-06 01:15:00;11;0;11;0;0;0;0;0;0;0;0;0
2020-09-06 01:30:00;14;0;11;0;0;0;0;0;0;0;0;0
2020-09-06 01:45:00;17;0;10;0;0;0;0;0;0;0;0;0
2020-09-06 02:00:00;12;0;8;0;0;0;0;0;0;1;0;0
2020-09-06 02:15:00;12;0;12;0;0;0;0;0;0;0;0;0
2020-09-06 02:30:00;13;0;9;0;0;0;0;0;0;0;0;0
2020-09-06 02:45:00;6;0;5;0;0;0;0;0;0;0;0;0
2020-09-06 03:00:00;8;0;7;0;0;0;0;0;0;0;0;0
2020-09-06 03:15:00;7;0;9;0;0;0;0;0;0;0;0;0
2020-09-06 03:30:00;11;0;12;0;0;0;0;0;0;0;0;0
2020-09-06 03:45:00;5;0;9;0;0;0;0;0;0;0;0;0
2020-09-06 04:00:00;5;0;4;0;0;0;0;0;0;0;0;0
2020-09-06 04:15:00;5;0;3;0;0;0;0;0;0;0;0;0
2020-09-06 04:30:00;6;0;6;0;0;0;0;0;0;0;0;0
2020-09-06 04:45:00;1;0;9;0;0;0;0;0;0;0;0;0
2020-09-06 05:00:00;3;0;9;0;0;0;0;0;0;0;0;0
2020-09-06 05:15:00;2;0;5;0;0;0;0;0;0;0;0;0
2020-09-06 05:30:00;6;0;14;0;0;0;0;0;0;0;0;0
2020-09-06 05:45:00;6;0;12;0;0;0;0;0;0;0;0;0
2020-09-06 06:00:00;7;0;6;0;0;0;0;0;0;0;0;0
2020-09-06 06:15:00;5;0;10;0;0;0;0;0;0;0;0;0
2020-09-06 06:30:00;8;0;10;0;0;0;0;0;0;0;0;0
2020-09-06 06:45:00;11;0;5;0;0;0;0;0;0;0;0;0
2020-09-06 07:00:00;13;0;16;0;0;0;0;0;0;0;0;0
2020-09-06 07:15:00;10;0;11;0;0;0;0;0;0;0;0;0
2020-09-06 07:30:00;22;0;27;0;0;0;0;0;0;0;0;0
2020-09-06 07:45:00;14;0;19;0;0;0;0;0;0;0;0;0
2020-09-06 08:00:00;16;0;29;0;1;0;0;0;0;3;3;0
2020-09-06 08:15:00;14;0;28;0;0;0;0;0;0;1;0;0
2020-09-06 08:30:00;29;0;45;0;0;0;0;0;0;0;0;0
2020-09-06 08:45:00;30;0;41;0;1;0;0;0;0;0;0;0
2020-09-06 09:00:00;26;0;48;0;2;1;0;0;0;0;0;0
2020-09-06 09:15:00;46;0;56;0;1;1;0;0;0;2;0;0
2020-09-06 09:30:00;49;0;62;0;1;1;0;0;0;1;0;0
2020-09-06 09:45:00;43;0;69;0;1;0;0;0;0;2;1;0
2020-09-06 10:00:00;49;0;58;0;4;5;0;0;0;1;0;0
2020-09-06 10:15:00;68;0;63;0;1;1;0;0;0;8;0;0
2020-09-06 10:30:00;54;0;70;0;4;0;0;0;0;4;1;0
2020-09-06 10:45:00;54;0;66;0;2;2;0;0;0;3;3;0
2020-09-06 11:00:00;75;0;63;0;4;0;0;0;0;3;0;0
2020-09-06 11:15:00;74;0;77;0;2;2;0;0;0;2;4;0
2020-09-06 11:30:00;68;0;70;0;3;4;0;0;0;7;12;0
2020-09-06 11:45:00;84;0;87;0;3;1;0;0;0;8;0;0
2020-09-06 12:00:00;67;0;67;0;1;0;0;0;0;3;0;0
2020-09-06 12:15:00;79;0;72;0;3;2;0;0;0;4;2;0
2020-09-06 12:30:00;61;0;69;0;3;2;0;0;0;2;1;0
2020-09-06 12:45:00;96;0;82;0;5;3;0;0;0;7;2;0
2020-09-06 13:00:00;66;0;86;0;3;5;0;0;0;2;0;0
2020-09-06 13:15:00;85;0;76;0;3;3;0;0;0;3;1;0
2020-09-06 13:30:00;73;0;98;0;6;2;0;0;0;3;0;0
2020-09-06 13:45:00;100;0;99;0;4;3;0;0;0;2;41;0
2020-09-06 14:00:00;101;0;82;0;29;1;0;0;0;6;24;0
2020-09-06 14:15:00;104;0;105;0;10;0;0;0;0;4;0;0
2020-09-06 14:30:00;96;0;111;0;11;3;0;0;0;0;0;0
2020-09-06 14:45:00;77;0;89;0;6;3;0;0;0;4;0;0
2020-09-06 15:00:00;94;0;84;0;3;5;0;0;0;9;0;0
2020-09-06 15:15:00;81;0;93;0;6;5;0;0;0;9;0;0
2020-09-06 15:30:00;74;0;79;0;6;2;0;0;0;5;0;0
2020-09-06 15:45:00;96;0;71;0;2;4;0;0;0;4;3;0
2020-09-06 16:00:00;95;0;72;0;4;3;0;0;0;4;0;0
2020-09-06 16:15:00;108;0;86;0;1;6;0;0;0;3;6;0
2020-09-06 16:30:00;100;0;87;0;3;1;0;0;0;3;0;0
2020-09-06 16:45:00;102;0;70;0;2;6;0;0;0;6;3;0
2020-09-06 17:00:00;85;0;87;0;1;8;0;0;0;5;0;0
2020-09-06 17:15:00;104;0;93;0;3;3;0;0;0;6;3;0
2020-09-06 17:30:00;114;0;73;0;5;6;0;0;0;3;0;0
2020-09-06 17:45:00;97;0;70;0;5;5;0;0;0;6;0;0
2020-09-06 18:00:00;77;0;90;0;7;5;0;0;0;1;0;0
2020-09-06 18:15:00;89;0;75;0;3;2;0;0;0;5;0;0
2020-09-06 18:30:00;83;0;80;0;1;0;0;0;0;1;0;0
2020-09-06 18:45:00;85;0;80;0;4;7;0;0;0;3;0;0
2020-09-06 19:00:00;95;0;56;0;4;2;0;0;0;7;0;0
2020-09-06 19:15:00;81;0;60;0;0;5;0;0;0;1;31;0
2020-09-06 19:30:00;78;0;71;0;1;1;0;0;0;6;0;0
2020-09-06 19:45:00;72;0;64;0;1;3;0;0;0;6;0;0
2020-09-06 20:00:00;78;0;58;0;1;1;0;0;0;1;0;0
2020-09-06 20:15:00;70;0;60;0;0;1;0;0;0;0;0;0
2020-09-06 20:30:00;56;0;52;0;0;0;0;0;0;0;0;0
2020-09-06 20:45:00;58;0;37;0;0;0;0;0;0;0;0;0
2020-09-06 21:00:00;59;0;39;0;0;0;0;0;0;1;0;0
2020-09-06 21:15:00;41;0;34;0;0;0;0;0;0;0;0;0
2020-09-06 21:30:00;36;0;31;0;0;0;0;0;0;0;0;0
2020-09-06 21:45:00;32;0;22;0;0;0;0;0;0;0;0;0
2020-09-06 22:00:00;44;0;34;0;0;0;0;0;0;0;0;0
2020-09-06 22:15:00;19;0;18;0;0;0;0;0;0;0;0;0
2020-09-06 22:30:00;34;0;21;0;0;0;0;0;0;1;0;0
2020-09-06 22:45:00;20;0;16;0;0;0;0;0;0;0;0;0
2020-09-06 23:00:00;17;0;16;0;0;0;0;0;0;0;0;0
2020-09-06 23:15:00;10;0;9;0;0;0;0;0;0;0;0;0
