DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFBA);10(TAFBA1);11(TAFBB);12(TAFBC);13(TAFBC1);14(TAFBD)
2020-06-06 18:45:00;87;92;32;17;76;97;45;34;0;1;0;0;0;0
2020-06-06 19:00:00;82;72;27;22;84;81;43;34;1;2;0;0;1;0
2020-06-06 19:15:00;72;78;41;13;85;89;34;35;0;0;0;0;7;13
2020-06-06 19:30:00;71;72;22;7;77;100;32;28;0;0;0;0;0;2
2020-06-06 19:45:00;54;61;24;7;75;88;39;31;0;0;0;0;0;0
2020-06-06 20:00:00;55;53;32;13;90;99;28;23;0;0;0;0;0;0
2020-06-06 20:15:00;36;37;29;9;55;71;18;17;0;0;0;0;0;0
2020-06-06 20:30:00;52;49;26;6;53;59;23;21;0;0;0;0;0;0
2020-06-06 20:45:00;40;46;31;6;33;51;23;14;0;0;0;0;0;1
2020-06-06 21:00:00;47;37;15;7;32;37;23;16;0;0;0;0;0;0
2020-06-06 21:15:00;36;39;19;10;34;49;24;14;0;0;0;0;0;0
2020-06-06 21:45:00;35;29;25;4;30;45;21;19;0;0;0;0;0;0
2020-06-06 22:00:00;31;24;22;8;34;33;22;13;0;4;0;0;0;0
2020-06-06 22:15:00;41;29;15;3;36;45;11;16;0;25;0;0;0;0
2020-06-06 22:30:00;30;24;16;6;24;22;17;20;0;0;0;0;0;2
2020-06-06 22:45:00;23;25;17;6;26;37;18;13;0;0;1;0;0;0
2020-06-06 23:15:00;30;31;17;8;26;28;13;9;0;0;0;0;0;0
2020-06-06 23:30:00;32;30;11;6;17;26;14;15;0;0;0;0;0;0
2020-06-06 23:45:00;20;20;10;4;23;22;13;8;0;0;0;0;1;12
