DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-02-14 00:00:00;4;2;0;0;0;1;3;2;0;0;16;0;0
2020-02-14 00:15:00;5;2;0;0;7;8;5;2;2;1;0;0;0
2020-02-14 00:30:00;3;1;0;1;7;6;5;1;0;0;0;0;0
2020-02-14 00:45:00;3;2;0;0;5;2;4;1;1;0;0;0;0
2020-02-14 01:00:00;4;3;0;0;4;8;2;0;0;1;299;0;0
2020-02-14 01:15:00;0;0;0;0;5;4;1;2;4;1;224;0;0
2020-02-14 01:30:00;1;2;0;0;2;0;1;2;1;0;0;0;0
2020-02-14 01:45:00;1;1;0;0;0;1;3;2;1;0;248;0;0
2020-02-14 02:00:00;1;2;0;0;5;6;3;2;0;1;0;0;0
2020-02-14 02:15:00;0;0;0;0;3;6;3;1;2;0;338;0;0
2020-02-14 02:30:00;1;3;1;0;1;2;1;1;2;1;158;0;0
2020-02-14 02:45:00;1;3;0;0;5;4;3;0;1;1;0;0;0
2020-02-14 03:00:00;2;1;0;0;1;2;3;2;0;0;1;0;0
2020-02-14 03:15:00;0;0;0;0;1;0;2;0;0;0;210;0;0
2020-02-14 03:30:00;0;0;0;0;3;3;2;0;1;0;0;0;0
2020-02-14 03:45:00;0;1;0;0;2;4;2;0;2;0;140;0;0
2020-02-14 04:00:00;2;0;0;0;4;4;1;1;2;1;2;0;0
2020-02-14 04:15:00;3;2;0;0;2;2;6;1;1;2;0;0;0
2020-02-14 04:30:00;4;2;0;0;4;2;3;4;5;1;138;0;0
2020-02-14 04:45:00;1;3;0;1;11;12;11;3;4;0;415;0;0
2020-02-14 05:00:00;4;5;2;0;13;14;28;14;4;3;2;0;0
2020-02-14 05:15:00;6;3;0;0;12;12;46;27;6;4;2;3;0
2020-02-14 05:30:00;5;3;0;1;20;21;47;43;15;3;3;0;0
2020-02-14 05:45:00;5;3;0;0;39;41;65;47;27;9;52;1;0
2020-02-14 06:00:00;14;13;1;0;45;46;42;31;21;4;3;0;2
2020-02-14 06:15:00;18;14;2;2;46;38;58;73;36;10;7;0;19
