DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-10-25 00:00:00;0;6;3;3;4;15;4;10;5;1;10;12;7
2020-10-25 00:15:00;0;14;8;1;3;8;2;12;5;1;7;13;9
2020-10-25 00:30:00;0;8;9;0;3;11;5;14;5;2;10;13;7
2020-10-25 00:45:00;0;12;2;0;5;10;6;10;4;1;9;10;9
2020-10-25 01:00:00;0;4;7;1;6;9;4;9;4;3;4;6;5
2020-10-25 01:15:00;0;9;6;1;4;13;5;11;9;1;3;7;3
2020-10-25 01:30:00;0;4;5;1;2;7;5;8;4;1;9;7;4
2020-10-25 01:45:00;0;3;5;1;3;8;2;9;6;0;9;6;1
2020-10-25 02:00:00;0;4;1;0;1;7;6;2;1;3;9;5;2
2020-10-25 02:15:00;0;2;2;0;0;4;1;4;1;2;4;4;4
2020-10-25 02:30:00;0;3;5;2;1;3;5;5;0;1;3;3;4
2020-10-25 02:45:00;0;5;4;1;2;4;2;2;1;0;3;3;1
2020-10-25 02:00:00;0;7;4;2;1;9;6;8;4;4;10;6;6
2020-10-25 02:15:00;0;2;5;0;1;7;1;9;2;3;4;7;6
2020-10-25 02:30:00;0;7;5;2;1;5;6;6;0;1;5;4;6
2020-10-25 02:45:00;0;6;4;1;2;6;3;4;1;1;5;6;4
2020-10-25 03:00:00;0;5;3;0;0;2;1;3;1;2;3;4;3
2020-10-25 03:15:00;0;1;3;0;0;2;1;2;1;1;3;1;1
2020-10-25 03:30:00;0;1;0;0;0;1;1;1;0;0;0;2;2
2020-10-25 03:45:00;0;2;1;1;0;0;0;1;0;0;1;1;0
2020-10-25 04:00:00;0;1;0;0;0;1;1;2;1;0;1;2;1
2020-10-25 04:15:00;0;4;3;1;1;1;0;2;1;0;1;0;0
2020-10-25 04:30:00;0;3;1;0;0;3;1;6;2;1;1;1;1
2020-10-25 04:45:00;0;3;2;0;2;6;4;2;2;1;2;1;0
2020-10-25 05:00:00;0;4;1;0;4;1;1;0;1;0;6;1;2
2020-10-25 05:15:00;0;4;0;1;1;5;2;9;4;0;2;2;0
