DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2020-05-11 00:00:00;14;6;0;0;0;16;11;0;0
2020-05-11 00:15:00;16;9;0;1;2;11;3;0;0
2020-05-11 00:30:00;7;10;0;0;0;16;7;0;0
2020-05-11 00:45:00;9;7;0;2;0;11;6;0;0
2020-05-11 01:00:00;6;2;0;0;0;12;6;0;0
2020-05-11 01:15:00;8;7;0;0;0;7;4;0;0
2020-05-11 01:30:00;12;3;0;1;0;5;3;0;0
2020-05-11 01:45:00;13;2;0;0;0;3;4;0;0
2020-05-11 02:00:00;6;2;0;0;0;3;5;0;0
2020-05-11 02:15:00;9;3;0;0;0;3;2;0;0
2020-05-11 02:30:00;11;2;0;0;0;4;3;0;0
2020-05-11 02:45:00;5;2;0;4;0;4;3;0;0
2020-05-11 03:00:00;4;0;0;0;0;6;1;0;0
2020-05-11 03:15:00;5;3;0;0;0;3;1;0;0
2020-05-11 03:30:00;2;1;0;0;0;4;1;0;0
2020-05-11 03:45:00;2;3;0;0;0;1;0;0;0
2020-05-11 04:00:00;8;3;0;1;0;11;6;0;0
2020-05-11 04:15:00;10;7;0;0;0;13;3;0;0
2020-05-11 04:30:00;15;8;0;0;1;13;5;0;0
2020-05-11 04:45:00;18;12;0;1;0;28;10;0;0
2020-05-11 05:00:00;33;20;0;2;0;45;20;0;0
2020-05-11 05:15:00;45;40;1;0;0;135;80;0;2
2020-05-11 05:30:00;61;45;1;2;1;159;102;0;2
2020-05-11 05:45:00;69;48;2;2;2;172;119;0;1
2020-05-11 06:00:00;48;47;2;4;1;116;78;0;3
2020-05-11 06:15:00;77;77;3;1;3;170;132;0;5
2020-05-11 06:30:00;85;93;5;4;13;208;170;3;0
2020-05-11 06:45:00;81;74;9;3;9;182;167;9;3
2020-05-11 07:00:00;65;90;8;5;13;155;153;8;3
2020-05-11 07:15:00;89;91;5;11;21;169;210;0;3
2020-05-11 07:30:00;78;79;5;12;9;187;208;10;7
2020-05-11 07:45:00;100;101;11;9;18;181;197;0;4
2020-05-11 08:00:00;82;83;8;11;16;156;132;0;5
2020-05-11 08:15:00;86;92;7;17;12;124;124;6;1
2020-05-11 08:30:00;81;94;8;17;14;130;137;10;8
2020-05-11 08:45:00;95;96;11;16;6;128;139;10;2
2020-05-11 09:00:00;95;78;7;19;18;108;113;8;2
2020-05-11 09:15:00;99;103;14;11;24;112;128;5;2
2020-05-11 09:30:00;99;117;13;24;22;113;147;5;2
2020-05-11 09:45:00;95;112;12;20;23;105;134;6;3
2020-05-11 10:00:00;96;87;13;25;15;99;120;3;3
2020-05-11 10:15:00;120;113;22;29;18;100;132;30;4
2020-05-11 10:30:00;106;112;20;33;19;100;133;9;1
2020-05-11 10:45:00;113;134;16;30;19;107;140;17;0
2020-05-11 11:00:00;124;124;23;29;18;105;120;47;0
2020-05-11 11:15:00;121;114;23;13;22;82;110;11;0
2020-05-11 11:30:00;142;144;17;35;18;103;145;10;3
2020-05-11 11:45:00;97;89;13;27;16;99;104;3;0
2020-05-11 12:00:00;118;128;15;32;18;85;103;5;1
2020-05-11 12:15:00;107;138;17;35;32;98;98;9;0
2020-05-11 12:30:00;107;108;13;29;12;120;139;4;1
2020-05-11 12:45:00;113;130;23;34;24;106;124;12;3
2020-05-11 13:00:00;121;135;19;24;21;112;134;18;3
2020-05-11 13:15:00;119;138;16;20;17;126;140;12;2
2020-05-11 13:30:00;168;190;15;33;18;146;174;5;2
