DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-01-23 00:00:00;4;5;3;2;1;1;0;3;0;0
2020-01-23 00:15:00;4;5;5;1;2;1;2;0;0;0
2020-01-23 00:30:00;3;7;6;2;0;0;0;0;0;0
2020-01-23 00:45:00;2;5;2;1;2;0;0;1;0;0
2020-01-23 01:00:00;0;2;4;0;0;0;0;1;0;0
2020-01-23 01:15:00;4;3;1;0;1;1;0;1;0;0
2020-01-23 01:30:00;0;0;0;0;0;0;0;0;0;0
2020-01-23 01:45:00;1;1;1;0;0;0;0;1;0;0
2020-01-23 02:00:00;1;2;1;0;0;0;0;1;0;0
2020-01-23 02:15:00;4;4;1;0;0;0;0;0;0;0
2020-01-23 02:30:00;2;3;2;0;0;0;0;0;0;0
2020-01-23 02:45:00;2;3;3;1;0;0;1;1;0;0
2020-01-23 03:00:00;2;1;0;1;2;1;2;0;0;0
2020-01-23 03:15:00;3;2;3;2;3;0;0;1;0;0
2020-01-23 03:30:00;2;0;1;1;0;0;1;1;0;0
2020-01-23 03:45:00;5;4;4;1;1;0;0;0;0;0
2020-01-23 04:00:00;1;3;3;2;0;0;0;0;0;0
2020-01-23 04:15:00;10;6;5;1;1;1;0;0;0;0
2020-01-23 04:30:00;17;9;6;2;0;3;0;3;0;0
2020-01-23 04:45:00;29;6;22;0;0;1;1;4;0;0
2020-01-23 05:00:00;66;10;46;2;1;2;1;2;0;0
2020-01-23 05:15:00;132;9;154;7;3;6;1;7;0;0
2020-01-23 05:30:00;165;19;172;15;3;8;11;22;1;0
2020-01-23 05:45:00;97;28;79;8;24;6;89;71;0;1
2020-01-23 06:00:00;70;39;75;14;81;2;117;96;1;0
2020-01-23 06:15:00;66;25;109;8;19;1;42;35;0;0
2020-01-23 06:30:00;81;42;118;4;6;4;11;9;0;0
2020-01-23 06:45:00;103;60;104;3;2;3;8;10;0;0
2020-01-23 07:00:00;86;28;96;2;4;5;3;20;2;0
2020-01-23 07:15:00;60;23;125;6;8;4;7;11;0;0
2020-01-23 07:30:00;90;65;118;8;6;15;12;12;5;1
