DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-11-19 00:00:00;4;4;3;1;0;0;0;12;0;0;0;0;0
2020-11-19 00:15:00;9;8;4;4;1;1;0;8;0;0;0;0;0
2020-11-19 00:30:00;4;3;4;2;0;0;0;9;0;0;0;0;0
2020-11-19 00:45:00;3;4;5;4;1;2;1;9;0;0;0;0;0
2020-11-19 01:00:00;2;0;0;0;0;0;2;5;0;0;0;0;0
2020-11-19 01:15:00;4;4;1;0;1;1;1;8;0;0;0;0;0
2020-11-19 01:30:00;6;5;4;1;1;2;0;3;0;0;0;0;0
2020-11-19 01:45:00;6;4;2;1;0;0;0;4;0;0;0;0;0
2020-11-19 02:00:00;5;3;3;0;0;0;0;6;0;0;0;0;0
2020-11-19 02:15:00;4;5;1;1;0;0;0;0;0;0;0;0;0
2020-11-19 02:30:00;9;7;1;0;0;0;0;4;0;0;0;0;0
2020-11-19 02:45:00;2;3;1;1;0;0;1;5;0;0;0;0;0
2020-11-19 03:00:00;9;7;6;3;2;2;0;4;0;0;0;0;0
2020-11-19 03:15:00;2;4;2;0;0;0;0;6;0;0;0;0;0
2020-11-19 03:30:00;8;5;4;0;0;0;0;7;0;0;0;0;0
2020-11-19 03:45:00;5;5;4;1;1;0;1;8;0;0;0;0;0
2020-11-19 04:00:00;7;3;4;2;0;0;0;9;0;0;0;0;0
2020-11-19 04:15:00;7;4;2;0;1;1;0;3;0;0;0;0;0
2020-11-19 04:30:00;7;8;5;3;0;0;0;14;0;0;0;0;0
2020-11-19 04:45:00;23;9;5;0;2;2;1;16;0;0;0;0;0
2020-11-19 05:00:00;17;11;8;3;3;3;2;17;0;0;0;0;0
2020-11-19 05:15:00;31;27;17;16;6;7;10;57;0;0;0;0;0
2020-11-19 05:30:00;64;35;18;9;7;9;10;104;0;0;0;0;0
2020-11-19 05:45:00;62;22;14;5;8;9;3;73;0;3;0;0;0
2020-11-19 06:00:00;80;31;20;6;6;7;4;67;0;0;0;0;0
