DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2019-11-23 00:00:00;25;34;23;26;1;3;0
2019-11-23 00:15:00;34;43;35;24;3;1;0
2019-11-23 00:30:00;31;24;28;15;5;2;0
2019-11-23 00:45:00;20;28;20;13;3;0;0
2019-11-23 01:00:00;18;11;21;13;1;2;0
2019-11-23 01:15:00;19;24;20;11;1;4;0
2019-11-23 01:30:00;11;21;14;7;1;3;0
2019-11-23 01:45:00;12;25;17;12;2;2;0
2019-11-23 02:00:00;15;15;15;18;2;0;0
2019-11-23 02:15:00;13;16;15;11;1;0;0
2019-11-23 02:30:00;12;15;17;6;4;1;0
2019-11-23 02:45:00;11;10;14;10;1;1;0
2019-11-23 03:00:00;9;6;17;11;4;0;0
2019-11-23 03:15:00;10;4;7;3;0;0;0
2019-11-23 03:30:00;8;7;5;4;1;2;0
2019-11-23 03:45:00;10;9;7;5;1;1;0
2019-11-23 04:00:00;7;8;11;3;1;0;0
2019-11-23 04:15:00;7;8;7;4;1;1;0
2019-11-23 04:30:00;7;9;15;4;0;2;0
2019-11-23 04:45:00;11;14;11;7;6;0;0
2019-11-23 05:00:00;10;13;24;14;1;1;0
2019-11-23 05:15:00;20;28;34;22;4;3;0
2019-11-23 05:30:00;28;30;59;25;5;6;0
2019-11-23 05:45:00;94;111;41;35;7;5;0
2019-11-23 06:00:00;116;141;34;29;13;3;0
2019-11-23 06:15:00;69;89;46;34;6;7;0
2019-11-23 06:30:00;30;51;51;27;3;9;0
2019-11-23 06:45:00;34;57;33;27;4;15;0
2019-11-23 07:00:00;20;42;38;23;6;9;0
2019-11-23 07:15:00;33;51;49;25;8;4;2
2019-11-23 07:30:00;30;49;35;35;15;15;0
2019-11-23 07:45:00;45;70;57;39;19;7;0
2019-11-23 08:00:00;42;47;36;41;18;5;0
2019-11-23 08:15:00;38;59;51;59;12;13;0
2019-11-23 08:30:00;41;64;59;67;18;11;0
2019-11-23 08:45:00;47;54;77;66;19;13;0
2019-11-23 09:00:00;53;65;77;167;18;15;0
2019-11-23 09:15:00;61;93;92;94;21;17;0
2019-11-23 09:30:00;65;86;85;94;28;15;0
2019-11-23 09:45:00;68;119;96;122;33;21;0
2019-11-23 10:00:00;80;112;95;109;24;22;0
2019-11-23 10:15:00;75;126;94;117;41;32;0
2019-11-23 10:30:00;85;131;112;109;25;25;0
2019-11-23 10:45:00;86;135;125;150;29;34;0
2019-11-23 11:00:00;87;146;118;123;27;19;0
2019-11-23 11:15:00;103;147;107;131;30;20;0
2019-11-23 11:30:00;79;135;114;123;21;24;1
2019-11-23 11:45:00;86;149;126;131;44;24;0
2019-11-23 12:00:00;107;157;115;129;23;30;0
2019-11-23 12:15:00;113;172;117;128;28;22;0
2019-11-23 12:30:00;101;153;122;144;19;34;0
2019-11-23 12:45:00;107;168;115;154;31;30;0
2019-11-23 13:00:00;109;156;120;205;21;26;0
2019-11-23 13:15:00;116;135;137;169;22;23;0
2019-11-23 13:30:00;107;154;139;156;31;25;11
2019-11-23 13:45:00;94;172;146;175;34;36;0
2019-11-23 14:00:00;121;170;121;144;30;39;0
2019-11-23 14:15:00;108;162;107;127;24;30;0
2019-11-23 14:30:00;130;198;113;153;29;27;0
2019-11-23 14:45:00;112;178;108;154;16;26;3
2019-11-23 15:00:00;121;179;118;152;19;27;1
2019-11-23 15:15:00;92;175;120;160;27;26;0
2019-11-23 15:30:00;98;148;133;144;24;40;0
2019-11-23 15:45:00;89;160;129;147;22;23;0
2019-11-23 16:00:00;114;163;126;159;24;26;0
2019-11-23 16:15:00;107;179;104;132;32;33;0
2019-11-23 16:30:00;106;158;115;148;24;35;4
2019-11-23 16:45:00;102;145;122;150;26;38;0
2019-11-23 17:00:00;88;165;121;137;18;31;0
2019-11-23 17:15:00;113;160;136;165;37;34;4
2019-11-23 17:30:00;105;168;125;157;36;30;0
2019-11-23 17:45:00;84;149;118;153;29;32;4
2019-11-23 18:00:00;98;150;99;129;36;29;0
2019-11-23 18:15:00;93;135;102;120;21;27;0
2019-11-23 18:30:00;89;120;106;129;26;31;0
2019-11-23 18:45:00;94;137;96;124;13;20;0
2019-11-23 19:00:00;64;103;94;105;18;22;0
2019-11-23 19:15:00;70;114;71;99;17;17;4
2019-11-23 19:30:00;71;90;74;66;15;21;6
2019-11-23 19:45:00;69;96;62;62;15;24;0
2019-11-23 20:00:00;78;121;54;62;11;17;0
2019-11-23 20:15:00;92;116;60;76;8;11;3
2019-11-23 20:30:00;54;69;56;63;6;9;0
2019-11-23 20:45:00;44;69;51;57;8;10;0
2019-11-23 21:00:00;27;49;47;42;12;12;0
2019-11-23 21:15:00;50;70;59;40;9;7;0
2019-11-23 21:30:00;36;43;46;48;2;10;0
2019-11-23 21:45:00;56;57;42;39;7;10;0
2019-11-23 22:00:00;49;59;48;43;6;6;0
2019-11-23 22:15:00;44;50;41;46;1;7;0
2019-11-23 22:30:00;40;47;47;26;4;6;0
2019-11-23 22:45:00;41;50;35;37;6;9;0
2019-11-23 23:00:00;37;40;34;33;4;4;0
2019-11-23 23:15:00;38;52;42;30;5;8;0
2019-11-23 23:30:00;25;36;38;30;6;5;0
2019-11-23 23:45:00;28;40;36;26;3;3;0
