DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-02-06 00:00:00;2;1;7;10;0;1
2020-02-06 00:15:00;23;4;7;12;3;5
2020-02-06 00:30:00;18;2;5;8;1;0
2020-02-06 00:45:00;13;6;8;12;0;0
2020-02-06 01:00:00;11;2;3;5;0;1
2020-02-06 01:15:00;11;2;1;4;0;0
2020-02-06 01:30:00;9;2;2;6;0;1
2020-02-06 01:45:00;7;1;3;5;1;3
2020-02-06 02:00:00;5;1;1;1;0;0
2020-02-06 02:15:00;7;1;4;5;0;3
2020-02-06 02:30:00;6;1;4;3;0;2
2020-02-06 02:45:00;5;2;2;7;0;1
2020-02-06 03:00:00;11;2;5;7;0;2
2020-02-06 03:15:00;5;2;2;11;1;1
2020-02-06 03:30:00;4;3;4;3;0;0
2020-02-06 03:45:00;8;1;5;7;1;1
2020-02-06 04:00:00;6;2;2;8;2;0
2020-02-06 04:15:00;14;1;5;10;0;3
2020-02-06 04:30:00;21;9;5;9;0;8
2020-02-06 04:45:00;35;18;9;13;1;3
2020-02-06 05:00:00;72;45;5;22;1;10
2020-02-06 05:15:00;88;77;12;31;1;10
2020-02-06 05:30:00;104;117;19;62;4;13
2020-02-06 05:45:00;98;89;50;92;0;17
2020-02-06 06:00:00;86;78;42;107;3;17
2020-02-06 06:15:00;104;117;46;105;10;25
2020-02-06 06:30:00;122;128;51;69;0;15
2020-02-06 06:45:00;120;139;59;121;10;19
2020-02-06 07:00:00;135;156;45;86;10;31
2020-02-06 07:15:00;146;170;68;105;8;41
2020-02-06 07:30:00;157;170;85;148;14;67
2020-02-06 07:45:00;182;213;108;156;8;36
2020-02-06 08:00:00;142;155;80;123;16;40
2020-02-06 08:15:00;150;143;63;132;11;40
2020-02-06 08:30:00;132;139;67;124;17;40
2020-02-06 08:45:00;131;101;73;114;9;38
2020-02-06 09:00:00;119;94;58;102;6;25
2020-02-06 09:15:00;107;88;52;106;15;30
2020-02-06 09:30:00;122;97;67;118;12;42
2020-02-06 09:45:00;130;99;71;116;20;50
2020-02-06 10:00:00;125;93;66;117;12;24
2020-02-06 10:15:00;115;83;75;137;12;32
2020-02-06 10:30:00;123;95;75;138;9;26
2020-02-06 10:45:00;115;87;75;114;14;34
2020-02-06 11:00:00;127;78;79;107;12;32
2020-02-06 11:15:00;123;110;79;146;19;54
2020-02-06 11:30:00;129;93;86;138;13;32
2020-02-06 11:45:00;127;98;81;131;17;37
2020-02-06 12:00:00;118;93;88;149;17;36
2020-02-06 12:15:00;124;84;83;155;25;42
2020-02-06 12:30:00;118;91;84;146;24;50
2020-02-06 12:45:00;120;96;87;148;23;56
2020-02-06 13:00:00;127;112;79;125;18;37
2020-02-06 13:15:00;147;133;100;155;14;36
2020-02-06 13:30:00;158;158;95;156;15;40
2020-02-06 13:45:00;154;135;108;151;17;46
2020-02-06 14:00:00;134;110;94;187;24;37
2020-02-06 14:15:00;145;112;112;200;10;41
2020-02-06 14:30:00;160;119;111;199;18;65
2020-02-06 14:45:00;147;121;133;227;32;46
2020-02-06 15:00:00;117;108;127;204;22;60
2020-02-06 15:15:00;149;119;108;196;15;46
2020-02-06 15:30:00;160;139;124;193;18;59
2020-02-06 15:45:00;152;136;148;212;22;51
2020-02-06 16:00:00;154;145;125;209;15;58
2020-02-06 16:15:00;153;150;180;235;26;44
2020-02-06 16:30:00;172;153;165;217;22;53
2020-02-06 16:45:00;161;153;136;228;25;61
2020-02-06 17:00:00;167;154;149;213;18;54
2020-02-06 17:15:00;155;134;161;238;26;59
2020-02-06 17:30:00;167;153;139;228;25;57
2020-02-06 17:45:00;133;109;120;210;27;51
2020-02-06 18:00:00;147;111;112;180;19;39
2020-02-06 18:15:00;144;119;133;192;21;41
2020-02-06 18:30:00;151;123;93;158;14;48
2020-02-06 18:45:00;129;94;93;138;13;45
2020-02-06 19:00:00;121;96;72;94;17;28
2020-02-06 19:15:00;118;88;72;125;24;42
2020-02-06 19:30:00;106;70;62;82;6;34
2020-02-06 19:45:00;92;58;44;80;4;34
2020-02-06 20:00:00;95;75;44;88;9;15
2020-02-06 20:15:00;67;45;49;100;8;18
2020-02-06 20:30:00;90;60;53;67;7;11
2020-02-06 20:45:00;75;37;32;66;4;23
2020-02-06 21:00:00;99;72;33;58;5;13
2020-02-06 21:15:00;89;66;40;56;5;8
2020-02-06 21:30:00;74;53;40;54;4;14
2020-02-06 21:45:00;70;39;77;117;7;12
2020-02-06 22:00:00;49;22;54;86;5;8
2020-02-06 22:15:00;61;25;47;91;6;10
2020-02-06 22:30:00;58;29;21;54;4;10
2020-02-06 22:45:00;48;26;17;36;3;3
2020-02-06 23:00:00;31;20;19;25;5;10
2020-02-06 23:15:00;28;10;9;27;3;3
2020-02-06 23:30:00;25;12;13;20;3;2
2020-02-06 23:45:00;23;3;14;16;1;4
