DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-09-01 00:00:00;12;6;3;1;1;7;5;0;0
2020-09-01 00:15:00;4;5;3;1;1;2;2;1;1
2020-09-01 00:30:00;7;4;5;2;1;7;4;2;5
2020-09-01 00:45:00;12;5;3;0;0;2;1;1;1
2020-09-01 01:00:00;5;4;3;1;1;8;6;1;1
2020-09-01 01:15:00;8;5;3;2;2;7;1;0;0
2020-09-01 01:30:00;4;2;4;1;1;5;5;0;0
2020-09-01 01:45:00;9;4;2;1;1;9;3;0;0
2020-09-01 02:00:00;1;2;6;3;1;7;8;0;1
2020-09-01 02:15:00;5;2;4;2;1;9;6;1;1
2020-09-01 02:30:00;1;2;1;1;2;7;0;0;0
2020-09-01 02:45:00;5;6;5;1;1;6;4;0;0
2020-09-01 03:00:00;6;2;4;2;2;7;4;1;1
2020-09-01 03:15:00;3;2;5;2;1;7;6;1;3
2020-09-01 03:30:00;5;4;2;1;1;6;0;0;1
2020-09-01 03:45:00;5;5;7;1;0;10;6;0;0
2020-09-01 04:00:00;3;5;4;3;1;6;5;3;3
2020-09-01 04:15:00;15;4;6;1;1;12;6;0;3
2020-09-01 04:30:00;8;7;10;6;1;13;7;0;2
2020-09-01 04:45:00;10;7;7;1;0;22;17;1;2
2020-09-01 05:00:00;19;8;8;4;2;22;17;2;1
2020-09-01 05:15:00;39;18;15;3;1;43;20;0;1
2020-09-01 05:30:00;34;27;20;10;2;46;20;6;6
2020-09-01 05:45:00;59;36;47;10;6;70;53;4;9
2020-09-01 06:00:00;35;33;43;8;4;46;39;3;11
2020-09-01 06:15:00;60;45;66;14;10;79;75;7;17
2020-09-01 06:30:00;74;60;64;17;10;68;84;7;14
2020-09-01 06:45:00;79;82;64;19;11;82;74;8;18
2020-09-01 07:00:00;73;113;88;21;12;85;65;5;16
2020-09-01 07:15:00;92;117;67;21;9;79;68;7;17
2020-09-01 07:30:00;117;115;83;21;10;87;95;14;23
2020-09-01 07:45:00;87;98;64;17;9;93;91;11;18
2020-09-01 08:00:00;88;99;71;13;12;84;81;14;26
2020-09-01 08:15:00;81;93;78;32;10;88;92;25;32
2020-09-01 08:30:00;67;85;72;28;12;92;79;23;31
2020-09-01 08:45:00;67;78;78;16;10;94;84;12;20
2020-09-01 09:00:00;74;70;85;16;11;77;76;14;24
2020-09-01 09:15:00;69;70;77;15;7;77;69;6;13
2020-09-01 09:30:00;70;79;57;13;11;91;57;4;13
2020-09-01 09:45:00;79;86;84;24;12;99;61;19;18
2020-09-01 10:00:00;99;110;73;27;11;106;71;16;23
2020-09-01 10:15:00;71;79;61;17;10;93;68;13;19
2020-09-01 10:30:00;67;113;74;16;13;101;69;10;18
2020-09-01 10:45:00;82;94;80;22;9;100;90;9;15
2020-09-01 11:00:00;85;88;87;23;12;90;63;12;22
2020-09-01 11:15:00;90;87;101;32;9;123;96;19;19
2020-09-01 11:30:00;96;87;76;12;10;92;63;16;22
2020-09-01 11:45:00;107;90;91;32;14;87;81;16;18
2020-09-01 12:00:00;82;75;73;18;14;93;64;22;24
2020-09-01 12:15:00;91;98;85;26;18;85;84;8;18
2020-09-01 12:30:00;75;75;89;20;10;100;100;10;12
2020-09-01 12:45:00;84;91;77;21;11;90;78;51;11
2020-09-01 13:00:00;84;106;76;20;11;95;71;11;17
2020-09-01 13:15:00;94;99;78;27;17;82;87;11;19
2020-09-01 13:30:00;101;98;73;23;13;102;77;13;16
2020-09-01 13:45:00;97;103;87;17;13;102;76;11;16
2020-09-01 14:00:00;91;90;76;14;10;110;90;15;19
2020-09-01 14:15:00;108;117;88;33;15;107;93;21;19
2020-09-01 14:30:00;101;107;91;31;17;112;99;13;15
2020-09-01 14:45:00;92;119;124;23;12;105;98;12;16
2020-09-01 15:00:00;102;119;96;26;12;113;100;28;35
2020-09-01 15:15:00;96;110;102;21;16;124;89;16;26
2020-09-01 15:30:00;105;133;99;34;15;107;96;13;17
2020-09-01 15:45:00;119;128;84;29;17;113;83;17;25
2020-09-01 16:00:00;104;166;82;37;14;136;115;27;22
2020-09-01 16:15:00;125;116;80;24;11;125;118;12;23
2020-09-01 16:30:00;139;175;80;33;13;114;125;14;134
2020-09-01 16:45:00;113;150;57;37;17;117;107;17;31
2020-09-01 17:00:00;140;153;91;37;16;123;118;15;66
2020-09-01 17:15:00;121;153;93;29;13;104;104;12;21
2020-09-01 17:30:00;113;153;89;37;12;115;101;10;21
2020-09-01 17:45:00;115;119;79;23;12;97;76;10;19
2020-09-01 18:00:00;125;134;99;32;11;104;86;11;17
2020-09-01 18:15:00;88;116;63;29;14;96;62;12;15
2020-09-01 18:30:00;76;81;73;28;18;83;85;5;14
2020-09-01 18:45:00;80;75;84;24;15;68;62;7;14
2020-09-01 19:00:00;56;83;66;18;13;64;50;8;75
2020-09-01 19:15:00;58;76;60;18;14;61;50;12;15
2020-09-01 19:30:00;67;64;57;26;17;51;38;6;12
2020-09-01 19:45:00;56;72;52;18;10;50;38;6;13
2020-09-01 20:00:00;44;46;45;11;8;49;46;9;21
2020-09-01 20:15:00;47;49;31;13;10;46;33;5;7
2020-09-01 20:30:00;43;39;40;17;15;41;36;2;6
2020-09-01 20:45:00;35;42;34;13;11;34;24;7;11
2020-09-01 21:00:00;34;31;21;5;5;38;26;10;14
2020-09-01 21:15:00;46;55;51;31;8;61;38;16;16
2020-09-01 21:30:00;32;30;29;5;3;37;21;3;2
2020-09-01 21:45:00;24;32;27;11;11;29;18;3;4
2020-09-01 22:00:00;25;24;21;11;6;34;20;2;4
2020-09-01 22:15:00;25;14;19;6;5;47;28;5;11
2020-09-01 22:30:00;20;16;13;7;6;36;10;2;4
2020-09-01 22:45:00;12;26;23;9;6;21;17;2;4
2020-09-01 23:00:00;15;21;13;3;4;21;10;1;5
2020-09-01 23:15:00;18;21;14;5;7;9;12;2;3
2020-09-01 23:30:00;15;24;19;11;7;17;10;0;0
