DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBDRES)
2020-06-26 00:00:00;3;4;0;2;1;0;0;0;0;0;0;0
2020-06-26 00:15:00;1;1;0;1;10;0;0;0;0;0;0;0
2020-06-26 00:30:00;0;1;0;2;68;1;0;0;0;0;0;0
2020-06-26 00:45:00;3;3;0;5;1;0;0;0;0;0;0;0
2020-06-26 01:00:00;2;0;0;0;2;1;0;0;0;0;0;0
2020-06-26 01:15:00;3;1;0;2;60;0;0;0;0;0;0;0
2020-06-26 01:30:00;2;3;0;1;452;0;0;0;0;0;0;0
2020-06-26 01:45:00;2;1;0;1;0;0;0;0;0;0;0;0
2020-06-26 02:00:00;0;1;0;1;2;0;0;0;0;0;0;0
2020-06-26 02:15:00;0;2;0;1;298;0;0;0;0;0;0;0
2020-06-26 02:30:00;0;0;1;0;277;0;0;0;0;0;0;0
2020-06-26 02:45:00;0;1;0;0;245;0;0;0;0;0;0;0
2020-06-26 03:00:00;0;0;0;0;227;0;0;0;0;0;0;0
2020-06-26 03:15:00;0;2;0;0;22;0;0;0;0;0;0;0
2020-06-26 03:30:00;2;3;0;1;49;0;0;0;0;0;0;0
2020-06-26 03:45:00;2;4;0;1;127;0;0;0;0;0;0;0
2020-06-26 04:00:00;1;2;1;1;322;0;0;0;0;0;0;0
2020-06-26 04:15:00;0;1;0;0;66;0;0;0;0;0;0;0
2020-06-26 04:30:00;0;1;0;1;563;0;0;0;0;0;0;0
2020-06-26 04:45:00;1;0;0;1;683;1;0;0;0;0;0;0
2020-06-26 05:00:00;2;2;0;0;164;0;0;0;0;0;0;0
2020-06-26 05:15:00;0;0;0;2;613;0;0;0;0;0;0;0
2020-06-26 05:30:00;2;0;0;5;740;1;0;0;0;0;0;0
2020-06-26 05:45:00;2;3;0;10;51;0;0;0;0;0;0;0
2020-06-26 06:00:00;2;5;0;13;216;2;0;0;0;0;0;0
2020-06-26 06:15:00;4;5;0;19;94;4;0;0;0;0;0;0
