DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-02-11 00:00:00;0;4;1;4;4;0;0
2020-02-11 00:15:00;0;7;9;14;4;3;3
2020-02-11 00:30:00;4;12;0;7;4;0;0
2020-02-11 00:45:00;0;5;3;5;1;1;1
2020-02-11 01:00:00;0;1;0;4;3;0;0
2020-02-11 01:15:00;0;2;5;5;2;0;0
2020-02-11 01:30:00;0;4;4;4;4;0;0
2020-02-11 01:45:00;0;3;7;5;6;0;0
2020-02-11 02:00:00;0;3;2;7;5;0;0
2020-02-11 02:15:00;0;2;5;1;1;0;0
2020-02-11 02:30:00;0;2;1;3;3;0;0
2020-02-11 02:45:00;0;3;0;7;3;0;0
2020-02-11 03:00:00;0;2;1;6;6;0;0
2020-02-11 03:15:00;0;5;2;5;2;0;0
2020-02-11 03:30:00;0;5;4;7;3;0;0
2020-02-11 03:45:00;0;5;4;5;6;0;0
2020-02-11 04:00:00;0;4;5;8;6;0;0
2020-02-11 04:15:00;0;8;4;9;7;0;0
2020-02-11 04:30:00;0;15;8;14;9;0;0
2020-02-11 04:45:00;0;24;15;18;9;0;0
2020-02-11 05:00:00;2;53;45;28;29;0;0
2020-02-11 05:15:00;5;79;76;42;28;0;0
2020-02-11 05:30:00;10;73;87;33;37;1;1
2020-02-11 05:45:00;3;60;84;66;67;2;2
2020-02-11 06:00:00;6;71;85;70;73;5;5
2020-02-11 06:15:00;6;94;128;79;78;2;2
2020-02-11 06:30:00;2;114;137;58;80;8;8
2020-02-11 06:45:00;10;118;159;79;98;4;4
2020-02-11 07:00:00;6;148;180;80;81;3;3
2020-02-11 07:15:00;16;184;187;89;79;9;9
2020-02-11 07:30:00;20;196;189;86;110;4;4
2020-02-11 07:45:00;19;168;152;105;126;5;5
2020-02-11 08:00:00;5;130;117;117;100;7;7
2020-02-11 08:15:00;12;110;107;96;83;2;2
2020-02-11 08:30:00;8;100;113;88;115;4;4
2020-02-11 08:45:00;18;109;116;108;98;3;3
2020-02-11 09:00:00;1;94;94;73;65;4;3
2020-02-11 09:15:00;9;101;113;103;77;3;3
2020-02-11 09:30:00;19;107;121;84;85;4;4
2020-02-11 09:45:00;10;91;102;102;89;3;4
2020-02-11 10:00:00;5;86;94;101;104;3;3
2020-02-11 10:15:00;2;86;91;109;102;4;4
2020-02-11 10:30:00;2;105;102;121;101;5;4
2020-02-11 10:45:00;5;95;79;123;140;2;3
2020-02-11 11:00:00;0;112;104;110;112;4;4
2020-02-11 11:15:00;0;109;89;120;119;2;2
2020-02-11 11:30:00;18;97;93;107;121;8;8
2020-02-11 11:45:00;14;93;102;111;127;2;2
2020-02-11 12:00:00;9;108;100;106;112;4;4
2020-02-11 12:15:00;20;106;99;126;126;2;2
2020-02-11 12:30:00;10;97;88;105;113;6;6
2020-02-11 12:45:00;17;86;104;127;117;4;3
2020-02-11 13:00:00;17;125;125;118;128;2;3
2020-02-11 13:15:00;24;108;122;108;125;9;9
2020-02-11 13:30:00;16;111;110;103;130;6;6
2020-02-11 13:45:00;17;101;109;106;123;2;2
2020-02-11 14:00:00;11;85;85;113;111;3;3
2020-02-11 14:15:00;26;113;122;136;136;3;3
2020-02-11 14:30:00;7;111;102;124;150;5;5
2020-02-11 14:45:00;14;116;92;126;152;3;3
2020-02-11 15:00:00;22;126;98;131;127;4;4
2020-02-11 15:15:00;47;97;97;130;158;3;3
2020-02-11 15:30:00;57;105;102;128;153;5;5
2020-02-11 15:45:00;16;106;107;159;187;4;4
2020-02-11 16:00:00;60;121;102;140;185;2;2
2020-02-11 16:15:00;12;101;111;159;192;4;4
2020-02-11 16:30:00;17;127;132;180;198;3;3
2020-02-11 16:45:00;39;121;117;163;180;7;7
2020-02-11 17:00:00;7;121;112;163;209;2;2
2020-02-11 17:15:00;12;110;106;158;189;4;4
2020-02-11 17:30:00;20;124;132;157;173;5;5
2020-02-11 17:45:00;18;105;91;147;163;4;4
2020-02-11 18:00:00;5;107;102;128;156;3;3
2020-02-11 18:15:00;9;116;122;154;159;4;4
2020-02-11 18:30:00;54;105;89;123;142;5;5
2020-02-11 18:45:00;12;94;88;132;129;3;3
2020-02-11 19:00:00;15;88;94;86;85;2;2
2020-02-11 19:15:00;10;73;72;83;68;5;5
2020-02-11 19:30:00;10;61;69;72;69;4;4
2020-02-11 19:45:00;5;73;73;83;77;2;2
2020-02-11 20:00:00;9;60;48;90;75;2;2
2020-02-11 20:15:00;1;47;46;88;82;3;3
2020-02-11 20:30:00;5;49;36;69;61;3;3
2020-02-11 20:45:00;1;62;40;57;41;1;1
2020-02-11 21:00:00;6;64;52;62;40;3;3
2020-02-11 21:15:00;0;54;54;54;57;1;1
2020-02-11 21:30:00;2;42;42;55;43;1;1
2020-02-11 21:45:00;2;20;14;54;47;1;1
2020-02-11 22:00:00;0;26;23;75;78;2;2
2020-02-11 22:15:00;0;19;17;81;69;2;2
2020-02-11 22:30:00;0;24;11;62;41;2;2
2020-02-11 22:45:00;0;19;12;33;29;1;1
2020-02-11 23:00:00;0;13;17;23;25;2;2
2020-02-11 23:15:00;0;13;12;17;9;2;2
2020-02-11 23:30:00;2;12;14;19;4;1;1
