DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2020-05-22 00:00:00;12;19;16;12;0;3;0
2020-05-22 00:15:00;14;15;24;13;0;5;0
2020-05-22 00:30:00;13;17;15;28;1;2;0
2020-05-22 00:45:00;10;16;13;13;0;7;0
2020-05-22 01:00:00;9;12;13;10;1;0;0
2020-05-22 01:15:00;9;7;12;5;0;0;0
2020-05-22 01:30:00;5;2;9;3;0;2;0
2020-05-22 01:45:00;12;10;5;6;1;4;0
2020-05-22 02:00:00;6;7;12;10;1;0;0
2020-05-22 02:15:00;2;4;1;3;0;4;0
2020-05-22 02:30:00;5;9;7;5;0;0;0
2020-05-22 02:45:00;7;11;6;5;2;2;0
2020-05-22 03:00:00;7;4;7;3;1;1;0
2020-05-22 03:15:00;4;4;5;5;0;0;0
2020-05-22 03:30:00;2;5;7;2;1;0;0
2020-05-22 03:45:00;4;7;6;1;0;1;0
2020-05-22 04:00:00;7;3;7;3;0;2;0
2020-05-22 04:15:00;6;11;7;2;0;3;0
2020-05-22 04:30:00;12;8;6;6;1;1;0
2020-05-22 04:45:00;18;12;6;4;3;1;0
2020-05-22 05:00:00;17;12;20;10;4;4;0
2020-05-22 05:15:00;17;24;25;17;4;4;0
2020-05-22 05:30:00;28;26;27;30;5;4;0
2020-05-22 05:45:00;27;26;36;30;4;2;0
2020-05-22 06:00:00;23;34;29;27;3;4;0
2020-05-22 06:15:00;27;30;50;45;5;13;0
2020-05-22 06:30:00;39;45;57;47;9;13;1
2020-05-22 06:45:00;38;39;39;50;4;9;0
2020-05-22 07:00:00;34;54;51;57;9;8;0
2020-05-22 07:15:00;48;53;50;66;204;6;0
2020-05-22 07:30:00;54;69;62;94;31;18;0
2020-05-22 07:45:00;52;75;64;67;14;13;0
2020-05-22 08:00:00;52;64;85;65;16;16;0
2020-05-22 08:15:00;52;84;59;68;12;13;0
2020-05-22 08:30:00;54;73;68;69;15;17;0
2020-05-22 08:45:00;61;100;76;102;14;15;0
2020-05-22 09:00:00;61;85;77;94;18;9;1
2020-05-22 09:15:00;62;100;82;123;18;19;0
2020-05-22 09:30:00;84;113;99;214;24;12;1
2020-05-22 09:45:00;84;133;108;140;15;14;0
2020-05-22 10:00:00;83;122;103;106;19;13;0
2020-05-22 10:15:00;100;140;109;124;315;22;2
2020-05-22 10:30:00;84;127;116;116;25;29;0
2020-05-22 10:45:00;105;162;124;156;24;19;2
2020-05-22 11:00:00;102;139;114;118;20;26;2
2020-05-22 11:15:00;100;132;120;119;30;24;0
2020-05-22 11:30:00;106;147;127;153;24;23;0
2020-05-22 11:45:00;115;152;112;132;88;22;0
2020-05-22 12:00:00;116;157;120;109;23;33;12
2020-05-22 12:15:00;87;158;113;118;10;32;0
2020-05-22 12:30:00;93;156;115;121;19;25;0
2020-05-22 12:45:00;94;142;135;132;42;20;1
2020-05-22 13:00:00;108;157;118;139;36;24;0
2020-05-22 13:15:00;101;148;110;129;22;26;2
2020-05-22 13:30:00;99;138;114;117;37;22;0
2020-05-22 13:45:00;91;149;130;123;22;23;0
2020-05-22 14:00:00;106;164;113;138;25;40;0
2020-05-22 14:15:00;97;169;103;119;17;44;2
2020-05-22 14:30:00;104;159;124;131;26;40;0
2020-05-22 14:45:00;96;151;127;126;13;26;4
2020-05-22 15:00:00;102;159;111;123;20;30;0
2020-05-22 15:15:00;99;133;106;121;22;28;0
2020-05-22 15:30:00;92;145;108;107;25;25;5
2020-05-22 15:45:00;96;158;117;137;24;30;2
2020-05-22 16:00:00;90;145;108;110;31;43;0
2020-05-22 16:15:00;105;162;118;116;16;38;0
2020-05-22 16:30:00;97;152;104;112;22;43;0
2020-05-22 16:45:00;91;139;107;134;20;33;0
2020-05-22 17:00:00;89;137;109;116;23;37;3
2020-05-22 17:15:00;81;130;118;130;25;36;0
2020-05-22 17:30:00;80;119;102;104;16;38;0
2020-05-22 17:45:00;81;140;110;107;19;24;1
2020-05-22 18:00:00;92;127;111;96;23;39;0
2020-05-22 18:15:00;75;105;96;86;25;31;0
2020-05-22 18:30:00;67;121;96;99;18;29;0
2020-05-22 18:45:00;65;100;87;89;11;31;0
2020-05-22 19:00:00;58;100;100;104;14;26;0
2020-05-22 19:15:00;60;85;80;80;103;23;2
2020-05-22 19:30:00;61;82;68;58;10;25;0
2020-05-22 19:45:00;55;78;58;62;11;18;0
2020-05-22 20:00:00;75;89;63;71;8;14;3
2020-05-22 20:15:00;76;89;83;65;9;14;0
2020-05-22 20:30:00;31;47;57;61;3;11;1
2020-05-22 20:45:00;37;56;61;56;6;10;0
2020-05-22 21:00:00;28;29;55;47;3;6;0
2020-05-22 21:15:00;41;37;41;34;2;8;0
2020-05-22 21:30:00;25;24;39;31;7;5;0
2020-05-22 21:45:00;39;40;47;27;0;7;0
2020-05-22 22:00:00;35;45;31;25;1;8;0
2020-05-22 22:15:00;27;35;37;38;6;7;0
2020-05-22 22:30:00;21;30;29;23;0;9;0
2020-05-22 22:45:00;24;37;33;19;1;8;0
2020-05-22 23:00:00;27;30;31;19;1;2;0
2020-05-22 23:15:00;21;32;29;23;4;5;0
2020-05-22 23:30:00;18;23;20;21;0;7;0
2020-05-22 23:45:00;24;21;32;30;1;5;0
