DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2019-10-02 00:00:00;17;15;0;0;0;13;7;0;0
2019-10-02 00:15:00;15;12;0;0;0;21;8;0;0
2019-10-02 00:30:00;15;14;0;0;0;16;5;0;0
2019-10-02 00:45:00;15;15;0;0;0;13;3;0;0
2019-10-02 01:00:00;10;6;0;0;0;8;6;0;0
2019-10-02 01:15:00;13;6;0;0;0;8;4;0;0
2019-10-02 01:30:00;8;7;0;0;0;9;4;0;0
2019-10-02 01:45:00;10;6;0;1;0;10;6;0;0
2019-10-02 02:00:00;6;3;0;0;0;7;2;0;0
2019-10-02 02:15:00;7;4;0;0;0;12;6;0;0
2019-10-02 02:30:00;8;3;0;0;0;6;1;0;0
2019-10-02 02:45:00;9;6;0;0;0;11;4;0;0
2019-10-02 03:00:00;4;6;1;0;0;8;2;0;0
2019-10-02 03:15:00;8;2;0;0;0;7;3;0;0
2019-10-02 03:30:00;6;3;0;0;0;13;2;0;0
2019-10-02 03:45:00;10;5;1;1;0;22;4;0;0
2019-10-02 04:00:00;6;2;0;0;0;13;2;0;0
2019-10-02 04:15:00;13;6;0;0;1;20;4;0;0
2019-10-02 04:30:00;24;9;0;0;0;26;3;0;0
2019-10-02 04:45:00;24;18;1;1;2;50;23;0;0
2019-10-02 05:00:00;28;23;0;0;3;90;52;0;0
2019-10-02 05:15:00;34;31;3;3;3;201;157;0;2
2019-10-02 05:30:00;60;72;3;1;1;192;149;0;1
2019-10-02 05:45:00;154;149;3;3;4;207;163;0;1
2019-10-02 06:00:00;163;165;0;1;3;157;126;1;0
2019-10-02 06:15:00;147;146;4;3;2;220;162;0;6
2019-10-02 06:30:00;92;95;4;3;2;218;210;39;3
2019-10-02 06:45:00;94;94;11;4;15;201;232;15;7
2019-10-02 07:00:00;80;99;1;13;10;234;226;1;16
2019-10-02 07:15:00;98;111;6;8;25;251;236;28;6
2019-10-02 07:30:00;103;105;6;10;19;252;281;16;8
2019-10-02 07:45:00;126;154;10;16;11;241;256;1;3
2019-10-02 08:00:00;129;130;11;15;13;229;239;7;9
2019-10-02 08:15:00;110;126;4;13;21;221;229;9;5
2019-10-02 08:30:00;119;108;8;18;11;183;191;24;3
2019-10-02 08:45:00;96;102;12;18;10;148;163;45;5
2019-10-02 09:00:00;118;128;8;17;18;139;158;7;5
2019-10-02 09:15:00;99;110;13;15;13;117;150;2;0
2019-10-02 09:30:00;104;121;8;15;24;135;146;9;0
