DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-12-25 21:00:00;3;5;14;0;6;10;0;0;0;0;0;0
2020-12-25 21:15:00;2;6;8;0;1;3;0;0;0;0;0;0
2020-12-25 21:30:00;1;5;11;0;1;7;0;0;0;0;0;0
2020-12-25 21:45:00;4;5;9;0;1;4;0;0;0;0;0;0
2020-12-25 22:00:00;1;5;7;0;4;2;0;0;0;0;0;0
2020-12-25 22:15:00;1;1;1;0;1;0;0;0;0;0;0;0
2020-12-25 22:30:00;1;1;6;0;1;5;0;0;0;0;0;0
2020-12-25 22:45:00;5;6;7;0;1;1;0;0;0;0;0;0
2020-12-25 23:00:00;1;1;1;0;4;1;0;0;0;0;0;0
2020-12-25 23:15:00;1;2;4;0;1;1;0;0;0;0;0;0
2020-12-25 23:30:00;2;1;2;0;1;2;0;0;0;0;0;0
2020-12-25 23:45:00;4;4;2;0;0;0;0;0;0;0;0;0
