DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2019-08-22 00:00:00;6;9;4;6;7;1;0;5
2019-08-22 00:15:00;4;4;2;3;2;4;0;4
2019-08-22 00:30:00;9;3;0;1;2;1;0;1
2019-08-22 00:45:00;5;4;4;0;0;1;0;2
2019-08-22 01:00:00;2;1;0;3;2;2;0;4
2019-08-22 01:15:00;6;6;4;1;2;1;0;3
2019-08-22 01:30:00;5;6;1;3;2;1;0;0
2019-08-22 01:45:00;2;1;0;1;1;0;0;1
2019-08-22 02:00:00;1;1;0;0;0;0;0;0
2019-08-22 02:15:00;1;2;1;2;1;1;0;0
2019-08-22 02:30:00;4;3;2;0;0;0;0;0
2019-08-22 02:45:00;1;3;1;1;1;3;0;1
2019-08-22 03:00:00;3;1;0;2;1;1;0;0
2019-08-22 03:15:00;2;1;0;1;1;1;0;0
2019-08-22 03:30:00;0;0;1;1;1;0;0;1
2019-08-22 03:45:00;0;0;0;0;1;1;0;0
2019-08-22 04:00:00;3;1;1;1;0;2;0;1
2019-08-22 04:15:00;0;2;2;2;0;0;0;0
2019-08-22 04:30:00;2;3;2;1;1;1;0;1
2019-08-22 04:45:00;6;4;4;3;2;4;0;1
2019-08-22 05:00:00;6;11;10;5;2;6;0;7
2019-08-22 05:15:00;19;26;21;4;4;5;0;5
2019-08-22 05:30:00;25;24;44;12;5;12;0;10
2019-08-22 05:45:00;28;27;42;14;10;12;0;16
2019-08-22 06:00:00;19;17;28;8;13;10;0;15
2019-08-22 06:15:00;26;28;55;18;18;15;0;20
2019-08-22 06:30:00;41;32;73;19;48;26;0;31
2019-08-22 06:45:00;45;47;76;15;8;22;0;28
2019-08-22 07:00:00;37;34;76;18;17;24;0;33
2019-08-22 07:15:00;48;38;79;16;17;26;0;37
2019-08-22 07:30:00;47;43;72;23;17;26;0;41
2019-08-22 07:45:00;54;46;80;20;27;29;0;36
2019-08-22 08:00:00;39;33;58;19;26;31;0;33
2019-08-22 08:15:00;48;34;66;21;30;29;0;29
2019-08-22 08:30:00;39;47;72;19;18;22;0;26
2019-08-22 08:45:00;43;39;47;23;63;22;0;29
2019-08-22 09:00:00;51;40;31;18;22;26;0;29
2019-08-22 09:15:00;41;37;26;28;42;22;0;36
2019-08-22 09:30:00;56;35;23;30;30;17;0;31
2019-08-22 09:45:00;39;46;13;28;28;29;0;28
2019-08-22 10:00:00;41;31;21;22;41;23;0;24
2019-08-22 10:15:00;50;31;15;29;25;31;0;26
2019-08-22 10:30:00;52;37;21;25;30;23;0;34
2019-08-22 10:45:00;47;36;23;22;21;27;0;33
2019-08-22 11:00:00;47;42;24;22;39;17;0;36
2019-08-22 11:15:00;45;32;23;30;44;33;0;26
2019-08-22 11:30:00;40;38;25;17;27;26;0;37
2019-08-22 11:45:00;37;21;24;20;25;30;0;40
2019-08-22 12:00:00;25;37;18;34;54;32;0;43
2019-08-22 12:15:00;53;36;14;33;37;29;0;38
2019-08-22 12:30:00;44;35;30;41;34;32;0;36
2019-08-22 12:45:00;44;34;24;24;26;16;0;36
2019-08-22 13:00:00;38;35;24;26;32;22;0;35
2019-08-22 13:15:00;52;49;26;39;57;27;0;45
2019-08-22 13:30:00;52;45;23;33;26;22;0;42
2019-08-22 13:45:00;59;33;26;27;33;31;0;36
2019-08-22 14:00:00;59;31;18;34;28;32;0;45
2019-08-22 14:15:00;53;60;20;41;35;30;0;37
2019-08-22 14:30:00;63;50;24;40;37;27;0;35
2019-08-22 14:45:00;58;33;18;43;34;27;0;46
2019-08-22 15:00:00;49;39;27;55;42;25;0;44
2019-08-22 15:15:00;58;48;20;81;48;27;0;36
2019-08-22 15:30:00;68;45;23;51;32;30;0;49
2019-08-22 15:45:00;57;54;19;40;49;39;0;39
2019-08-22 16:00:00;57;44;18;59;32;42;0;65
2019-08-22 16:15:00;55;52;18;70;47;34;0;48
2019-08-22 16:30:00;66;53;21;62;48;31;0;71
2019-08-22 16:45:00;69;53;23;48;45;26;0;49
2019-08-22 17:00:00;66;51;11;53;42;32;0;43
2019-08-22 17:15:00;55;43;20;47;45;42;0;48
2019-08-22 17:30:00;49;44;29;69;48;34;0;51
2019-08-22 17:45:00;58;42;20;55;46;14;0;44
2019-08-22 18:00:00;55;44;22;46;30;30;0;42
2019-08-22 18:15:00;53;25;17;34;27;36;0;42
2019-08-22 18:30:00;42;35;22;38;51;16;0;35
2019-08-22 18:45:00;32;33;21;50;24;34;0;31
2019-08-22 19:00:00;41;33;29;31;16;18;0;42
2019-08-22 19:15:00;39;29;27;33;27;23;0;22
2019-08-22 19:30:00;43;22;15;27;33;20;0;36
2019-08-22 19:45:00;42;29;27;18;24;25;0;32
2019-08-22 20:00:00;39;19;21;20;44;20;0;25
2019-08-22 20:15:00;31;22;20;24;53;25;0;20
2019-08-22 20:30:00;34;28;18;9;21;24;0;24
2019-08-22 20:45:00;26;20;11;17;17;13;0;11
2019-08-22 21:00:00;34;20;17;14;20;24;0;18
2019-08-22 21:15:00;23;17;18;10;7;12;0;14
2019-08-22 21:30:00;19;13;14;15;11;4;0;10
2019-08-22 21:45:00;15;21;13;16;11;12;0;10
2019-08-22 22:00:00;14;11;12;19;7;12;0;20
2019-08-22 22:15:00;21;14;7;21;15;10;0;12
2019-08-22 22:30:00;15;7;7;15;10;15;0;11
2019-08-22 22:45:00;13;8;11;12;10;14;0;10
2019-08-22 23:00:00;9;10;5;8;2;8;0;5
2019-08-22 23:15:00;14;9;11;2;3;7;0;4
2019-08-22 23:30:00;9;4;6;4;4;8;0;2
2019-08-22 23:45:00;11;4;5;7;6;6;0;2
