DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(MPF2B01);7(MPF2B02);8(MPF2B03);9(MPF2B04);10(MPF2B05);11(MPF2B06);12(MPF2B07);13(MPF2B08);14(MPF2B09);15(MPF2B10);16(MPF2B11);17(MPF2B12);18(MPF2B13);19(MPF2B14)
2019-10-03 00:00:00;34;29;13;17;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 00:15:00;30;21;6;15;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 00:30:00;40;24;1;16;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 00:45:00;28;19;1;9;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 01:00:00;28;18;2;14;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 01:15:00;17;10;0;16;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 01:30:00;21;11;1;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 01:45:00;15;9;4;9;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 02:00:00;14;18;1;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 02:15:00;10;8;3;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 02:30:00;8;3;2;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 02:45:00;13;9;1;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 03:00:00;12;9;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 03:15:00;8;10;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 03:30:00;15;19;4;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 03:45:00;9;4;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 04:00:00;19;13;1;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 04:15:00;11;7;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 04:30:00;17;12;2;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 04:45:00;10;7;0;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 05:00:00;14;9;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 05:15:00;17;12;0;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 05:30:00;23;16;0;23;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 05:45:00;15;15;0;26;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 06:00:00;11;12;0;25;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 06:15:00;20;10;0;18;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 06:30:00;10;4;0;16;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 06:45:00;24;9;0;13;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 07:00:00;18;7;0;21;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 07:15:00;23;13;0;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 07:30:00;22;15;0;14;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 07:45:00;18;16;0;15;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 08:00:00;26;17;0;17;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-03 08:15:00;27;17;1;23;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
