DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(DRES1);12(DRES2);13(DRES3);14(DRES4);15(TARDB);16(TAFGA);17(TAFBA);18(TAFBB);19(TAFBD)
2019-11-22 00:00:00;10;14;6;0;12;9;6;9;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 00:15:00;10;10;8;0;18;17;3;5;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 00:30:00;13;14;2;0;8;9;1;2;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 00:45:00;5;9;8;0;17;15;4;9;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 01:00:00;6;13;7;1;9;9;3;3;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 01:15:00;5;7;6;2;8;9;4;6;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 01:30:00;5;5;4;0;9;13;2;3;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 01:45:00;4;4;2;0;9;9;2;2;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 02:00:00;3;5;4;0;7;9;1;3;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 02:15:00;4;5;4;0;8;12;2;2;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 02:30:00;2;2;1;1;9;6;1;1;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 02:45:00;7;10;6;0;5;5;5;6;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 03:00:00;3;6;3;0;6;7;2;2;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 03:15:00;6;8;2;0;5;7;2;3;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 03:30:00;4;7;3;0;9;7;3;4;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 03:45:00;5;5;4;1;6;6;1;3;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 04:00:00;2;4;3;1;4;4;2;3;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 04:15:00;17;12;1;0;16;13;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 04:30:00;16;18;9;1;9;8;2;8;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 04:45:00;23;27;11;2;16;21;7;12;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 05:00:00;54;59;28;5;29;30;16;28;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 05:15:00;87;91;43;7;51;42;21;45;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 05:30:00;45;76;35;8;49;43;18;38;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 05:45:00;60;85;50;12;55;43;22;50;0;0;0;0;0;0;0;0;0;0;0
2019-11-22 06:00:00;70;98;78;11;85;75;35;75;2;0;0;0;0;0;0;4;1;0;0
2019-11-22 06:15:00;96;108;76;14;88;75;30;64;8;7;0;0;0;0;0;1;0;2;0
2019-11-22 06:30:00;87;110;80;24;83;81;28;92;11;5;0;0;0;0;0;2;0;0;0
2019-11-22 06:45:00;94;118;77;22;70;60;34;83;3;2;0;0;0;0;0;3;8;0;0
2019-11-22 07:00:00;94;128;72;16;77;63;38;81;6;6;0;0;0;0;0;6;30;0;0
2019-11-22 07:15:00;109;148;93;29;71;72;50;115;8;7;0;0;0;0;0;7;1;0;0
2019-11-22 07:30:00;113;148;94;25;85;103;39;96;5;4;0;0;0;0;0;4;0;0;0
2019-11-22 07:45:00;94;143;96;27;95;97;48;99;8;1;0;0;0;0;0;9;0;0;0
2019-11-22 08:00:00;89;114;87;18;89;89;40;76;8;1;0;0;0;0;0;8;0;0;0
2019-11-22 08:15:00;104;112;77;15;86;105;50;93;9;4;0;0;0;0;0;7;0;0;0
2019-11-22 08:30:00;112;119;92;18;88;91;45;72;10;8;0;0;0;0;1;10;2;83;0
2019-11-22 08:45:00;122;137;92;15;92;114;55;83;13;11;0;0;0;0;2;9;0;0;0
2019-11-22 09:00:00;101;121;92;13;85;86;53;85;12;11;0;0;0;0;0;8;0;0;0
2019-11-22 09:15:00;120;130;75;20;90;76;48;65;18;12;0;0;0;0;0;7;2;0;0
2019-11-22 09:30:00;114;118;79;33;108;105;58;73;18;19;0;0;0;0;0;10;13;0;0
2019-11-22 09:45:00;110;125;88;18;98;108;49;68;31;21;0;0;0;0;0;10;1;0;0
2019-11-22 10:00:00;95;122;80;18;100;113;46;66;17;15;0;0;0;0;0;6;3;0;0
2019-11-22 10:15:00;105;124;81;21;105;98;50;48;23;14;0;0;0;0;0;11;0;0;0
2019-11-22 10:30:00;105;128;111;19;117;122;47;65;27;26;0;0;0;0;0;10;0;0;2
2019-11-22 10:45:00;91;139;92;15;104;110;59;91;29;21;0;0;0;0;0;10;1;0;0
2019-11-22 11:00:00;80;125;77;13;110;113;46;65;27;23;0;0;0;0;0;9;1;0;0
2019-11-22 11:15:00;100;108;83;19;120;142;54;63;20;27;0;0;0;0;0;7;0;0;0
2019-11-22 11:30:00;126;133;93;24;131;137;56;80;26;23;0;0;0;0;0;7;7;0;0
2019-11-22 11:45:00;94;115;84;28;142;137;54;75;17;20;0;0;0;0;0;8;0;0;0
2019-11-22 12:00:00;99;129;87;21;133;126;54;88;18;16;0;0;0;0;0;7;1;0;1
2019-11-22 12:15:00;104;127;87;18;142;141;63;98;23;22;0;0;0;0;0;8;7;0;0
2019-11-22 12:30:00;115;110;81;20;145;142;51;82;23;22;0;0;0;0;0;8;0;0;0
2019-11-22 12:45:00;120;126;64;19;136;133;49;65;33;22;0;0;0;0;0;11;1;0;0
2019-11-22 13:00:00;119;138;86;25;164;159;49;83;19;16;0;0;0;0;0;9;7;0;0
2019-11-22 13:15:00;138;148;80;25;142;144;53;61;20;16;0;0;0;0;0;10;1;0;8
2019-11-22 13:30:00;112;143;82;26;158;150;65;56;35;14;0;0;0;0;0;13;14;0;1
2019-11-22 13:45:00;120;136;84;20;123;127;50;61;30;25;0;0;0;0;0;10;3;0;2
2019-11-22 14:00:00;117;129;87;17;135;145;54;95;17;15;0;0;0;0;0;18;0;4;0
2019-11-22 14:15:00;99;120;77;24;155;118;55;88;22;22;0;0;0;0;0;6;0;0;0
2019-11-22 14:30:00;113;117;85;26;152;149;48;83;29;27;0;0;0;0;0;17;8;0;0
2019-11-22 14:45:00;106;119;78;25;149;144;37;55;19;20;0;0;0;0;0;9;0;0;15
2019-11-22 15:00:00;115;118;77;28;143;128;49;53;16;22;0;0;0;0;0;12;2;0;0
2019-11-22 15:15:00;101;129;85;16;144;124;46;57;28;38;0;0;0;0;0;11;3;0;1
2019-11-22 15:30:00;119;128;85;17;130;124;49;83;22;22;0;0;0;0;0;12;5;0;0
2019-11-22 15:45:00;115;128;63;28;145;123;49;61;26;35;0;0;0;0;0;11;3;0;0
