DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-11-03 00:00:00;1;0;0;260;1
2020-11-03 00:15:00;3;2;2;31;1
2020-11-03 00:30:00;2;1;0;114;1
2020-11-03 00:45:00;0;0;0;254;0
2020-11-03 01:00:00;1;0;1;316;0
2020-11-03 01:15:00;0;1;0;111;0
2020-11-03 01:30:00;1;0;0;349;1
2020-11-03 01:45:00;1;0;0;258;0
2020-11-03 02:00:00;0;0;0;261;0
2020-11-03 02:15:00;0;0;0;266;0
2020-11-03 02:30:00;1;0;0;286;0
2020-11-03 02:45:00;1;1;0;397;1
2020-11-03 03:00:00;0;0;0;293;2
2020-11-03 03:15:00;1;0;0;6;0
2020-11-03 03:30:00;0;0;0;521;3
2020-11-03 03:45:00;2;1;0;3;1
2020-11-03 04:00:00;3;0;0;2;0
2020-11-03 04:15:00;2;1;0;1;2
2020-11-03 04:30:00;0;0;0;1;3
2020-11-03 04:45:00;0;0;0;2;1
2020-11-03 05:00:00;3;0;1;645;0
2020-11-03 05:15:00;2;0;0;254;6
2020-11-03 05:30:00;8;1;1;272;11
2020-11-03 05:45:00;18;1;3;526;15
2020-11-03 06:00:00;20;2;2;0;12
2020-11-03 06:15:00;25;2;6;22;29
2020-11-03 06:30:00;21;3;5;516;31
2020-11-03 06:45:00;51;8;4;515;49
2020-11-03 07:00:00;30;5;9;11;57
2020-11-03 07:15:00;36;13;3;21;62
2020-11-03 07:30:00;41;15;7;23;56
2020-11-03 07:45:00;52;7;16;29;54
2020-11-03 08:00:00;39;17;10;36;44
2020-11-03 08:15:00;41;13;2;14;39
2020-11-03 08:30:00;30;11;7;27;34
2020-11-03 08:45:00;30;12;7;21;43
2020-11-03 09:00:00;25;10;9;23;46
2020-11-03 09:15:00;34;10;6;19;50
2020-11-03 09:30:00;28;12;9;25;55
2020-11-03 09:45:00;24;6;9;25;44
2020-11-03 10:00:00;41;9;16;30;27
2020-11-03 10:15:00;21;11;14;34;35
2020-11-03 10:30:00;40;14;19;33;57
2020-11-03 10:45:00;40;10;16;26;54
2020-11-03 11:00:00;41;11;14;35;39
2020-11-03 11:15:00;46;11;16;26;56
2020-11-03 11:30:00;40;10;14;24;48
2020-11-03 11:45:00;21;8;17;26;55
2020-11-03 12:00:00;32;9;12;29;50
2020-11-03 12:15:00;36;9;15;28;52
2020-11-03 12:30:00;45;13;15;27;62
2020-11-03 12:45:00;42;6;13;20;52
2020-11-03 13:00:00;40;8;15;38;44
2020-11-03 13:15:00;44;12;18;33;43
2020-11-03 13:30:00;36;4;11;24;47
2020-11-03 13:45:00;48;9;8;21;66
2020-11-03 14:00:00;46;6;13;29;53
2020-11-03 14:15:00;42;4;18;19;48
2020-11-03 14:30:00;41;10;12;28;57
2020-11-03 14:45:00;43;10;11;23;55
2020-11-03 15:00:00;47;9;19;30;66
2020-11-03 15:15:00;50;9;14;34;51
2020-11-03 15:30:00;56;10;13;32;60
2020-11-03 15:45:00;52;13;21;35;68
2020-11-03 16:00:00;52;10;20;34;95
2020-11-03 16:15:00;52;10;19;42;76
2020-11-03 16:30:00;45;6;13;37;71
2020-11-03 16:45:00;50;5;23;40;66
2020-11-03 17:00:00;52;9;15;39;66
2020-11-03 17:15:00;40;14;13;41;74
2020-11-03 17:30:00;31;5;17;36;61
2020-11-03 17:45:00;34;8;21;25;60
2020-11-03 18:00:00;34;6;13;26;57
2020-11-03 18:15:00;33;4;12;18;33
2020-11-03 18:30:00;25;4;9;14;32
2020-11-03 18:45:00;15;4;12;17;37
2020-11-03 19:00:00;22;3;8;16;23
2020-11-03 19:15:00;17;5;7;11;18
2020-11-03 19:30:00;7;4;7;10;22
2020-11-03 19:45:00;16;4;11;19;22
2020-11-03 20:00:00;21;6;1;14;16
2020-11-03 20:15:00;9;2;4;6;13
2020-11-03 20:30:00;11;7;1;18;8
2020-11-03 20:45:00;9;1;3;3;7
2020-11-03 21:00:00;10;5;2;6;9
2020-11-03 21:15:00;6;1;0;5;2
2020-11-03 21:30:00;2;0;1;10;5
2020-11-03 21:45:00;3;0;3;5;3
2020-11-03 22:00:00;7;4;2;3;10
2020-11-03 22:15:00;5;2;1;6;9
2020-11-03 22:30:00;2;1;0;4;5
2020-11-03 22:45:00;4;0;0;1;7
2020-11-03 23:00:00;5;2;3;3;6
2020-11-03 23:15:00;1;1;0;1;6
2020-11-03 23:30:00;2;0;0;1;5
