DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-09-20 00:00:00;0;22;11;19;13;0;0
2020-09-20 00:15:00;0;29;12;30;22;3;3
2020-09-20 00:30:00;1;19;15;30;17;0;0
2020-09-20 00:45:00;0;29;24;27;16;0;0
2020-09-20 01:00:00;4;24;15;25;23;0;0
2020-09-20 01:15:00;0;16;15;19;12;0;0
2020-09-20 01:30:00;3;12;5;18;13;0;0
2020-09-20 01:45:00;0;9;8;14;5;0;0
2020-09-20 02:00:00;0;16;7;11;7;0;0
2020-09-20 02:15:00;0;7;12;12;7;0;0
2020-09-20 02:30:00;0;9;13;14;7;0;0
2020-09-20 02:45:00;0;7;9;15;12;0;0
2020-09-20 03:00:00;1;7;3;13;10;0;0
2020-09-20 03:15:00;0;8;4;11;6;0;0
2020-09-20 03:30:00;0;3;4;11;8;0;0
2020-09-20 03:45:00;0;5;4;6;6;0;0
2020-09-20 04:00:00;0;1;2;3;6;0;0
2020-09-20 04:15:00;0;6;4;4;5;1;1
2020-09-20 04:30:00;2;4;2;10;3;0;0
2020-09-20 04:45:00;0;6;2;12;9;1;1
2020-09-20 05:00:00;1;4;5;14;8;0;0
2020-09-20 05:15:00;0;6;10;13;12;1;1
2020-09-20 05:30:00;0;22;10;8;6;0;0
2020-09-20 05:45:00;0;14;6;15;12;1;1
2020-09-20 06:00:00;0;6;11;24;13;0;0
2020-09-20 06:15:00;0;11;4;16;13;1;1
2020-09-20 06:30:00;0;8;7;19;16;0;0
2020-09-20 06:45:00;0;13;7;27;16;1;1
2020-09-20 07:00:00;3;15;9;28;24;0;0
2020-09-20 07:15:00;0;17;16;28;17;1;1
2020-09-20 07:30:00;0;9;20;23;26;0;0
2020-09-20 07:45:00;2;11;28;33;28;1;1
2020-09-20 08:00:00;2;9;36;25;31;2;2
2020-09-20 08:15:00;1;26;58;39;33;0;0
2020-09-20 08:30:00;3;20;64;52;34;2;2
2020-09-20 08:45:00;5;22;80;57;35;0;0
2020-09-20 09:00:00;0;44;38;39;48;1;1
2020-09-20 09:15:00;2;61;58;67;64;0;0
2020-09-20 09:30:00;18;68;70;67;76;1;1
2020-09-20 09:45:00;13;15;161;68;71;1;1
2020-09-20 10:00:00;6;7;137;71;77;2;2
2020-09-20 10:15:00;2;7;170;63;78;0;0
2020-09-20 10:30:00;5;8;153;67;71;2;2
2020-09-20 10:45:00;4;13;175;78;94;0;0
2020-09-20 11:00:00;4;37;140;64;78;3;3
2020-09-20 11:15:00;4;53;142;63;89;0;0
2020-09-20 11:30:00;1;81;144;63;92;2;1
2020-09-20 11:45:00;7;87;93;81;94;0;1
2020-09-20 12:00:00;0;90;99;68;70;2;2
2020-09-20 12:15:00;18;79;76;93;69;1;1
2020-09-20 12:30:00;14;85;94;73;69;3;3
2020-09-20 12:45:00;5;90;107;83;80;0;0
2020-09-20 13:00:00;4;86;79;78;76;2;2
2020-09-20 13:15:00;17;89;99;83;66;0;0
2020-09-20 13:30:00;16;91;96;84;57;1;1
2020-09-20 13:45:00;9;86;100;82;74;0;0
2020-09-20 14:00:00;20;94;111;87;81;2;2
2020-09-20 14:15:00;5;91;86;99;76;0;0
2020-09-20 14:30:00;12;74;79;95;92;1;1
2020-09-20 14:45:00;45;88;96;114;73;1;1
2020-09-20 15:00:00;5;83;79;82;80;2;2
2020-09-20 15:15:00;1;87;113;92;66;1;1
2020-09-20 15:30:00;5;80;67;86;85;3;3
2020-09-20 15:45:00;3;62;72;91;97;1;1
2020-09-20 16:00:00;4;75;74;85;67;2;2
2020-09-20 16:15:00;15;76;60;93;70;0;0
2020-09-20 16:30:00;8;87;60;101;76;1;1
2020-09-20 16:45:00;40;84;87;101;106;1;1
2020-09-20 17:00:00;12;87;93;96;101;2;2
2020-09-20 17:15:00;10;71;93;100;85;1;1
2020-09-20 17:30:00;48;67;80;114;101;2;2
2020-09-20 17:45:00;13;92;92;104;113;0;0
2020-09-20 18:00:00;13;100;89;110;89;1;1
2020-09-20 18:15:00;5;75;85;86;93;1;1
2020-09-20 18:30:00;29;55;102;80;76;1;1
2020-09-20 18:45:00;15;39;132;86;90;1;1
2020-09-20 19:00:00;26;1;159;77;77;2;2
2020-09-20 19:15:00;10;0;143;88;63;1;1
2020-09-20 19:30:00;2;2;121;71;62;2;2
2020-09-20 19:45:00;7;10;142;81;65;0;0
2020-09-20 20:00:00;17;67;63;83;71;2;2
2020-09-20 20:15:00;2;54;43;65;68;0;0
2020-09-20 20:30:00;0;46;46;66;44;1;1
2020-09-20 20:45:00;15;50;53;57;43;0;0
2020-09-20 21:00:00;0;44;42;55;41;2;2
2020-09-20 21:15:00;0;39;32;41;29;1;1
2020-09-20 21:30:00;7;33;29;37;25;1;1
2020-09-20 21:45:00;2;31;15;43;35;1;1
2020-09-20 22:00:00;0;26;16;37;22;2;2
2020-09-20 22:15:00;0;13;22;37;23;1;0
2020-09-20 22:30:00;4;25;18;31;25;1;2
2020-09-20 22:45:00;3;20;17;19;13;1;1
2020-09-20 23:00:00;0;17;4;19;15;2;2
2020-09-20 23:15:00;0;12;9;15;17;1;1
2020-09-20 23:30:00;4;13;9;14;15;1;1
2020-09-20 23:45:00;2;13;10;17;9;0;0
