DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-01-16 00:00:00;3;1;0;9;6;19;7;5;7;1;0
2020-01-16 00:15:00;2;2;0;5;11;13;2;8;6;1;0
2020-01-16 00:30:00;1;1;2;6;8;3;0;8;8;1;1
2020-01-16 00:45:00;4;3;0;4;4;0;1;2;5;0;0
2020-01-16 01:00:00;0;0;0;3;3;1;0;6;3;1;1
2020-01-16 01:15:00;0;0;0;5;2;2;0;8;6;1;1
2020-01-16 01:30:00;0;1;0;6;5;16;0;2;1;0;1
2020-01-16 01:45:00;1;1;0;0;5;67;2;3;4;0;0
2020-01-16 02:00:00;0;0;0;3;4;79;1;3;3;0;0
2020-01-16 02:15:00;0;1;0;4;1;7;2;1;2;0;0
2020-01-16 02:30:00;0;1;0;8;3;17;0;0;0;0;0
2020-01-16 02:45:00;0;1;0;7;6;15;1;1;0;0;0
2020-01-16 03:00:00;0;1;0;2;2;7;0;1;0;0;0
2020-01-16 03:15:00;0;1;0;2;1;7;1;0;0;0;0
2020-01-16 03:30:00;0;0;0;1;0;16;3;1;1;0;0
2020-01-16 03:45:00;0;0;0;2;2;4;0;5;5;0;0
2020-01-16 04:00:00;0;1;0;4;3;2;0;1;1;1;1
2020-01-16 04:15:00;0;2;0;12;4;12;2;1;3;2;2
2020-01-16 04:30:00;0;1;0;7;4;11;1;6;6;1;1
2020-01-16 04:45:00;1;7;0;8;7;117;4;11;11;3;2
2020-01-16 05:00:00;0;4;0;11;12;21;7;19;19;6;5
2020-01-16 05:15:00;3;12;1;17;15;72;2;40;41;16;12
2020-01-16 05:30:00;4;14;0;28;23;17;9;62;60;22;16
2020-01-16 05:45:00;4;31;3;45;24;46;11;80;85;27;18
2020-01-16 06:00:00;2;17;3;43;24;57;10;50;54;9;5
2020-01-16 06:15:00;4;29;2;56;39;64;12;64;79;20;12
2020-01-16 06:30:00;8;36;4;42;50;61;14;109;121;22;10
2020-01-16 06:45:00;12;47;5;50;39;60;26;121;159;15;8
2020-01-16 07:00:00;10;29;11;65;38;99;36;114;155;17;11
2020-01-16 07:15:00;21;350;14;82;72;110;53;151;218;33;26
2020-01-16 07:30:00;15;81;4;79;56;16;50;169;185;18;16
2020-01-16 07:45:00;20;62;3;127;86;42;47;131;159;25;13
2020-01-16 08:00:00;19;56;8;101;69;21;44;145;165;25;25
2020-01-16 08:15:00;15;50;9;103;61;7;44;129;161;25;20
2020-01-16 08:30:00;10;35;6;92;53;26;36;116;114;16;16
2020-01-16 08:45:00;11;38;3;89;61;40;27;96;107;15;9
2020-01-16 09:00:00;8;33;3;77;58;31;37;94;92;19;15
