DATUM;1(DA1);2(DA2);3(VDB1);4(VDB2);5(DB3);6(DB4);7(DC1);8(DC2);9(VDD1);10(VDD2);11(DD3);12(DD4);13(TAFGA);14(TAFGC);15(TAFBA);16(TAFBB);17(TAFBC);18(TAFBD)
2020-09-17 00:00:00;2;1;1;1;1;3;2;3;2;0;1;0;0;0;0;0;0;0
2020-09-17 00:15:00;1;1;0;2;0;1;5;6;0;0;0;0;0;0;0;0;0;0
2020-09-17 00:30:00;0;4;0;3;0;3;2;2;2;2;3;2;0;0;0;0;0;0
2020-09-17 00:45:00;0;1;1;0;1;1;2;2;2;0;2;0;0;0;0;0;0;0
2020-09-17 01:00:00;0;2;0;0;0;0;1;1;3;0;3;1;0;0;0;0;0;0
2020-09-17 01:15:00;0;0;2;1;2;1;2;2;0;0;0;2;0;0;0;0;0;0
2020-09-17 01:30:00;0;0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-17 01:45:00;0;0;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-09-17 02:00:00;0;0;0;0;0;1;2;1;2;1;2;1;0;0;0;0;0;0
2020-09-17 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-17 02:30:00;1;2;0;1;0;1;3;2;0;0;1;1;0;0;0;0;0;0
2020-09-17 02:45:00;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
2020-09-17 03:00:00;1;1;1;1;2;1;2;3;0;0;0;0;0;0;0;0;0;0
2020-09-17 03:15:00;0;1;0;1;0;2;4;3;1;1;1;2;0;0;0;0;0;0
2020-09-17 03:30:00;1;1;0;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0
2020-09-17 03:45:00;0;0;2;1;1;3;3;3;2;0;2;1;0;0;0;0;0;0
2020-09-17 04:00:00;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
2020-09-17 04:15:00;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-17 04:30:00;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0
2020-09-17 04:45:00;1;1;1;2;1;4;4;4;0;0;0;1;0;0;0;0;0;0
2020-09-17 05:00:00;1;3;1;0;1;3;6;4;3;1;2;2;0;0;0;0;0;0
2020-09-17 05:15:00;5;6;0;2;0;2;2;2;1;1;1;2;0;0;0;0;0;0
2020-09-17 05:30:00;11;6;4;2;5;3;8;11;3;1;3;5;0;0;0;0;0;0
2020-09-17 05:45:00;29;30;9;5;10;8;9;8;1;5;5;254;0;0;0;0;0;7
2020-09-17 06:00:00;22;17;8;11;9;16;19;26;5;2;6;0;0;0;0;0;0;0
2020-09-17 06:15:00;31;28;8;7;15;11;18;20;7;1;8;0;0;0;0;0;0;0
2020-09-17 06:30:00;35;26;12;6;11;14;13;21;4;3;5;0;0;0;0;0;0;0
2020-09-17 06:45:00;32;32;18;7;22;7;22;20;9;1;8;0;1;0;0;0;0;0
2020-09-17 07:00:00;37;36;26;15;30;19;30;30;18;4;19;9;0;1;0;3;0;0
2020-09-17 07:15:00;72;55;75;35;81;42;24;35;13;2;15;11;1;0;1;1;0;1
2020-09-17 07:30:00;80;59;68;34;57;42;62;57;17;4;24;257;0;0;1;0;0;7
2020-09-17 07:45:00;53;45;76;33;61;42;54;52;22;9;30;258;1;0;1;3;0;0
2020-09-17 08:00:00;36;37;23;21;26;30;40;29;12;3;18;3;2;1;1;1;0;2
2020-09-17 08:15:00;48;47;27;8;27;14;34;32;14;6;20;14;0;0;0;0;0;0
2020-09-17 08:30:00;23;35;41;15;42;24;28;30;15;4;18;6;0;0;0;0;0;0
2020-09-17 08:45:00;27;45;32;15;38;18;22;21;13;5;17;18;0;0;0;0;0;1
2020-09-17 09:00:00;25;42;23;18;25;22;35;33;22;5;23;10;0;0;0;0;0;1
2020-09-17 09:15:00;24;36;19;14;24;23;35;33;16;6;20;9;0;1;0;1;0;0
2020-09-17 09:30:00;25;41;18;19;18;28;33;36;24;5;29;5;0;0;0;0;0;11
2020-09-17 09:45:00;24;42;21;17;22;20;45;271;15;9;24;16;0;1;0;3;1;0
2020-09-17 10:00:00;9;277;18;19;260;267;271;275;15;2;17;262;0;0;0;0;0;0
2020-09-17 10:15:00;18;32;20;13;0;0;15;7;12;6;23;0;0;1;0;0;0;0
2020-09-17 10:30:00;19;46;23;10;15;13;46;36;20;13;33;0;1;0;0;0;0;0
2020-09-17 10:45:00;25;46;22;16;27;20;43;33;21;10;34;0;0;0;0;2;0;0
2020-09-17 11:00:00;15;29;11;18;14;23;39;42;15;8;21;0;1;10;0;0;10;1
2020-09-17 11:15:00;18;38;18;19;22;29;39;33;18;11;25;3;0;1;0;2;3;2
2020-09-17 11:30:00;18;37;23;27;24;33;47;33;17;10;23;24;4;0;2;0;0;0
2020-09-17 11:45:00;20;34;17;15;18;23;56;37;25;13;35;19;0;0;0;1;0;1
2020-09-17 12:00:00;16;40;25;15;24;21;37;33;24;12;36;18;0;0;0;0;0;9
