DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DD1);9(DD2);10(DD3);11(TAFBA);12(TAFBA2);13(TAFBB);14(TAFBC);15(TAFBC2);16(TAFBD);17(TAFBE)
2020-06-13 00:00:00;3;5;3;6;0;5;7;4;4;3;0;0;0;0;0;0;0
2020-06-13 00:15:00;13;5;8;5;5;3;7;8;11;12;0;0;0;0;0;0;0
2020-06-13 00:30:00;7;4;9;9;2;5;7;6;8;5;0;0;0;0;0;0;0
2020-06-13 00:45:00;9;5;7;3;1;3;6;2;4;5;0;0;0;0;0;0;0
2020-06-13 01:00:00;7;5;4;4;5;1;2;3;9;4;1;0;0;0;0;0;0
2020-06-13 01:15:00;3;2;2;6;4;5;4;3;2;5;0;0;0;0;0;0;0
2020-06-13 01:30:00;2;3;3;4;1;2;6;0;4;2;0;1;0;0;0;0;0
2020-06-13 01:45:00;1;0;2;2;0;2;2;2;5;1;0;0;0;0;0;0;0
2020-06-13 02:00:00;5;0;5;2;1;0;3;2;1;7;0;0;0;0;0;0;0
2020-06-13 02:15:00;1;0;3;2;1;0;2;1;2;2;0;0;0;0;0;0;0
2020-06-13 02:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-13 02:45:00;4;1;1;2;1;4;2;2;2;2;0;0;0;0;0;0;0
2020-06-13 03:00:00;4;2;3;5;0;3;1;1;0;1;0;0;0;0;0;0;0
2020-06-13 03:15:00;4;5;2;5;0;2;1;2;2;3;0;0;0;0;0;0;0
2020-06-13 03:30:00;0;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0
2020-06-13 03:45:00;1;2;2;1;2;2;3;3;2;4;0;0;0;0;0;0;0
2020-06-13 04:00:00;0;0;0;0;0;1;2;3;2;1;0;0;0;0;0;0;0
2020-06-13 04:15:00;1;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0
2020-06-13 04:30:00;1;0;1;0;0;0;1;0;3;5;0;0;0;0;0;1;0
2020-06-13 04:45:00;3;0;0;1;0;2;0;0;3;4;0;0;0;0;0;0;0
2020-06-13 05:00:00;1;1;0;2;0;0;1;0;3;5;0;0;0;0;0;0;0
2020-06-13 05:15:00;5;2;1;1;1;2;0;4;2;1;0;0;0;0;0;0;0
2020-06-13 05:30:00;7;6;2;7;2;5;4;5;4;0;0;0;0;0;0;0;0
2020-06-13 05:45:00;4;4;3;5;2;4;2;5;10;3;0;0;0;0;0;0;0
2020-06-13 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-13 06:15:00;7;1;1;3;0;4;5;6;10;4;0;0;0;0;0;0;0
2020-06-13 06:30:00;12;7;5;3;1;1;2;16;5;6;0;0;0;0;0;0;0
2020-06-13 06:45:00;5;4;3;7;2;4;8;4;10;11;0;0;0;1;0;0;0
2020-06-13 07:00:00;6;7;9;6;2;2;3;4;8;9;0;0;0;0;0;0;0
